name,country,province,population,longitude,latitude
Тхимфу,БХТ,Бутан,20000.0,90.0,27.0
Габороне,RB,Ботсвана,,25.6,-24.5
Рюттлинген,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Баден-Вюртемберг,107782.0,,
Лешань,ТЖ,Сычуань,341128.0,,
Роатан,ХКГ,Острова Бахсы,,,
Перак,МАЛ,Пулау Пинанг,219376.0,,
Дурос,Б,Мато-Гросу-ду-Сул,153165.0,,
бахвалпур,ПК,Пакистан,180263.0,,
Квебек,КДН,Квебек,167517.0,-71.3833,46.8
Маруа,КАМ,Северный край,143000.0,,
Новокузнетск,Р,Кемеровская область,572000.0,,
Текирдаг,ТР,Текирдаг,,,
Ньютаун-Сент-Босуэлз,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Границы,,,
Харрисбург,США,Пенсильвания,53264.0,-76.7667,40.2
Линьи Мана,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Пэйс-де-ла-Луар,145502.0,,
Кота-Бахару,МАЛ,Келантан,219713.0,,
Сирнак,ТР,Сирнак,,,
Джинджежен,ТЖ,Джянги,281183.0,,
Новосибирск,Р,Новосибирская область,1369000.0,,
Сурабая,РИ,Индонезия,2483871.0,112.717,-7.21667
Франкфурт,США,Кентукки,25973.0,-84.5,38.1
Кефлавик,Ось,Исландия,6600.0,-22.5,64.0
Крикюму,Б,Сан-Катарина,159033.0,,
Мата́ла,МOC,Мапуту,337239.0,,
Честерфилд,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Дербишир,101200.0,,
Дуйсбург,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Северный Рейн-Вестфалия,536106.0,,
Фукусима,"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",Фукусима,,,
Мерат,Индия,Утар-Прадеш,753778.0,,
Даньян,ТЖ,Джянсу,169603.0,,
Риберау-Пирес,Б,Сан-Паулу,100335.0,,
Клермон-Ферран,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Аврин,136181.0,3.4,45.5
Город-боливар,В,Боливар,225340.0,,
Трюхильо,В,Трюхильо,,,
Виктория,Мексика,Тамаулипас,194996.0,-99.1,23.4
Яунде,КАМ,Центр,750000.0,12.0,3.5
Квинлес,Р,Буенос-Айрес,509445.0,,
Курган,Р,Курская область,363000.0,,
Виндхук,НАМ,Намибия,,17.2,-22.3
Марсель,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.","Провенс, Коста-д'Азур",800550.0,5.2,43.2
Ла-Риоха,Р,Ла-Риоха,103727.0,-67.0,-29.3
Дордрехт,НЛ,Южная Голландия,213963.0,,
Чанчжоу,ТЖ,Джянсу,531470.0,,
Ларедо,США,Техас,122899.0,-99.45,27.5333
Жамбыл,Казахстан,Жамбыл,,,
Мариго,Смар,Сент-Мартин,5700.0,-63.1,18.1
Святой Георгий,ВГ,Гренада,30000.0,-61.4,12.4
Маракайбо,В,Зулия,1249670.0,-71.6,10.65
Джинчжоу,ТЖ,Ляонинг,569518.0,,
Новая Фурсбах,Б,Рио-де-Жанейро,169218.0,,
Лома,РТ,Того,,1.1,6.1
Дуссельдорф,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Северный Рейн-Вестфалия,572638.0,6.8,51.2
Ричмонд,США,Вирджиния,202798.0,-77.3333,37.5
Итанагар,Индия,Аруначал-Прадеш,,93.4,27.1
Карамай,ТЖ,Синьцзян-Уйгур,197602.0,,
Тиране,АЛ,Албания,192000.0,19.8,41.3
Сантандер,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Кантавьера,194822.0,,
Болцано,я,Трентино-Альто-Адидже,100380.0,11.5,46.0
арараку,Б,Сан-Паулу,163831.0,,
Аль-Кадариф,СУД,аш-Шаркия,189384.0,,
Чанхая,ТЖ,Хунань,1330000.0,113.5,28.1
Даман,Индия,Даман и Диу,,,
Самаринд,РИ,Индонезия,407339.0,,
Хабли,Индия,Карнатака,648298.0,,
Оффенбах-на-Мане,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Гессен,116482.0,,
Переключение,РИ,Индонезия,152409.0,,
Непеан,КДН,Онтарио,107627.0,,
Сантьяго-де-Компостела,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Галисия,,,
Адо Экити,ВАН,Нигерия,317000.0,,
Херсон,UA,Херсонская,361000.0,,
Эль-Укхур,ЭТ,Кена,148000.0,,
Джинси,ТЖ,Ляонинг,357052.0,,
Ляньъюнган,ТЖ,Джянсу,354139.0,,
Равенна,я,Эмилия-Романья,136724.0,,
Эльба́с,ТР,Эльба́с,222800.0,,
