charge_no,member_no,provider_no,category_no,charge_dt,charge_amt,statement_no,charge_code
41736,8862,389,9,1999-08-08T10:46:50,3617.0,8862,
57710,9014,497,8,1999-09-07T10:48:03,3090.0,19014,
82535,9924,495,4,1999-07-12T10:49:58,1046.0,9924,
87851,6493,492,5,1999-08-26T10:50:23,2002.0,16493,
604398,952,490,9,1999-07-04T10:43:57,1516.0,952,
630130,1920,441,4,1999-09-09T10:45:55,140.0,11920,
677192,5119,416,2,1999-07-30T10:49:34,4160.0,5119,
685482,7183,499,10,1999-09-21T10:50:12,1363.0,27183,
685737,7542,462,7,1999-08-14T10:50:14,3934.0,17542,
698129,7873,471,6,1999-09-29T10:51:11,4794.0,27873,
762854,7999,434,9,1999-07-06T10:48:26,4822.0,7999,
768318,8858,499,4,1999-10-04T10:48:52,4883.0,28858,
790932,6423,389,6,1999-08-12T10:50:38,812.0,6423,
813863,9681,481,7,1999-09-20T10:44:39,1399.0,29681,
860494,6113,379,9,1999-08-22T10:48:15,1549.0,16113,
867400,9478,499,6,1999-07-24T10:48:48,2894.0,9478,
878214,8016,484,6,1999-09-28T10:49:38,3875.0,28016,
881680,9922,500,9,1999-08-30T10:49:55,493.0,19922,
921073,7364,247,10,1999-07-23T10:45:12,80.0,7364,
976561,9393,387,6,1999-06-30T10:49:31,3778.0,9393,
1011493,9121,447,8,1999-09-24T10:44:28,4677.0,29121,
1044614,6688,500,10,1999-07-16T10:47:03,3461.0,6688,
1059814,5281,453,5,1999-09-25T10:48:12,2932.0,25281,
1083143,8848,343,8,1999-08-17T10:50:01,1085.0,18848,
1099892,7843,449,9,1999-10-12T10:51:19,2515.0,27843,
1168455,6839,334,7,1999-08-25T10:48:53,3816.0,16839,
1197282,5598,112,5,1999-06-18T10:51:08,3483.0,5598,
1201644,9043,453,7,1999-06-25T10:43:45,4952.0,9043,
1209743,8915,426,10,1999-06-20T10:44:21,4656.0,8915,
1224072,3714,298,8,1999-07-12T10:45:28,1423.0,3714,
1259733,9888,487,10,1999-07-21T10:48:11,1055.0,9888,
1261425,8872,387,9,1999-08-20T10:48:20,1011.0,18872,
1304663,9730,384,10,1999-08-13T10:43:58,4718.0,19730,
1318539,7886,130,9,1999-08-24T10:45:01,349.0,17886,
1320157,7196,356,7,1999-08-12T10:45:08,978.0,7196,
1345722,6974,497,7,1999-06-21T10:47:08,1256.0,6974,
1367263,4245,488,4,1999-09-25T10:48:47,4022.0,24245,
1387276,9771,483,4,1999-09-26T10:50:21,1231.0,29771,
1407586,9799,452,8,1999-09-14T10:44:11,331.0,29799,
1495380,9605,491,10,1999-07-01T10:50:59,3010.0,9605,
1531708,4604,487,3,1999-07-04T10:46:03,3644.0,4604,
1536831,8249,284,4,1999-07-01T10:46:27,1055.0,8249,
1552464,9856,304,7,1999-08-30T10:47:40,2848.0,19856,
1555919,9928,376,6,1999-09-09T10:47:55,4383.0,19928,
1579021,5612,482,5,1999-08-17T10:49:42,2088.0,15612,
1634895,3478,331,8,1999-09-01T10:46:18,3071.0,13478,
1661622,8491,493,3,1999-07-21T10:48:21,2626.0,8491,
1721672,8975,487,2,1999-08-13T10:45:15,6.0,18975,
1747140,605,466,10,1999-08-10T10:47:15,536.0,605,
1762180,4211,317,2,1999-08-06T10:48:23,4403.0,4211,
1815730,9530,467,10,1999-09-08T10:44:47,4054.0,19530,
1852745,9903,175,6,1999-06-21T10:47:41,1461.0,9903,
1881240,7568,500,2,1999-09-03T10:49:53,1266.0,17568,
1887973,9898,253,10,1999-10-06T10:50:24,345.0,29898,
1892098,9782,369,7,1999-08-23T10:50:44,223.0,19782,
1915902,7128,399,7,1999-08-29T10:44:48,3642.0,17128,
1921855,5771,498,5,1999-08-05T10:45:16,4253.0,5771,
1926598,8983,489,10,1999-07-30T10:45:39,3738.0,8983,
1929071,9345,215,3,1999-08-24T10:45:51,2717.0,19345,
1991444,7505,495,5,1999-10-06T10:50:40,2374.0,27505,
