raceid,driverid,lap,position,time,milliseconds
212,30,57,4,1:25.795,85795
63,37,20,12,1:19.593,79593
45,1,49,10,1:33.689,93689
927,813,3,19,1:58.619,118619
97,14,2,13,1:19.453,79453
28,21,7,19,1:26.205,86205
846,18,77,3,1:16.589,76589
202,63,3,12,1:24.546,84546
104,15,25,12,1:25.654,85654
354,16,38,8,1:17.631,77631
148,30,14,1,1:20.660,80660
26,2,16,5,1:33.708,93708
104,2,48,14,1:24.722,84722
338,1,14,7,1:32.496,92496
183,63,5,20,1:15.490,75490
95,22,40,5,1:15.943,75943
210,79,49,12,1:31.749,91749
170,56,3,12,2:09.180,129180
843,155,32,13,1:42.577,102577
122,21,43,5,1:16.871,76871
35,2,53,10,1:16.009,76009
156,55,53,5,1:16.562,76562
864,813,64,1,1:28.869,88869
55,27,8,16,2:19.661,139661
936,826,18,8,1:29.249,89249
893,818,42,13,1:51.334,111334
914,824,18,17,1:58.402,118402
896,820,51,18,1:31.285,91285
172,50,14,7,1:23.358,83358
27,3,32,15,1:17.720,77720
188,56,4,7,2:15.090,135090
221,55,65,2,1:19.716,79716
230,77,9,4,1:50.919,110919
34,18,54,16,1:37.773,97773
342,9,49,3,1:16.842,76842
863,37,10,24,2:02.952,122952
965,825,7,16,1:47.328,107328
191,21,21,4,1:36.424,96424
883,815,18,6,1:40.513,100513
24,10,22,7,1:22.730,82730
26,12,16,6,1:34.263,94263
113,15,10,7,1:11.160,71160
340,153,8,5,1:49.815,109815
89,35,19,10,1:42.215,102215
354,808,60,16,1:17.421,77421
339,812,53,15,1:49.682,109682
874,37,8,16,1:43.276,103276
866,1,15,2,1:20.100,80100
166,49,51,8,1:23.002,83002
849,155,16,12,1:43.824,103824
119,35,1,15,2:06.134,126134
44,1,45,4,1:22.919,82919
977,815,19,7,1:10.126,70126
196,65,12,10,1:27.740,87740
9,9,52,14,1:35.696,95696
123,43,29,8,1:36.021,96021
126,30,55,1,1:16.675,76675
107,31,38,1,1:12.401,72401
127,14,29,6,1:26.255,86255
887,154,7,9,1:39.468,99468
187,44,35,12,1:27.058,87058
60,2,2,6,2:29.822,149822
160,23,14,8,1:29.728,89728
967,825,65,14,1:27.203,87203
126,14,60,3,1:16.838,76838
958,830,47,6,1:24.798,84798
930,833,45,19,1:36.593,96593
205,68,6,19,1:25.488,85488
57,27,8,19,1:38.504,98504
238,30,53,3,1:26.123,86123
76,35,3,10,1:19.118,79118
141,50,4,9,1:34.116,94116
109,50,49,13,1:42.373,102373
70,8,19,2,1:13.835,73835
152,18,25,9,2:09.231,129231
100,21,37,5,1:20.531,80531
966,20,27,1,1:23.968,83968
345,155,3,18,1:46.734,106734
870,807,32,11,1:28.014,88014
160,64,2,13,1:32.275,92275
15,15,13,3,1:33.597,93597
174,22,41,1,1:44.080,104080
134,15,2,8,1:17.697,77697
852,5,8,21,1:58.876,118876
899,814,65,11,1:19.476,79476
944,807,51,6,1:16.986,76986
961,815,51,8,1:28.184,88184
134,23,1,4,1:19.244,79244
99,21,12,12,1:18.147,78147
53,23,45,14,1:35.083,95083
872,37,28,22,1:31.961,91961
980,828,38,16,1:51.949,111949
863,1,35,9,1:40.650,100650
185,57,70,1,1:22.090,82090
163,25,41,11,2:06.690,126690
212,15,60,15,1:25.545,85545
350,15,6,16,1:30.187,90187
48,9,6,6,2:11.696,131696
