qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
2935,271,71,3,0,2,1:37.696,,
454,39,16,12,20,20,1:23.811,,
6147,911,828,207,9,22,2:14.438,,
6715,949,832,5,55,11,1:31.716,1:31.816,
5295,873,10,206,24,21,1:51.370,,
410,37,25,3,17,20,1:37.326,,
4320,101,47,18,21,20,1:18.400,,
1598,175,23,3,6,8,1:32.691,,
6058,907,820,206,4,21,1:11.775,,
3988,119,4,4,8,8,1:16.483,,
1729,199,55,15,14,8,1:25.081,,
1517,158,2,20,15,15,1:33.024,,
652,48,14,9,14,20,1:24.019,,
3225,12,69,6,3,20,1:46.957,,
1286,84,13,15,12,8,1:28.419,,
7367,980,815,10,11,8,1:45.591,1:44.894,1:45.244
7244,974,817,9,3,5,1:13.219,1:13.011,1:12.998
1739,199,74,18,23,18,1:28.051,,
152,25,4,4,5,4,1:15.754,1:15.483,1:16.840
905,60,2,2,16,9,1:21.670,1:20.629,1:21.329
6311,926,13,3,19,3,1:29.246,1:27.895,1:27.718
5326,875,4,6,5,4,1:39.144,1:37.987,1:37.534
2597,257,71,3,0,4,1:17.554,,
4431,71,22,6,2,11,1:45.481,1:31.341,
2446,250,85,30,17,21,2:02.405,,
4482,74,4,4,5,2,1:19.889,1:23.552,
3427,341,30,131,3,6,1:22.528,1:21.557,1:21.294
7291,976,832,5,55,12,1:43.489,1:43.347,
1390,89,15,7,16,12,1:36.044,,
573,45,5,4,4,7,1:32.594,1:31.783,1:32.478
5770,895,823,207,21,21,1:34.879,,
325,33,22,11,17,17,1:18.882,,
2215,241,50,31,12,14,1:57.231,,
3162,9,67,5,12,17,1:32.251,,
1877,210,30,6,5,3,1:23.955,,
4143,93,31,3,3,3,1:20.212,,
5876,900,820,206,4,17,1:34.293,,
1321,86,21,4,6,3,1:46.497,,
4067,123,14,1,5,7,1:33.137,,
4607,843,10,166,24,22,1:39.708,,
5273,872,39,164,23,22,1:27.441,,
1196,79,27,18,21,18,1:13.632,,
230,29,1,1,22,2,1:38.464,1:37.954,1:39.199
1084,68,14,9,14,12,1:45.931,1:45.968,
7198,971,828,15,9,19,1:32.543,,
389,36,16,12,20,21,1:29.339,,
7020,963,154,210,8,12,1:35.400,1:35.001,
3454,342,22,3,9,9,1:15.590,1:15.083,1:14.901
5536,884,154,208,8,7,1:22.613,1:21.998,1:21.308
6218,915,826,5,26,5,1:40.074,1:39.296,1:39.277
262,30,14,9,9,14,1:47.132,1:47.018,
1860,209,65,15,16,8,1:26.564,,
5634,888,822,3,17,17,1:31.693,,
1024,65,3,3,10,18,1:22.084,,
5335,875,155,15,14,13,1:38.719,1:38.594,
506,42,5,4,4,6,1:12.998,1:12.599,1:13.308
3503,344,3,131,4,10,1:16.350,1:16.001,1:16.071
2077,226,50,29,17,7,1:31.615,,
4579,842,813,3,12,18,1:38.276,,
6362,928,18,1,22,17,1:39.276,,
7366,980,807,4,27,7,1:45.280,1:44.988,1:44.982
4593,843,814,10,15,8,1:35.702,1:35.858,1:36.190
3785,108,49,15,10,4,1:28.274,,
6357,928,826,9,26,12,1:39.051,1:38.209,
5410,878,3,131,8,17,1:38.862,1:38.501,
1956,213,64,21,2,16,1:20.175,,
1282,84,31,1,10,4,1:27.352,,
1450,125,15,4,14,12,1:37.920,,
1442,125,23,3,3,4,1:36.028,,
4891,856,10,166,24,21,1:42.091,,
1159,78,18,16,3,1,1:15.217,,
1594,175,22,24,16,4,1:32.148,,
2661,259,104,29,9,16,1:24.472,,
4145,93,23,3,4,5,1:20.538,,
2732,263,22,17,14,7,1:17.482,,
5904,902,3,131,6,1,1:35.439,1:33.708,1:33.185
934,61,14,9,14,16,1:16.514,1:16.301,
4218,96,14,1,5,18,,,
83,21,14,9,9,17,1:21.810,,
2626,258,78,6,27,7,1:12.372,,
4060,122,53,18,18,20,1:15.644,,
2583,256,63,25,4,14,,,
6955,960,154,210,8,11,1:48.751,1:48.316,
5543,884,18,1,5,14,1:23.166,1:22.355,
6097,909,1,131,44,16,1:18.683,,
6096,909,154,208,8,15,1:18.894,1:18.983,
1663,191,56,6,4,8,1:31.767,,
6863,956,8,6,7,6,1:07.240,1:06.940,1:09.901
1389,89,13,15,12,11,1:35.898,,
1883,210,56,6,6,9,1:24.862,,
564,44,16,12,20,20,1:22.019,,
2628,258,104,29,9,9,1:12.444,,
7359,979,828,15,9,20,1:19.972,,
4809,852,808,4,10,10,2:05.292,2:03.466,1:52.303
3950,117,44,7,20,10,1:16.345,,
6462,933,833,209,98,19,1:14.071,,
2351,246,92,30,16,22,1:23.647,,
780,54,13,6,6,16,1:35.091,,
5096,865,807,10,12,11,1:15.418,1:15.421,
