raceid,driverid,lap,position,time,milliseconds
236,83,35,10,1:57.703,117703
151,31,28,5,1:25.232,85232
151,4,27,16,1:28.803,88803
905,807,14,8,1:22.085,82085
959,3,16,4,1:20.197,80197
151,37,22,12,1:27.495,87495
195,63,3,14,1:29.098,89098
940,828,35,13,1:40.569,100569
48,1,35,2,1:23.745,83745
853,13,9,7,1:29.750,89750
185,44,2,17,1:26.060,86060
878,818,5,15,1:47.120,107120
182,41,34,14,1:31.873,91873
934,828,18,8,1:40.453,100453
72,22,34,10,1:41.650,101650
170,37,9,17,2:02.329,122329
74,17,14,4,1:24.630,84630
210,44,4,6,1:30.545,90545
65,22,32,4,1:42.618,102618
953,822,8,9,1:55.536,115536
908,813,8,14,1:43.271,103271
136,11,64,10,1:20.282,80282
845,5,1,16,1:44.276,104276
39,3,17,8,1:24.408,84408
944,13,28,8,1:18.141,78141
193,74,12,20,1:34.606,94606
33,22,56,13,1:21.401,81401
912,825,39,6,1:29.918,89918
34,6,28,12,1:38.737,98737
73,40,52,12,1:44.399,104399
857,815,26,11,1:32.044,92044
28,15,44,7,1:23.803,83803
239,73,48,13,1:50.320,110320
182,68,54,16,1:33.347,93347
46,11,66,15,1:20.980,80980
145,18,51,16,1:27.911,87911
338,5,44,13,1:34.594,94594
108,8,20,1,2:27.629,147629
140,18,40,7,1:39.174,99174
145,44,31,10,1:23.395,83395
227,35,22,1,1:22.900,82900
909,824,9,17,1:24.960,84960
97,21,67,6,1:17.157,77157
862,811,33,13,1:41.829,101829
11,1,20,2,1:40.335,100335
967,807,55,7,2:00.844,120844
195,14,47,2,1:43.935,103935
227,57,66,8,1:24.183,84183
75,17,2,4,2:19.763,139763
128,13,64,5,1:23.231,83231
969,839,45,11,1:30.099,90099
87,39,58,15,1:16.576,76576
949,815,25,14,1:39.568,99568
911,18,17,8,1:55.235,115235
900,820,45,14,1:38.085,98085
954,154,20,12,1:18.723,78723
215,82,1,19,1:46.460,106460
931,154,41,11,1:21.460,81460
39,11,6,13,1:25.536,85536
959,807,65,7,1:20.581,80581
911,154,15,18,1:55.746,115746
193,75,50,15,1:32.873,92873
178,64,9,15,1:27.329,87329
95,13,35,8,1:17.733,77733
97,14,3,13,1:16.538,76538
179,41,5,16,1:28.361,88361
126,31,24,17,1:18.219,78219
976,807,14,8,2:49.750,169750
136,30,66,2,1:20.195,80195
854,24,19,20,2:01.465,121465
844,2,44,8,1:31.952,91952
153,31,30,6,1:19.576,79576
902,8,40,11,1:40.509,100509
150,44,1,12,1:25.331,85331
237,50,37,9,1:29.710,89710
132,17,49,16,1:36.524,96524
233,57,45,3,1:50.197,110197
238,79,48,13,1:26.601,86601
841,18,34,6,1:31.615,91615
40,23,64,16,1:17.613,77613
938,829,7,15,1:32.154,92154
911,13,15,13,1:57.691,117691
943,829,52,16,1:31.163,91163
342,20,46,2,1:19.598,79598
74,24,32,11,1:25.020,85020
866,813,18,11,1:20.345,80345
132,56,2,16,1:40.401,100401
78,15,53,3,1:19.103,79103
39,18,51,12,1:24.557,84557
868,154,19,8,1:38.560,98560
885,154,32,14,1:25.358,85358
856,155,34,17,1:44.181,104181
883,3,52,9,1:37.730,97730
174,41,6,7,1:42.406,102406
