targetid,raceid,driverid,win
20464,421,140,0
43804,828,772,0
55226,618,292,0
6913,293,79,0
50777,711,364,0
10966,220,63,0
16396,335,103,0
59116,504,176,0
66433,268,78,0
16310,332,152,0
13687,39,16,0
64423,843,22,0
48928,697,387,0
21767,459,182,0
13033,63,32,0
19785,398,122,0
56902,571,223,0
19617,392,110,0
16442,336,127,0
20629,425,173,0
58393,558,212,0
46770,789,537,0
21045,437,182,1
13618,36,13,0
7117,300,71,0
17312,312,78,0
57947,549,260,0
57431,535,212,0
67063,927,817,0
57310,532,202,0
12239,115,18,0
23117,492,194,0
66007,272,88,0
67961,964,821,0
51424,708,383,0
64271,354,17,0
20458,421,117,0
50850,714,383,0
43331,836,741,0
12514,95,4,0
7216,304,119,0
46141,794,646,0
51033,699,356,0
21476,449,172,0
65983,272,79,0
58979,499,136,0
46683,788,496,0
44836,810,528,0
136,25,2,0
6902,293,95,1
19880,401,114,0
48678,736,434,0
9486,279,91,0
44530,823,651,0
271,31,5,0
17636,320,133,0
55509,596,197,0
15942,323,117,0
56787,568,276,0
7031,297,129,0
46650,787,597,0
21329,446,175,0
43432,837,726,0
3143,161,55,0
5086,226,50,0
13930,50,3,0
48228,743,373,0
15986,324,140,0
48636,736,453,0
49539,774,592,0
58206,555,254,0
57530,538,199,0
19401,385,158,0
58987,500,217,0
43642,826,641,0
19319,382,160,0
48366,745,425,0
49167,769,565,0
215,28,21,0
52120,807,684,0
65728,887,819,0
48102,739,347,0
