year,lgid,tmid,oppid,w,l,t,otl
2008,NHL,PHI,CBS,0,1,,0
1982,NHL,STL,CAL,1,2,0.0,
1980,NHL,EDM,QUE,1,3,0.0,
1990,NHL,LAK,BUF,2,0,1.0,
1974,WHA,CLC,QUN,3,3,0.0,
1962,NHL,NYR,MTL,5,5,4.0,
1975,WHA,IND,QUN,1,3,0.0,
2006,NHL,CHI,BUF,0,1,,0
2002,NHL,PHI,CBS,1,0,0.0,0
1981,NHL,COR,PIT,0,3,0.0,
2003,NHL,OTT,NYI,1,2,1.0,0
1989,NHL,QUE,HAR,1,6,1.0,
2009,NHL,LAK,BUF,1,0,,0
1968,NHL,PHI,OAK,2,4,2.0,
1997,NHL,LAK,COL,4,1,0.0,
2002,NHL,TOR,NJD,3,1,0.0,0
2009,NHL,WAS,AND,1,0,,0
1996,NHL,PHO,SJS,3,1,0.0,
2010,NHL,DAL,NJD,1,1,,0
1993,NHL,WIN,NJD,0,2,0.0,
1994,NHL,FLO,NYR,1,2,1.0,
1974,NHL,LAK,BOS,3,2,0.0,
1937,NHL,DET,BOS,2,5,1.0,
2003,NHL,CHI,PIT,0,2,0.0,0
2010,NHL,CHI,BOS,0,1,,0
2008,NHL,BUF,FLO,3,1,,0
1970,NHL,VAN,PIT,1,4,1.0,
1974,NHL,WAS,PHI,0,4,0.0,
2010,NHL,ATL,FLO,4,1,,1
2006,NHL,OTT,CAL,0,1,,0
1986,NHL,BUF,PIT,0,2,1.0,
2007,NHL,BUF,DAL,1,0,,0
2002,NHL,ATL,CAR,2,1,1.0,1
1987,NHL,NYI,QUE,2,1,0.0,
1925,WCHL,CAT,VMR,2,2,0.0,
2008,NHL,MTL,LAK,1,0,,0
1990,NHL,TOR,DET,2,5,1.0,
1995,NHL,STL,FLO,1,0,1.0,
1991,NHL,HAR,PHI,3,0,0.0,
2008,NHL,NYR,BOS,2,2,,0
1985,NHL,NJD,LAK,2,1,0.0,
1991,NHL,QUE,EDM,0,2,0.0,
2011,NHL,CBS,TOR,0,1,,0
1992,NHL,PHI,OTT,2,1,0.0,
1975,NHL,PIT,NYR,3,1,0.0,
1998,NHL,TBL,PHI,1,2,1.0,
2011,NHL,BOS,NAS,1,0,,0
2005,NHL,WAS,PIT,1,3,,0
1978,NHL,CHI,LAK,1,3,0.0,
1977,WHA,CZE,HOU,0,1,0.0,
1999,NHL,PIT,NAS,1,1,0.0,0
2010,NHL,SJS,MIN,2,2,,0
2010,NHL,TOR,EDM,1,1,,0
2009,NHL,NJD,MIN,1,0,,0
2000,NHL,STL,TBL,1,1,0.0,0
1982,NHL,MNS,EDM,1,2,0.0,
1977,NHL,WAS,CHI,0,3,1.0,
1987,NHL,NJD,BOS,1,2,0.0,
1979,NHL,ATF,PHI,2,2,0.0,
1993,NHL,WIN,CAL,0,4,0.0,
1995,NHL,PIT,STL,1,1,0.0,
2007,NHL,MTL,FLO,2,1,,1
1999,NHL,NAS,DAL,2,2,0.0,0
2000,NHL,TOR,PHI,2,1,0.0,1
2010,NHL,STL,NYR,1,1,,0
1972,WHA,MFS,PHB,4,2,0.0,
1993,NHL,DAL,NJD,0,2,0.0,
1971,NHL,BUF,LAK,2,3,1.0,
2001,NHL,PHI,CAR,3,1,0.0,0
2008,NHL,CAR,PIT,2,2,,0
1984,NHL,CHI,BOS,3,0,0.0,
1974,NHL,NYI,STL,2,2,1.0,
1932,NHL,NYR,DET,2,4,0.0,
2005,NHL,CBS,DET,1,5,,2
1932,NHL,OTS,NYA,3,2,1.0,
1922,WCHL,REG,VC1,1,1,0.0,
1994,NHL,STL,DAL,3,2,0.0,
2011,NHL,MTL,SJS,0,0,,1
1924,WCHL,VMR,EDE,2,3,0.0,
2001,NHL,DAL,EDM,2,1,1.0,0
1994,NHL,STL,WIN,3,2,0.0,
1996,NHL,HAR,WAS,1,2,1.0,
2011,NHL,MIN,CAR,0,1,,0
1985,NHL,PIT,TOR,3,0,0.0,
1947,NHL,DET,BOS,6,4,2.0,
1990,NHL,MTL,PIT,2,0,1.0,
1999,NHL,NJD,NAS,2,0,0.0,0
1984,NHL,NJD,MTL,1,1,1.0,
1986,NHL,VAN,NYI,2,1,0.0,
1997,NHL,CAR,CHI,1,1,0.0,
1997,NHL,FLO,COL,0,2,0.0,
1993,NHL,FLO,DAL,0,1,1.0,
2000,NHL,FLO,TOR,1,2,1.0,0
2007,NHL,NYR,SJS,1,0,,0
1926,NHL,OTS,TRS,5,0,1.0,
1976,NHL,WAS,TOR,3,2,0.0,
2003,NHL,CAL,ANA,3,1,0.0,0
2002,NHL,MTL,CBS,0,0,0.0,1
1972,WHA,LAS,NRA,5,1,0.0,
2011,NHL,LAK,NYR,1,0,,0
1993,NHL,SJS,FLO,1,0,1.0,
1988,NHL,HAR,PHI,1,1,1.0,
1991,NHL,CAL,CHI,1,1,1.0,
1995,NHL,EDM,FLO,0,2,0.0,
1916,PCHA,SEA,SPO,7,1,0.0,
1999,NHL,NYI,OTT,1,0,2.0,1
1973,NHL,DET,PHI,0,5,0.0,
