year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1944,SF,B,DET,NHL,BOS,NHL,4,3,0,22,22,
1989,CF,N,EDM,NHL,CHI,NHL,4,2,0,25,20,
1982,DF,J,NYI,NHL,NYR,NHL,4,2,0,28,15,
2000,CQF,E,COL,NHL,VAN,NHL,4,0,0,16,9,
1984,DSF,A,MTL,NHL,BOS,NHL,3,2,0,19,17,
1997,CF,N,DET,NHL,DAL,NHL,4,2,0,15,11,
1982,DSF,H,CAL,NHL,VAN,NHL,3,1,0,17,14,
2010,CF,N,VAN,NHL,SJS,NHL,4,1,0,20,13,
2005,CF,M,CAR,NHL,BUF,NHL,4,3,0,22,17,
1984,DF,J,PHI,NHL,NYI,NHL,4,1,0,16,11,
2010,CSF,K,VAN,NHL,NAS,NHL,4,2,0,14,11,
1982,DSF,D,NYI,NHL,WAS,NHL,3,1,0,19,11,
1984,DSF,G,EDM,NHL,LAK,NHL,3,0,0,11,7,
2000,CQF,B,TOR,NHL,OTT,NHL,4,0,0,10,3,
1993,CQF,G,TOR,NHL,CHI,NHL,4,2,0,15,10,
1998,SCF,O,DAL,NHL,BUF,NHL,4,2,0,13,9,
2007,CQF,C,PHI,NHL,WAS,NHL,4,3,0,23,20,
1975,Pre,C,LAK,NHL,ATF,NHL,2,0,0,3,1,
1929,QF,C,NYR,NHL,OTS,NHL,1,0,1,6,3,TG
1988,CF,N,CAL,NHL,CHI,NHL,4,1,0,15,8,
2009,CQF,G,VAN,NHL,LAK,NHL,4,2,0,25,18,
1990,DSF,F,STL,NHL,DET,NHL,4,3,0,24,20,
1994,CQF,E,DET,NHL,DAL,NHL,4,1,0,17,10,
1965,SCF,C,MTL,NHL,DET,NHL,4,2,0,18,14,
2003,CQF,C,PHI,NHL,NJD,NHL,4,1,0,14,9,
1974,Pre,C,PIT,NHL,STL,NHL,2,0,0,9,6,
1981,DSF,C,CHI,NHL,MNS,NHL,3,1,0,14,14,
1978,QF,F,MTL,NHL,TOR,NHL,4,0,0,19,10,
2007,CSF,J,PIT,NHL,NYR,NHL,4,1,0,15,12,
1953,SF,A,DET,NHL,TOR,NHL,4,1,0,15,8,
1987,CF,N,EDM,NHL,DET,NHL,4,1,0,23,16,
1997,CQF,D,WAS,NHL,BOS,NHL,4,2,0,15,13,
1970,QF,C,CHI,NHL,PHI,NHL,4,0,0,20,8,
1987,DSF,D,WAS,NHL,PHI,NHL,4,3,0,31,25,
1986,DF,K,DET,NHL,TOR,NHL,4,3,0,20,18,
1931,SF,D,TOR,NHL,MTM,NHL,1,0,1,4,3,TG
2000,CSF,I,NJD,NHL,TOR,NHL,4,3,0,21,18,
1926,QF,B,BOS,NHL,CHI,NHL,1,0,1,10,5,TG
1981,SCF,O,NYI,NHL,VAN,NHL,4,0,0,18,10,
2010,CSF,L,SJS,NHL,DET,NHL,4,3,0,18,18,
1938,QF,B,TOR,NHL,NYA,NHL,2,0,0,6,0,
1950,SF,B,TOR,NHL,BOS,NHL,4,1,1,17,5,
1974,QF,H,NYI,NHL,PIT,NHL,4,3,0,21,18,
1941,QF,C,DET,NHL,MTL,NHL,2,1,0,8,8,
1952,SF,A,BOS,NHL,DET,NHL,4,2,0,21,21,
1977,QF,H,PHI,NHL,BUF,NHL,4,1,0,16,11,
1921,SF,,REG,WCHL,CAT,WCHL,1,0,1,2,1,TG
2000,SCF,O,COL,NHL,NJD,NHL,4,3,0,19,11,
1980,Pre,E,BUF,NHL,VAN,NHL,3,0,0,13,7,
1942,SF,A,DET,NHL,TOR,NHL,4,2,0,20,17,
1973,SCF,G,PHI,NHL,BOS,NHL,4,2,0,15,13,
1992,DSF,H,LAK,NHL,CAL,NHL,4,2,0,33,28,
1997,SCF,O,DET,NHL,WAS,NHL,4,0,0,13,7,
1976,QF,H,NYI,NHL,BUF,NHL,4,0,0,16,10,
2011,CSF,J,NJD,NHL,PHI,NHL,4,1,0,18,11,
1985,SCF,O,MTL,NHL,CAL,NHL,4,1,0,15,13,
