year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1987,NHL,CHI,CHI,CC,NO,3,DSF,80,30,41,9.0,,69,,,284,328,Chicago Blackhawks,2228,12,98,426,13,96,484,18
1967,NHL,MTL,MTL,,ED,1,SC,74,42,22,10.0,,94,,,236,167,Montreal Canadiens,698,,50,245,3,34,205,7
1939,NHL,TOR,TOR,,,3,F,48,25,17,6.0,,56,,,134,110,Toronto Maple Leafs,474,,,,,,,
2008,NHL,NJD,NJD,EC,AT,1,CQF,82,51,27,,4,106,6,2,244,209,New Jersey Devils,1058,20,58,307,4,65,324,12
2006,NHL,CHI,CHI,WC,CE,5,,82,31,42,,9,71,6,7,201,258,Chicago Blackhawks,1332,16,43,364,6,77,443,12
1989,NHL,BOS,BOS,WA,AD,1,F,80,46,25,9.0,,101,,,289,232,Boston Bruins,1458,20,83,352,3,53,316,5
2003,NHL,CAR,CAR,EC,SE,3,,82,28,34,14.0,6,76,,,172,209,Carolina Hurricanes,1102,16,41,384,9,66,359,9
1987,NHL,VAN,VAN,CC,SM,5,,80,25,46,9.0,,59,,,272,320,Vancouver Canucks,2196,12,81,435,18,83,404,10
1983,NHL,WIN,PHO,CC,SM,4,DSF,80,31,38,11.0,,73,,,340,374,Winnipeg Jets,1579,10,80,374,18,86,341,13
2006,NHL,CAL,CAL,WC,NW,3,CQF,82,43,29,,10,96,3,5,258,226,Calgary Flames,1204,22,73,401,5,81,414,15
1965,NHL,NYR,NYR,,,6,,70,18,41,11.0,,47,,,195,261,New York Rangers,894,,44,282,2,63,282,2
2002,NHL,CAR,CAR,EC,SE,5,,82,22,43,11.0,6,61,,,171,240,Carolina Hurricanes,1208,16,58,420,9,71,392,6
1915,PCHA,SEA,SEA,,,3,,18,9,9,0.0,,18,,,68,67,Seattle Metropolitans,,,,,,,,
1996,NHL,HAR,CAR,EC,NE,5,,82,32,39,11.0,,75,,,226,256,Hartford Whalers,1513,18,58,321,11,51,332,12
1911,NHA,QU1,BKN,,,1,,18,10,8,0.0,,20,,,81,79,Quebec Bulldogs,,,,,,,,
1978,NHL,PIT,PIT,WA,NO,2,QF,80,36,31,13.0,,85,,,281,279,Pittsburgh Penguins,1039,16,56,261,4,57,250,7
1965,NHL,DET,DET,,,4,F,70,31,27,12.0,,74,,,221,194,Detroit Red Wings,804,,42,245,9,44,273,7
1982,NHL,VAN,VAN,CC,SM,3,DSF,80,30,35,15.0,,75,,,303,309,Vancouver Canucks,1639,4,90,333,13,56,292,5
1969,NHL,TOR,TOR,,ED,6,,76,29,34,13.0,,71,,,222,242,Toronto Maple Leafs,898,12,49,242,7,60,269,5
1974,NHL,NYR,NYR,CC,PT,2,PRE,80,37,29,14.0,,88,,,319,276,New York Rangers,1053,12,84,296,7,54,295,6
1925,WCHL,VIC,VIC,,,3,F,30,15,11,4.0,,34,,,68,53,Victoria Cougars,,,,,,,,
1983,NHL,WAS,WAS,WA,PT,2,DF,80,48,27,5.0,,101,,,308,226,Washington Capitals,1252,18,77,382,18,39,293,8
1995,NHL,NJD,NJD,EC,AT,6,,82,37,33,12.0,,86,,,215,202,New Jersey Devils,1486,4,55,368,9,49,319,11
1929,NHL,CHI,CHI,,AM,2,QF,44,21,18,5.0,,47,,,117,111,Chicago Black Hawks,573,,,,,,,
2002,NHL,DAL,DAL,WC,PC,1,CSF,82,46,17,15.0,4,111,,,245,169,Dallas Stars,1166,28,62,327,6,50,346,9
1996,NHL,EDM,EDM,WC,PC,3,CSF,82,36,37,9.0,,81,,,252,247,Edmonton Oilers,1368,18,73,406,13,59,338,9
1994,NHL,STL,STL,WC,CE,2,CQF,48,28,15,5.0,,61,,,178,135,St. Louis Blues,1077,16,36,220,2,46,233,7
1973,NHL,BOS,BOS,,ED,1,F,78,52,17,9.0,,113,,,349,221,Boston Bruins,968,8,65,225,2,48,258,12
