title_id,lorange,hirange,royalty
PS2106,2001,5000,12
BU7832,5001,10000,12
TC7777,0,5000,10
MC2222,4001,8000,14
BU2075,1001,3000,12
BU1111,28001,50000,24
MC3021,6001,8000,18
TC3218,0,2000,10
PC1035,3001,4000,14
TC4203,32001,40000,20
PS2106,5001,10000,14
BU7832,35001,50000,24
TC3218,14001,50000,24
MC2222,20001,50000,20
MC2222,8001,12000,16
BU1111,24001,28000,22
BU1032,5001,50000,12
TC3218,8001,10000,18
MC3021,12001,50000,24
PC8888,0,5000,10
TC4203,16001,24000,16
PS3333,0,5000,10
TC3218,4001,6000,14
PS7777,5001,50000,12
BU2075,14001,50000,24
MC3021,10001,12000,22
BU7832,15001,20000,16
BU2075,7001,10000,18
BU7832,30001,35000,22
PS2091,5001,10000,14
