actor_id,film_id,last_update
28,743,2006-02-15T04:05:03
180,955,2006-02-15T04:05:03
83,165,2006-02-15T04:05:03
163,719,2006-02-15T04:05:03
125,238,2006-02-15T04:05:03
175,483,2006-02-15T04:05:03
60,658,2006-02-15T04:05:03
133,514,2006-02-15T04:05:03
52,999,2006-02-15T04:05:03
112,728,2006-02-15T04:05:03
42,713,2006-02-15T04:05:03
141,829,2006-02-15T04:05:03
162,1,2006-02-15T04:05:03
7,846,2006-02-15T04:05:03
195,869,2006-02-15T04:05:03
42,527,2006-02-15T04:05:03
123,246,2006-02-15T04:05:03
113,258,2006-02-15T04:05:03
103,118,2006-02-15T04:05:03
23,435,2006-02-15T04:05:03
86,196,2006-02-15T04:05:03
39,606,2006-02-15T04:05:03
150,672,2006-02-15T04:05:03
35,707,2006-02-15T04:05:03
88,234,2006-02-15T04:05:03
48,287,2006-02-15T04:05:03
180,869,2006-02-15T04:05:03
141,821,2006-02-15T04:05:03
93,453,2006-02-15T04:05:03
16,583,2006-02-15T04:05:03
89,833,2006-02-15T04:05:03
50,552,2006-02-15T04:05:03
156,844,2006-02-15T04:05:03
138,747,2006-02-15T04:05:03
127,366,2006-02-15T04:05:03
192,166,2006-02-15T04:05:03
41,721,2006-02-15T04:05:03
154,141,2006-02-15T04:05:03
69,396,2006-02-15T04:05:03
101,491,2006-02-15T04:05:03
61,752,2006-02-15T04:05:03
142,504,2006-02-15T04:05:03
108,219,2006-02-15T04:05:03
57,767,2006-02-15T04:05:03
78,301,2006-02-15T04:05:03
68,378,2006-02-15T04:05:03
36,426,2006-02-15T04:05:03
138,583,2006-02-15T04:05:03
199,216,2006-02-15T04:05:03
140,693,2006-02-15T04:05:03
200,465,2006-02-15T04:05:03
33,214,2006-02-15T04:05:03
159,561,2006-02-15T04:05:03
29,296,2006-02-15T04:05:03
131,94,2006-02-15T04:05:03
40,737,2006-02-15T04:05:03
158,177,2006-02-15T04:05:03
44,420,2006-02-15T04:05:03
39,736,2006-02-15T04:05:03
145,664,2006-02-15T04:05:03
8,179,2006-02-15T04:05:03
114,757,2006-02-15T04:05:03
176,89,2006-02-15T04:05:03
