film_id,category_id,last_update
1,6,2006-02-15T04:07:09
19,1,2006-02-15T04:07:09
21,1,2006-02-15T04:07:09
29,1,2006-02-15T04:07:09
56,1,2006-02-15T04:07:09
67,1,2006-02-15T04:07:09
97,1,2006-02-15T04:07:09
105,1,2006-02-15T04:07:09
111,1,2006-02-15T04:07:09
115,1,2006-02-15T04:07:09
126,1,2006-02-15T04:07:09
130,1,2006-02-15T04:07:09
162,1,2006-02-15T04:07:09
194,1,2006-02-15T04:07:09
205,1,2006-02-15T04:07:09
210,1,2006-02-15T04:07:09
212,1,2006-02-15T04:07:09
229,1,2006-02-15T04:07:09
250,1,2006-02-15T04:07:09
252,1,2006-02-15T04:07:09
253,1,2006-02-15T04:07:09
271,1,2006-02-15T04:07:09
287,1,2006-02-15T04:07:09
292,1,2006-02-15T04:07:09
303,1,2006-02-15T04:07:09
327,1,2006-02-15T04:07:09
329,1,2006-02-15T04:07:09
360,1,2006-02-15T04:07:09
371,1,2006-02-15T04:07:09
