targetid,raceid,driverid,win
19734,396,99,0
68323,976,836,0
54969,611,231,0
20994,435,177,1
18078,14,12,0
22866,487,207,0
20063,408,156,0
23111,492,117,0
51277,705,358,0
46919,791,427,0
46491,798,662,0
12384,122,18,0
51913,805,554,0
47270,781,538,0
10867,216,23,0
19077,375,123,0
66486,270,22,0
53060,664,358,0
57588,539,232,0
16448,336,129,0
13105,66,32,0
49583,775,475,1
19954,404,123,0
67206,933,831,0
17171,308,94,0
9647,285,94,0
21718,457,195,0
66683,903,822,0
62284,761,528,0
55436,594,278,0
55672,600,221,0
17924,8,9,0
13717,41,1,1
50772,711,305,0
63649,727,397,0
52669,685,383,0
45364,816,680,0
108,23,11,0
5277,235,55,0
13164,68,33,0
66966,915,13,0
20718,427,175,0
56080,580,252,0
54530,649,339,0
5260,234,22,0
66658,902,825,0
58071,552,235,0
11094,177,70,0
67843,959,4,0
53515,642,321,0
3291,168,60,0
54708,654,358,0
20308,416,163,0
3433,174,56,0
58869,525,219,0
44153,817,720,0
58882,525,235,0
58570,515,163,0
55983,576,197,0
44548,823,593,0
21744,458,193,0
63934,344,30,0
58137,554,199,0
57779,544,231,0
68200,971,830,0
11204,183,22,0
43413,837,661,0
44572,823,578,0
13919,49,9,0
43508,838,518,0
10529,253,55,0
47016,777,418,0
11454,145,30,1
50170,754,403,1
22835,486,176,0
12674,102,45,0
9549,282,65,0
65358,873,808,0
17338,312,129,0
20985,435,160,0
10591,254,76,0
19342,383,163,0
53479,641,352,0
62128,759,538,0
6802,290,105,0
44559,823,732,0
54477,648,289,0
58098,553,200,0
19641,393,158,0
49276,771,479,0
17380,314,117,0
53901,678,235,0
66384,267,104,0
44117,832,708,0
53623,670,328,0
49931,750,435,0
47065,778,597,0
10965,220,21,0
65177,869,814,0
56644,564,279,0
18171,356,110,0
57476,536,206,0
49445,773,586,0
16107,327,114,0
57769,544,224,0
49239,770,449,0
22786,484,117,0
67948,964,807,0
12694,103,32,0
49351,772,483,0
57192,528,232,0
22743,483,176,0
20263,414,176,0
9546,282,118,0
1391,80,35,0
53579,668,361,0
