raceid,driverid,lap,position,time,milliseconds
351,10,20,17,1:55.754,115754
151,18,53,15,1:28.826,88826
182,35,18,11,1:31.342,91342
17,4,51,14,1:41.115,101115
4,16,2,16,1:44.034,104034
867,8,44,3,1:44.150,104150
101,11,17,10,1:16.034,76034
957,821,5,14,2:35.997,155997
46,14,64,11,1:21.738,81738
943,831,45,16,1:45.683,105683
893,821,35,14,1:54.764,114764
861,808,11,19,2:50.751,170751
183,25,50,7,1:14.749,74749
52,5,28,16,1:15.793,75793
104,47,25,17,1:27.563,87563
232,22,39,8,1:20.889,80889
155,49,23,10,1:28.997,88997
938,1,24,1,1:28.122,88122
863,18,43,7,1:38.534,98534
39,19,2,17,1:27.002,87002
931,817,76,4,1:19.087,79087
102,30,14,1,1:20.811,80811
147,14,36,13,1:25.551,85551
199,57,60,2,1:46.486,106486
207,76,5,11,1:35.610,95610
843,18,2,1,1:44.859,104859
136,21,45,4,1:19.513,79513
886,16,14,14,1:20.892,80892
337,22,32,10,2:01.125,121125
18,4,49,5,1:31.068,91068
966,8,11,5,1:24.258,84258
875,818,34,7,1:44.575,104575
158,2,24,16,1:40.936,100936
10,15,53,7,1:23.848,83848
977,154,57,6,1:08.680,68680
347,13,20,2,1:19.489,79489
855,815,27,9,2:29.628,149628
68,11,2,19,1:53.882,113882
344,807,55,10,1:19.778,79778
348,37,38,8,1:26.240,86240
950,825,3,13,1:44.911,104911
157,37,7,13,1:41.267,101267
951,821,45,17,1:43.042,103042
847,22,6,15,1:41.690,101690
350,4,14,2,1:26.421,86421
845,815,3,11,1:32.783,92783
937,830,29,8,1:55.712,115712
867,18,53,10,1:45.395,105395
52,20,10,10,1:15.392,75392
93,8,17,10,1:23.641,83641
208,50,69,15,1:21.061,81061
60,8,32,2,1:22.936,82936
98,2,17,9,2:08.288,128288
963,822,35,7,1:40.598,100598
40,23,14,21,1:24.177,84177
958,18,16,22,1:27.514,87514
865,815,47,17,1:18.085,78085
238,79,7,18,1:28.576,88576
131,66,32,14,1:19.010,79010
345,37,57,12,1:45.489,105489
41,22,37,11,1:20.834,80834
43,22,69,11,1:17.352,77352
171,35,8,3,2:27.446,147446
110,4,53,3,1:23.941,83941
23,15,8,10,2:07.032,127032
45,19,47,12,1:36.298,96298
38,25,44,11,1:36.321,96321
971,8,21,5,1:36.197,96197
910,818,28,2,1:29.547,89547
6,2,22,12,1:17.515,77515
112,4,48,2,1:20.594,80594
337,22,44,10,2:00.112,120112
85,21,27,3,1:24.099,84099
961,13,7,8,1:28.667,88667
966,3,46,2,1:23.347,83347
107,18,3,8,1:26.587,86587
