resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid
13457,550,263,37,32,0,,F,31,0.0,0,,,,,,,81
3507,184,44,20,18,7,6.0,6,6,1.0,45,+29.879,4948473.0,,,,,1
22195,902,16,15,99,22,,R,22,0.0,17,,,9.0,20.0,1:41.791,191.403,4
2537,140,30,6,1,1,1.0,1,1,10.0,53,1:26:59.698,5219698.0,,,,,1
14709,596,238,32,1,5,,R,21,0.0,8,,,,,,,86
8709,378,160,49,9,0,,E,31,0.0,0,,,,,,,96
19174,797,663,118,28,15,9.0,9,9,0.0,72,,,,,,,114
11186,470,118,53,35,8,,R,14,0.0,0,,,,,,,10
3010,161,48,18,20,21,14.0,14,14,0.0,59,,,,,,,11
4608,234,49,15,15,13,8.0,8,8,0.0,44,,,,,,,11
8656,377,141,25,4,22,9.0,9,9,0.0,59,,,,,,,20
22263,906,3,131,6,1,2.0,2,2,18.0,70,+4.236,5957066.0,33.0,7.0,1:18.881,199.028,1
6171,294,129,25,3,24,,R,23,0.0,4,,,,,,,7
369,36,8,6,6,1,1.0,1,1,10.0,58,1:25:28.770,5128770.0,41.0,1.0,1:25.235,223.978,1
14611,593,231,64,24,10,10.0,10,10,0.0,81,,,,,,,13
16669,682,278,6,1,5,3.0,3,3,4.0,28,+1:40.0,6149400.0,,,,,1
5364,265,100,33,20,22,6.0,6,6,1.0,45,+1:45.445,5062645.0,,,,,1
9693,415,175,26,16,13,5.0,5,5,2.0,50,,,,,,,12
21831,885,8,208,7,5,10.0,10,10,1.0,78,+36.582,8308638.0,78.0,2.0,1:17.392,155.364,1
15031,608,329,37,12,19,7.0,7,7,0.0,74,,,,,,,11
11608,485,163,4,16,5,5.0,5,5,2.0,53,+1:31.85,5764590.0,,,,,1
12292,508,177,56,21,0,,F,28,0.0,0,,,,,,,81
10722,454,188,55,34,17,11.0,11,11,0.0,52,,,,,,,12
3876,201,14,1,7,2,2.0,2,2,6.0,45,+0.426,4848426.0,,,,,1
11750,489,110,1,8,14,,R,24,0.0,9,,,,,,,3
10450,444,117,1,7,7,,R,10,0.0,56,,,,,,,20
19904,826,728,107,26,30,,R,33,0.0,8,,,,,,,7
6931,318,138,25,3,18,17.0,17,17,0.0,62,,,,,,,13
5660,275,69,26,22,0,,F,26,0.0,0,,,,,,,81
6271,297,128,34,7,0,,W,30,0.0,0,,,,,,,54
786,54,8,1,3,6,,R,22,0.0,0,,,,,,,3
12020,498,136,54,10,0,,F,27,0.0,0,,,,,,,81
14473,588,223,6,11,2,1.0,1,1,9.0,52,1:22:42.6,4962600.0,,,,,1
50,20,15,7,11,7,6.0,6,6,3.0,57,+41.314,5508284.0,45.0,7.0,1:34.204,206.819,1
20556,346,10,166,24,19,18.0,18,18,0.0,50,,,49.0,19.0,1:36.415,219.961,12
6143,293,57,32,11,0,,F,27,0.0,0,,,,,,,81
16474,672,328,196,28,2,3.0,3,3,4.0,59,,,,,,,11
15015,607,329,37,24,23,,N,16,0.0,65,,,,,,,62
1601,94,21,15,11,12,7.0,7,7,2.0,66,+1:17.108,5329949.0,37.0,13.0,1:19.062,210.685,1
6680,311,55,6,28,6,4.0,4,4,3.0,72,+35.920,5915976.0,,,,,1
10414,443,137,34,1,1,1.0,1,1,9.0,63,1:55:41.842,6941842.0,,,,,1
2500,138,15,4,14,11,4.0,4,4,3.0,53,+58.219,4638201.0,,,,,1
1245,76,13,15,12,11,9.0,9,9,0.0,77,,,16.0,13.0,1:17.799,154.552,11
21483,870,814,10,11,12,12.0,12,12,0.0,69,+1:02.887,6128390.0,57.0,12.0,1:25.976,183.441,1
8464,371,109,46,37,17,,R,10,0.0,27,,,,,,,10
1629,95,45,17,19,18,,R,15,0.0,12,,,10.0,14.0,1:19.415,151.407,7
13599,555,178,58,17,13,,R,17,0.0,32,,,,,,,5
17514,723,403,54,18,0,,W,26,0.0,0,,,,,,,54
7548,336,101,34,7,25,,R,25,0.0,18,,,,,,,20
23566,978,817,9,3,19,5.0,5,5,10.0,51,+1:05.955,4953385.0,47.0,6.0,1:31.874,230.833,1
17439,720,401,172,2,11,,R,20,0.0,5,,,,,,,68
9919,423,112,50,10,0,,F,23,0.0,0,,,,,,,81
15958,646,363,6,28,8,4.0,4,4,3.0,28,+2:38.5,6048600.0,,,,,1
11359,476,197,45,31,18,,R,21,0.0,2,,,,,,,4
1302,79,8,1,9,2,,W,8,0.0,0,,,,,,,54
911,60,27,13,19,18,15.0,15,15,0.0,59,,,27.0,13.0,1:23.977,220.388,11
11893,494,206,37,17,19,,R,20,0.0,5,,,,,,,22
3379,178,23,3,6,16,,R,10,0.0,54,,,,,,,20
16657,681,374,66,10,12,8.0,8,8,0.0,87,,,,,,,13
11399,478,163,4,16,3,2.0,2,2,6.0,45,+16.379,5261557.0,,,,,1
704,51,24,5,18,11,6.0,6,6,3.0,56,+1:13.673,5952068.0,53.0,11.0,1:39.654,196.917,1
11152,469,203,6,27,7,,D,11,0.0,75,,,,,,,2
4773,242,71,3,5,4,1.0,1,1,10.0,63,1:41:42.522,6102522.0,,,,,1
18794,779,578,6,14,7,4.0,4,4,3.0,76,,,,,,,11
6345,300,88,29,10,25,9.0,9,9,0.0,43,,,,,,,11
17713,732,346,176,40,15,,R,16,0.0,6,,,,,,,8
16621,679,368,184,18,14,,R,9,0.0,56,,,,,,,3
19472,810,581,133,36,16,8.0,8,8,0.0,84,,,,,,,16
