qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
5619,888,20,9,1,2,1:31.269,1:29.992,1:29.501
4807,852,4,6,5,8,2:04.450,2:02.768,1:51.251
1395,89,11,16,4,17,1:37.083,,
5011,861,819,206,25,22,1:41.250,,
2655,259,91,15,29,10,1:23.347,,
1447,125,21,17,9,9,1:37.536,,
4625,844,67,5,18,16,1:27.620,1:27.255,
4153,93,44,7,17,13,1:21.558,,
6514,937,807,10,27,11,1:49.499,1:49.121,
3036,3,2,2,6,11,1:36.525,1:35.975,
2212,241,65,22,6,11,1:57.068,,
4237,97,11,16,10,17,1:17.004,,
6681,945,829,209,28,19,1:46.297,,
2557,255,63,25,4,12,1:41.355,,
5482,881,824,206,22,19,1:38.434,,
4795,851,15,205,21,20,1:24.534,,
7040,964,821,210,21,10,1:32.620,1:32.155,1:32.547
6997,962,822,3,77,11,1:46.086,1:44.740,
311,33,5,1,23,3,1:18.220,1:17.360,1:18.821
4271,99,43,7,16,11,1:14.553,,
5762,895,822,3,17,13,1:32.613,1:32.013,
231,29,9,2,4,3,1:38.347,1:38.050,1:39.392
852,57,36,8,23,22,1:46.505,,
1087,68,3,3,10,15,1:47.535,1:47.419,
4989,860,39,164,23,24,1:33.643,,
6010,905,821,15,21,17,1:18.741,,
3086,6,18,23,22,1,1:15.210,1:15.016,1:14.902
2727,263,95,3,2,2,1:16.359,,
5717,893,818,5,18,12,1:45.657,1:44.588,
3519,345,17,9,6,2,1:38.549,1:38.041,1:37.662
1419,109,4,4,8,1,1:37.044,,
5661,890,820,206,23,22,1:23.997,,
1077,68,8,1,3,5,1:44.909,1:45.622,1:45.754
6963,960,826,5,26,19,1:49.058,,
6183,913,821,15,21,14,1:47.970,1:47.333,
4567,842,2,4,9,6,1:37.224,1:36.811,1:36.124
6513,937,832,5,55,10,1:49.109,1:49.065,1:49.771
6014,905,155,207,10,21,1:20.133,,
4639,845,3,131,8,7,1:23.507,1:22.569,1:22.599
6369,929,8,6,7,4,1:34.568,1:33.540,1:33.227
5994,905,3,131,6,1,1:17.678,1:16.465,1:15.989
1199,80,4,4,5,1,1:14.412,,
4284,100,30,6,1,4,1:18.710,,
5600,887,814,10,14,5,1:32.062,1:31.291,1:30.736
4112,91,21,15,11,12,1:35.061,,
4519,76,8,1,9,1,1:13.644,1:16.681,
1929,212,56,6,6,11,1:18.873,,
2470,251,85,30,17,21,1:30.721,,
2994,1,8,6,4,9,1:25.899,1:25.380,1:27.163
932,61,23,7,7,14,1:16.702,1:15.888,
373,36,9,2,10,5,1:26.696,1:25.882,1:27.347
6266,917,826,5,26,14,1:11.423,,
6205,914,807,10,27,14,1:35.000,1:35.099,
2448,250,86,30,16,23,2:06.407,,
2282,244,14,3,6,3,1:23.109,,
6224,915,20,9,1,11,1:40.382,1:40.052,
993,64,37,1,4,9,1:15.655,1:15.021,1:15.936
1215,80,39,17,19,17,1:17.857,,
7367,980,815,10,11,8,1:45.591,1:44.894,1:45.244
4213,96,2,17,18,13,1:31.604,,
3409,340,153,5,17,12,1:36.618,1:36.047,
7376,980,826,5,26,17,1:46.028,,
5320,874,819,206,25,22,1:35.429,,
6897,957,835,4,30,18,1:32.905,,
1728,199,71,17,9,7,1:24.542,,
1836,208,55,22,7,6,1:16.757,,
3008,2,20,9,15,3,1:34.935,1:34.276,1:35.518
2908,270,30,22,5,1,1:22.762,,
572,45,17,9,15,6,1:32.629,1:31.661,1:32.476
456,39,26,5,19,22,,,
1069,67,17,3,9,19,1:23.341,,
4482,74,4,4,5,2,1:19.889,1:23.552,
5513,883,13,6,4,6,1:33.780,1:33.358,1:33.207
7204,972,817,9,3,5,1:35.560,1:35.483,1:34.905
819,56,21,4,2,11,1:24.434,1:23.771,
3848,112,23,3,4,7,1:19.006,,
31,19,4,4,5,9,1:35.983,1:35.140,1:38.450
4483,74,18,16,3,3,1:20.464,1:23.641,
1522,158,65,19,8,20,1:33.638,,
3816,110,44,7,20,15,1:14.839,,
6440,932,20,6,5,16,1:17.344,,
2909,270,71,3,0,2,1:22.892,,
