mountain,country,province
Sulителма,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Нортботтен
Джабал-лу-Нубан,РЛ,Ливан
Меру,Есть,Аруша
Мармолада,я,Венето
Джёкул,"""No additional text provided.""",Хёрдаланд
Монт Блан,я,Долина Аоста
Хохголлинг,А,Стирия
Снохетта,"""No additional text provided.""",Опланд
Широкая гора,ТЖ,Шэнььян
Попокатепетль,Мексика,"Мексика, штат"
Мт Бона,КЭН,Саскачеван
Джостедалсбре,"""No additional text provided.""",Согн и Фьордан
Винемале,Ф,Среднепиренеи
Гора Виктория,Фиджи,Фиджи
Жима,r,Республика Бурятия
Гора Бабель,КЭН,Квебек
Пик Ленина,Тад,Бадахшони Куни
Фого,Резюме,Кабо-Верде
Саректиокко,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Нортботтен
Гора Харней,США,Южная Дакота
Пик Победы,KGZ,Киргизстан
Макалу,ТЖ,Тибет
Каямбе,КЭ,Эквадор
Ампато,ПЭ,Экипа
Пик Революции,Тад,Бадахшони Куни
Мatterehorn,я,Долина Аоста
Мусала,БГ,Болгария
Ликанкабур,Боль,Боливия
Портфелей,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Нортботтен
Гилуэ,ПНГ,Папуа-Новая Гвинея
Манталинган,RP - ролевая игра,Филиппины
Мт Фэрвэтер,США,Аляска
Эми Кусси,ЧЧ,Чад
Мауна-Лоа,США,Гавайи
Гора Косциуско,Австралия,Новый Южный Уэльс
Монте-Роза,я,Ломбардия
Пеле,МАРТ,Мартиника
Мт Робсон,КЭН,Британская Колумбия
Невадо-дель-Руис,КоА,Рисаральда
Пико-де-Энео,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Арагон
Пико де Агуяхас Нэрас,OK,Минас-Жерайс
Татамайлау,Тутл,Восточный Тимор
Гран-Парадисо,я,Долина Аоста
Гашербрум-1,ТЖ,Шэнььян
Рантекомбола,Ри,Индонезия
Кебнекайсе,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Нортботтен
