country,continent,percentage
АГ,Америка,100.0
АРУ,Америка,100.0
AXA,Америка,100.0
БДС,Америка,100.0
БЕРМ,Америка,100.0
Боль,Америка,100.0
OK,Америка,100.0
Бс,Америка,100.0
БВИР,Америка,100.0
БЗ,Америка,100.0
C,Америка,100.0
Кайм,Америка,100.0
КЭН,Америка,100.0
КоА,Америка,100.0
CR,Америка,100.0
Дом,Америка,100.0
КЭ,Америка,100.0
"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше требование или задайте новый вопрос.",Америка,100.0
Ф,Америка,100.0
ФГУ,Америка,100.0
AГС,Америка,100.0
ГРОХ,Америка,100.0
Гвад,Америка,100.0
Мальчик,Америка,100.0
ХСА,Америка,100.0
Ва-ал-яам,Америка,100.0
Н,Америка,100.0
МАРТ,Америка,100.0
Мексика,Америка,100.0
МНТ,Америка,100.0
Да,Америка,100.0
НИК,Америка,100.0
ПА,Америка,100.0
r,Европа,20.0
РХ,Америка,100.0
РВА,Африка,100.0
ВЭА,Африка,100.0
Ва-Ва,Америка,100.0
СП,Африка,100.0
Лаос,Азия,100.0
BRN,Азия,100.0
МК,Европа,100.0
я,Европа,100.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Азия,100.0
ТН,Африка,100.0
ИЛ,Азия,100.0
Тука,Америка,100.0
"Добрый день! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Африка,100.0
ЦИ,Африка,100.0
Ирак,Азия,100.0
ОАЭ,Азия,100.0
ЧЗ,Европа,100.0
РГ,Африка,100.0
ПТ,Африка,90.0
