island,sea,lake,river
Батам,Южнокитайское море,,
Великий Кайман,Карибское море,,
Остров Виктория,Северный Ледовитый океан,,
Остров Святой Елены,Атлантический океан,,
Сент-Люсия,Атлантический океан,,
Остров Уайт,Канал,,
Монсерат,Карибское море,,
Мальта,Средиземное море,,
Сен-Пьер,Атлантический океан,,
Аруба,Карибское море,,
Бали,Сулу-Весь,,
Остров Санта-Роза,Тихоокеанский океан,,
Гранд-Терр,Карибское море,,
Великий Бермудский залив,Атлантический океан,,
Свалбард,Норвежское море,,
Фехмарн,Северное море,,
Остров Ометепе,,Озеро Никарагуа,
Филичуди,Средиземное море,,
Антига,Карибское море,,
Сантьяго,Атлантический океан,,
Сент-Мартин,Карибское море,,
Палау,Сулу-Весь,,
Лефкас,Средиземное море,,
Фонгафале,Тихоокеанский океан,,
Хиос,Средиземное море,,
Стромболи,Средиземное море,,
Madeira,Атлантический океан,,
Остерная остров,Тихоокеанский океан,,
Кюсю,Восточное море Китая,,
Молокаи,Тихоокеанский океан,,
Невис,Атлантический океан,,
Южный Андаманский остров,Бенгальский залив,,
Сокотра,Гульф Аден,,
Мартиника,Атлантический океан,,
Гренландия,Атлантический океан,,
Доминика,Карибское море,,
Гвадалупа,Тихоокеанский океан,,
Ньюфаундленд,Атлантический океан,,
Вангерооге,Северное море,,
Лампедуза,Средиземное море,,
Западный Рэй,Северное море,,
Шри-Ланка,Индийский океан,,
Фуэртевентура,Атлантический океан,,
Лусон,Южнокитайское море,,
Хайнь,Южнокитайское море,,
Суллоуэси,Индийский океан,,
Пуэрто-Рико,Карибское море,,
Исландия,Норвежское море,,
Руген,Северное море,,
Тобаго,Карибское море,,
Фонгафале,Тихоокеанский океан,,
Тобаго,Атлантический океан,,
Тутуила,Тихоокеанский океан,,
Терσελинг,Северное море,,
Мальчик,Индийский океан,,
Кюрасао,Карибское море,,
Лолланд,Балтийское море,,
Тимор,Индийский океан,,
Бали,Индийский океан,,
Зееланд,Катьятт,,
Барбуда,Атлантический океан,,
Джерси,Канал,,
Мул,Атлантический океан,,
Иерро,Атлантический океан,,
Липари,Средиземное море,,
Панае,Сулу-Весь,,
Изабелла,Тихоокеанский океан,,
Филичуди,Средиземное море,,
Мальта,Средиземное море,,
Парамушир,Тихоокеанский океан,,
Тонга-Тау,Тихоокеанский океан,,
Лефкас,Средиземное море,,
Суллоуэси,Сулу-Весь,,
Готланд,Балтийское море,,
Невис,Карибское море,,
Гозо,Средиземное море,,
Кюсю,Тихоокеанский океан,,
Остров Рене Левассера,,Озеро Маниканваган,
Принц-Оуэнс-Айленд,Северный Ледовитый океан,,
Фехмарн,Северное море,,
Минданао,Тихоокеанский океан,,
Реюнион,Индийский океан,,
Бонаир,Карибское море,,
Флорес,Атлантический океан,,
Великая Британия,Атлантический океан,,
Северный Уист,Атлантический океан,,
Великая Британия,Ирландское море,,
Ланай,Тихоокеанский океан,,
Тексель,Северное море,,
Гракса,Атлантический океан,,
Святой Томас,Атлантический океан,,
Сахалин,Японское море,,
Невис,Атлантический океан,,
Котельный остров,Северный Ледовитый океан,,
Церам,Индийский океан,,
Новый Провиденс,Атлантический океан,,
Великая Британия,Северное море,,
Форментера,Средиземное море,,
Хоккайдо,Охотское море,,
Бара,Атлантический океан,,
Хоншью,Японское море,,
Питкерн,Тихоокеанский океан,,
Нордерней,Северное море,,
Пулуг-Паданг,Индийский океан,,
Куба,Карибское море,,
Шри-Ланка,Бенгальский залив,,
Бенбекула,Атлантический океан,,
Окинава,Восточное море Китая,,
Алликути,Средиземное море,,
Лусон,Тихоокеанский океан,,
Ниихау,Тихоокеанский океан,,
Харк,Арабское море,,
Льюис и Харрис,Атлантический океан,,
Хельголанд,Северное море,,
Науру,Тихоокеанский океан,,
Свалбард,Норвежское море,,
Бишоп-Рок,Атлантический океан,,
Фого,Атлантический океан,,
Махе,Индийский океан,,
Гранд-Терр,Карибское море,,
