sea1,sea2
Восточное море Китая,Тихоокеанский океан
Северный Ледовитый океан,Баренцево море
Японское море,Охотское море
Гульф Аден,Красный Мор
Арабское море,Гульф Аден
Северное море,Скайгерак
Андаманское море,Бенгальский залив
Катьятт,Скайгерак
Восточное море Китая,Японское море
Балтийское море,Северное море
Южнокитайское море,Индийский океан
Атлантический океан,Норвежское море
Арабское море,Индийский океан
Сулу-Весь,Индийский океан
Гульф Аден,Индийский океан
Тихоокеанский океан,Сулу-Весь
Атлантический океан,Тихоокеанский океан
Карибское море,Гольфстрим
Тихоокеанский океан,Индийский океан
Восточное море Китая,Жёлтое море
Индийский океан,Индийский океан
Малаховский пролив,Южнокитайское море
Бенгальский залив,Тихоокеанский океан
Северное море,Канал
Арабское море,Оманское море
Северный Ледовитый океан,Норвежское море
Северный Ледовитый океан,Берингово море
Северный Ледовитый океан,Атлантический океан
Оманское море,Персидский залив
Восточное море Китая,Южнокитайское море
Индийский океан,Тихоокеанский океан
Атлантический океан,Средиземное море
Баренцево море,Норвежское море
Чёрное море,Средиземное море
Северное море,Норвежское море
Атлантический океан,Карибское море
Оманское море,Индийский океан
Баренцево море,Сибирское море
Атлантический океан,Индийский океан
Атлантический океан,Ирландское море
Берингово море,Тихоокеанский океан
Атлантический океан,Северное море
Южнокитайское море,Сулу-Весь
Северный Ледовитый океан,Сибирское море
Тихоокеанский океан,Японское море
Чёрное море,Море Азовское
Андаманское море,Индийский океан
Тихоокеанский океан,Охотское море
Андаманское море,Малаховский пролив
Атлантический океан,Гольфстрим
Японское море,Жёлтое море
Бенгальский залив,Индийский океан
Тихоокеанский океан,Южнокитайское море
Атлантический океан,Канал
