city,province,country,island
Оцуд,Шига,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Хоншью
Стирлинг,Центральный,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Утономия,Тосига,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Хоншью
Блекберн,Ланкашир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Бэнкула,Индонезия,Ри,Суматра
Милтон-Кейнс,Букингемшир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Виктория-де-ла-Тунас,Лас-Тунас,C,Куба
Ланкастер,Ланкашир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Ренфрю,Стратклайд,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Боуэнсворт,Дёрсет,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Нагано,Нагано,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Хоншью
Уджунг-Панданг,Индонезия,Ри,Суллоуэси
Лландриндод-Уэлс,Поуис,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Мессина,Сицилия,я,Сицилия
Виллемстад,Нидерландские Антильские острова,Да,Кюрасао
Бандар Сери Бегаван,Бруней,БРУ,Бали
Фукуй,Фукуй,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Хоншью
Салфорд,Большой Манчестер,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Пул,Дёрсет,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Манадо,Индонезия,Ри,Суллоуэси
Сага,Сага,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Кюсю
Колчестер,Эссекс,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Цирбон,Индонезия,Ри,Ява
Северная Амстердам,Нортгемптоншир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Аберистуит,Кердиггон,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Тайвань,Тайвань,RC,Тайвань
Каназава,Ишакава,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Хоншью
Бурить,Большой Манчестер,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Пэсиг,Филиппины,RP - ролевая игра,Лусон
Макбриджес-фолз,Чешир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Циэнфуэгос,Циэнфуэгос,C,Куба
Дублин,Ирландия,Онлайн,Ирландия
Солихалл,Западный Мидлендс,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Анцирабе,Антананариву,РМ,Мадагаскар
Ярен,Науру,НAU,Науру
Тойама,Тойама,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Хоншью
Тегал,Индонезия,Ри,Ява
Рочестер в графстве Медисон,Кент,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Маджунга,Махаджанг,РМ,Мадагаскар
Сэндаи,Мияги,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Хоншью
Коломбо,Шри-Ланка,КЛ,Шри-Ланка
Морони,Коморы,COМ,Большой Комор
Моль,Флинтшир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Манама,Бахрейн,BRN,Бахрейн
Эббвэйл,Бленнау Гвент,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Йорк,Северный Йоркшир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Пингдунг,Тайвань,RC,Тайвань
Калукан,Филиппины,RP - ролевая игра,Лусон
Сибу,Саравак,МАЛ,Бали
Давао,Филиппины,RP - ролевая игра,Минданао
Медан,Индонезия,Ри,Суматра
Валлсалл,Западный Мидлендс,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Кингстон,Сури,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Птица-прыгунок,Остров Рождества,РАЗДЕЛ,Остров Рождества
Никосия,Кипр,Ц,Кипр
Сайпан,Северные Марианские острова,НМИС,Сайпан
Кновсли,Мерси́д,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Антананариву,Антананариву,РМ,Мадагаскар
Бриджетун,Барбадос,БДС,Барбадос
Пекалонг,Индонезия,Ри,Ява
Адамстown,Острова Питкерн,ПИТЦ,Питкерн
Нассо,Багамы,Бс,Новый Провиденс
Норталлертон,Северный Йоркшир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Бандунг-Лампунг,Индонезия,Ри,Суматра
Стансли,Фолклендские острова,Ф,Восточный Фолкленд
Вейкфилд,Западный Йоркшир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Челтенхэм,Глостершир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Санчуун,Тайвань,RC,Тайвань
Кардифф,Кармартеншир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Лондон,Большой Лондон,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Лутон,Бедфордшир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Шизоку,Шизоку,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Хоншью
Винчестер,Гэмпшир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Крикстчерч,Новая Зеландия,Новая Зеландия,Тэ Вака-а-Мауи (Южный остров)
Кагосима,Кагосима,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Кюсю
Ноттингем,Ноттингемшир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Страдат Фвор,Керфилли,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Манчестер,Большой Манчестер,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Струуд,Глостершир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Акюрейри,Исландия,Что?,Исландия
Митилини,Вореион Аияцион,ГР,Лесбос
Восточное Ли,Гэмпшир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Хуалиэнь,Тайвань,RC,Тайвань
Сурабая,Индонезия,Ри,Ява
Анциранана,Анциранана,РМ,Мадагаскар
Сан-Хуан,Пуэрто-Рико,ПР,Пуэрто-Рико
Бедфорд,Бедфордшир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Кедири,Индонезия,Ри,Ява
Гифу,Гифу,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Хоншью
Салисбери,Уиттленд,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Фунафути,Тувалу,ТУВ,Фонгафале
Миядзки,Миядзки,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Кюсю
Банда-Ачех,Индонезия,Ри,Суматра
Яокога,Канагава,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Хоншью
Тебинг Тинги,Индонезия,Ри,Суматра
Хафнарфьордур,Исландия,Что?,Исландия
Фукуока,Фукуока,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Кюсю
Саппоро,Хоккайдо,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Хоккайдо
Цзинь,Мие,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Хоншью
Толияра,Толияра,РМ,Мадагаскар
Лонгйёрбьён,Свалбард,СВАХ,Свалбард
Мальчик,Мальдивы,МВ,Мальчик
Вирал,Мерси́д,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Брадфорд,Западный Йоркшир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Ямбий,Индонезия,Ри,Суматра
Сент-Хеллер,Джерси,"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Джерси
Бристоль,Авон,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Сассари,Сардиния,я,Сардиния
Ньюкасл-апон-Тайн,Тайн и Уэр,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Камагуй,Камагуй,C,Куба
Роузо,Доминика,ВД,Доминика
Олдхэм,Большой Манчестер,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Великая Британия
Кольонь,Микронезия,ФСМ,Понапе
