country,independence,dependent,government
Гвад,,Ф,Отделение за рубежом Франции
НИК,1821-09-15,,Республика
ВЭЖ,1965-02-18,,Республика при демократическом правлении с участием нескольких партий
БЗ,1981-09-21,,парламентская демократия
ГЕ,1991-04-09,,Республика
АМСА,,США,Неинкорпорированная и неорганизованная территория США
КоА,1810-07-20,,Республика
ГРОХ,,ДК,часть датского царства
ПР,,США,"Общество, связанное с США"
ПИТЦ,,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Британские заморские территории
ТН,1956-03-20,,Республика
РКА,1960-08-13,,Республика
Кडब,1961-06-19,,номинальная конституционная монархия
А,1993-01-01,,парламентская демократия
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1964-10-24,,Республика
Суд,1956-01-01,,Предыдущий правивший военный режим
МК,1991-09-17,,emergентная демократия
Фаркс,,ДК,часть датского царства
РАМ,1918-05-28,,Республика
Ва-ал-яам,1962-08-06,,парламентская демократия
OK,1822-09-07,,Федеративная Республика
ТТ,1962-08-31,,парламентская демократия
ПНГ,1975-09-16,,парламентская демократия
АЗ,1991-08-30,,Республика
КИР,1979-07-12,,Республика
ВД,1978-11-03,,парламентская демократия
П,1140-01-01,,Республика
Тука,,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Британские заморские территории
ПК,1947-08-14,,Республика
Транслитерация,1923-10-29,,Республиканское парламентское демократическое правительство
SRB,2006-06-05,,парламентская демократия
Eак,1963-12-12,,Республика
Тад,1991-09-09,,Республика
ДЖИ,1977-06-27,,Республика
Ри,1945-08-17,,Республика
ХएलΞ,,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Британские заморские территории
Д,1871-01-18,,Федеративная Республика
НЕП,1768-01-01,,парламентская демократия с 12 мая 1991 года
БЫ,1991-08-25,,Республика
ЕВ,1991-09-06,,Республика
"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Британская заморская территория
ДК,,,конституционная монархия
Мексика,1810-09-16,,Федеративная республика с централизованной формой правления
Ф,,,Республика
Рым,1960-11-28,,Республика
RC,,,многосторонняя демократическая система
БРУ,1984-01-01,,конституционная султаната
ЭФТ,,,Федеративная Республика
ЛБ,,,Республика
MACX,,ТЖ,специальная административная область в Китае
МOC,1975-06-25,,Республика
"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше требование или задайте новый вопрос.",1821-09-15,,Республика
ТУВ,1978-10-01,,демократия
RSA,1910-05-31,,Республика
НАМ,1990-03-21,,Республика
ДЗ,1962-07-05,,Республика
Ч,,,Федеративная Республика
ВЭА,1962-10-09,,Республика
Гвоздика,1968-10-12,,Республика в процессе перехода к многопартийной демократии
A,1971-09-03,,традиционная монархия
LV,1991-09-06,,Республика
CR,1821-09-15,,Демократическая Республика
Стоп,1975-07-12,,Республика
Лаос,1949-07-19,,Коммунистическое государство
БЕН,1960-08-01,,"Республика, в которой установлена демократия с участием нескольких партий, отвергла марксизм-ленинизм в декабре 1989 года."
Коко,,Австралия,территория Австралии
МНГ,1921-03-13,,Республика
RP - ролевая игра,1946-07-04,,Республика
КУК,,Новая Зеландия,самоуправляемое парламентское правительство в свободной ассоциации с Новой Зеландией
ОМ,1650-01-01,,монархия
АВТ,,,"парламентская демократия, в которой главными государственными фигурами являются сопредседатели"
Г,1957-03-06,,конституционная демократия
"""РДС-М""",0301-01-01,,Республика
ГР,1829-01-01,,парламентская республика
КАЗ,1991-12-16,,Республика
БИ,1962-07-01,,Республика
ОК,1960-08-20,,Республика при демократическом правлении с участием нескольких партий
Что?,1944-06-17,,Республика
ХР,1991-06-25,,парламентская демократия
СМЭ,1975-11-25,,Республика
НЛ,1579-01-01,,конституционная монархия
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1949-11-09,,"многопартийная либеральная демократия под конституционной монархией, установленной в сентябре 1993 года"
Газа,,,
КАМ,1960-01-01,,единопартийная республика
ЗРЕ,1960-06-30,,Республика с сильной президентской системой
SLO,1991-06-25,,emergентная демократия
ТЖ,,,Коммунистическое государство
ВША,,,юридический статус территории и вопрос о суверенитете остаются нерешенными
МНТ,,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Британские заморские территории
МАЛ,1957-08-31,,конституционная монархия
Бс,1973-07-10,,сообщество
СП,1960-07-01,,none
ММ,1960-09-22,,Республика
WG,1974-02-07,,парламентская демократия
МВ,1964-07-06,,многопартийная демократия
Сирия,1946-04-17,,Республика под военной властью с марта 1963 года
"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",1801-01-01,,конституционная монархия
ТХА,1238-01-01,,конституционная монархия
"Добрый день! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1960-08-17,,Республика
МС,1419-01-01,,конституционная монархия
А,1816-07-09,,Республика
Р,1881-01-01,,Республика
Тутл,2002-05-20,,парламентская демократия
ЧЧ,1960-08-11,,Республика
ФСМ,1986-11-03,,Конституционное правительство в свободной ассоциации с США
Фиджи,1970-10-10,,Республика
СПМИ,,Ф,территориальное сообщество Франции
Да,1990-05-22,,Республика
GBG,,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Британская заморская территория
ВУ,1980-07-30,,Республика
Ирак,1932-10-03,,Республика
