city,province,country,river,lake,sea
Цинциннати,Огайо,США,Огайская река,,
Иньчунь,Нингся Хуюцзы,ТЖ,Хванго,,
Патхейн,Айярвади,МЯ,Иравади,,
Мясоедилль,Канарские острова,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,,Атлантический океан
Ираклион,Крит,ГР,,,Средиземное море
Порт-о-Пренс,Гаити,РХ,,,Карибское море
Йонкерс,Нью-Йорк,США,Хадсонская река,,
Бийск,Алтаайский край,r,Катун,,
Нант,Пей-де-ла-Луар,Ф,Лоара,,
Кесонг,Северная Корея,Нет,,,Жёлтое море
Сау-Висенте,Сан-Паулу,OK,,,Атлантический океан
Йёнчёпинг,Йёнчёпинг,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,Ваеттерн,
Мостаганем,Алжир,ДЗ,,,Средиземное море
Барранкила,Атлантика,КоА,Рио Магдалена,,
Хиросима,Хиросима,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",,,Тихоокеанский океан
Чита,Чити́нская о́бласть,r,Шилка,,
Днепропетровск,Днепропетровская,НЕТ ПЕРЕВода,Днепр,,
Сион,Вएस,Ч,Рона,,
Любек,Шлезвиг-Гольштейн,Д,,,Балтийское море
Орлеан,Центр,Ф,Лоара,,
Нижний Новгород,Нижняя Новгородская область,r,Ока,,
Бремерхафен,Бремен,Д,Везер,,Северное море
Сайпан,Северные Марианские острова,НМИС,,,Тихоокеанский океан
Солтур,СО,Ч,Аре,,
Аден,Ямен,Да,,,Гульф Аден
Влора,Албания,АЛ,,,Средиземное море
Ниамей,Нигер,РН,Нигер,,
Фритаун,Сьерра-Леоне,WAL,,,Атлантический океан
Адамстown,Острова Питкерн,ПИТЦ,,,Тихоокеанский океан
Малага,Андалусия,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,,Средиземное море
Ики́тос,Лорето,ПЭ,Амазонки,,
Маленький Рок,Арканзас,США,Арканзас,,
Сан-Хуан,Пуэрто-Рико,ПР,,,Атлантический океан
Симбирск,Ульяновская область,r,Волга,,
Самаринд,Индонезия,Ри,,,Индийский океан
Фаро,Алгарве,П,,,Атлантический океан
Тверь,Тверская область,r,Волга,,
Калининград,Калининградская область,r,,,Балтийское море
Порт-о-Спен,Тринидад и Тобаго,ТТ,,,Карибское море
Ноксвилл,Теннесси,США,Теннесси,,
Стокгольм,Стокгольм,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,Мельран,Балтийское море
Перак,Пулау Пинанг,МАЛ,,,Малаховский пролив
Тривандур,Керала,Индия,,,Индийский океан
Портсмут,Гэмпшир,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",,,Канал
Albany,Западная Австралия,Австралия,,,Индийский океан
Гонолулу,Гавайи,США,,,Тихоокеанский океан
Брайтон,Восточный Сассекс,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",,,Канал
Бриджетун,Барбадос,БДС,,,Атлантический океан
Лахти,Хейме,SF,,Пайяянне,
Сарагоша,Арагон,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Эбро,,
Костанай,Костанай,КАЗ,Тоболь,,
Кольонь,Микронезия,ФСМ,,,Тихоокеанский океан
Сфинту Георге,Ковашна,Р,Олт,,
Омск,Омская область,r,Иртыш,,
Кардифф,Кардифф,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",,,Ирландское море
