country1,country2,length
КоА,КЭ,590.0
Суд,ЧЧ,1360.0
БФ,РТ,126.0
Г,РТ,877.0
БЕН,ХАН,773.0
Хорошо,СА,728.0
ДЗ,ММ,1376.0
А,НЕТ ПЕРЕВода,90.0
ВЭА,Суд,435.0
КАЗ,KGZ,1051.0
Нет,r,19.0
КОС,SRB,352.0
А,я,430.0
ER,Суд,605.0
РВА,ЗРЕ,217.0
Мексика,США,3326.0
ИР,TM,992.0
Х,НЕТ ПЕРЕВода,103.0
ГР,МК,228.0
ЧЗ,Д,646.0
Р,НЕТ ПЕРЕВода,531.0
ИР,Транслитерация,499.0
AГС,ХСА,256.0
БГ,Транслитерация,240.0
БГ,ГР,494.0
ПК,ТЖ,523.0
"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше требование или задайте новый вопрос.",ХСА,342.0
МЯ,ТХА,1800.0
Б,Д,167.0
Лаос,Даунтаун,2130.0
Газа,ИЛ,51.0
РАМ,ИР,35.0
МOC,МВ,1569.0
МЯ,ТЖ,2185.0
Б,НЛ,450.0
БЫ,НЕТ ПЕРЕВода,891.0
Да,Смар,15.0
ЦИ,Г,668.0
ДЗ,ЛАР,982.0
РКА,Суд,1165.0
ДЗ,МЭ,1559.0
Ч,Д,334.0
ЦИ,ЛБ,716.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Ф,623.0
Боль,"Пожалуйста, предоставьте текст для перевода.",750.0
ГНБ,РГ,386.0
ММ,ОК,419.0
Д,Ф,451.0
OK,СМЭ,597.0
я,В,3.2
РГ,WAL,652.0
ПЭ,РХЧ,160.0
КАМ,РКА,797.0
Афг,Тад,1206.0
RSA,ВВ,225.0
Суд,ЗРЕ,628.0
КоА,ПЭ,2900.0
OK,А,1224.0
МД,НЕТ ПЕРЕВода,939.0
ЛБ,WAL,306.0
ЭФТ,СП,1626.0
ОМ,СА,676.0
КАМ,Гвоздика,189.0
Есть,ЗРЕ,459.0
ЦИ,ММ,532.0
Нет,ТЖ,1416.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",GBZ,1.2
"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вы хотите перевести?",ПЛ,91.0
Кडब,СА,222.0
БЫ,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вы хотите перевести?",502.0
ИЛ,Сирия,76.0
Боль,А,832.0
ГР,Транслитерация,206.0
РКА,КРБ,467.0
Ирак,Хорошо,181.0
ТЖ,Даунтаун,1281.0
РН,ХАН,1497.0
ЧЧ,ХАН,87.0
ЛАР,Суд,383.0
МOC,RSA,491.0
"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше требование или задайте новый вопрос.",AГС,203.0
ОМ,Да,288.0
АВТ,Ф,60.0
БИ,РВА,290.0
КОС,МНЕ,79.0
Рым,ММ,2237.0
ANG,КРБ,201.0
ГНБ,ОК,338.0
Афг,ТЖ,76.0
Афг,ПК,2430.0
ЛАР,ЧЧ,1055.0
RSA,[Translation: SD],430.0
Афг,TM,744.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",ТХА,803.0
АВТ,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",65.0
Ри,Тутл,228.0
БЕН,РТ,644.0
Лаос,МЯ,235.0
БЫ,ПЛ,605.0
KGZ,Узб,1099.0
КАМ,КРБ,523.0
ПЛ,r,206.0
БЫ,r,959.0
БЫ,LV,141.0
Ирак,Кडब,242.0
Дом,РХ,275.0
ИР,ПК,909.0
"""No additional text provided.""",r,167.0
ПТ,Суд,1273.0
ANG,НАМ,1376.0
ИР,Ирак,1458.0
Лаос,ТЖ,423.0
ИЛ,РЛ,79.0
Eак,ЭФТ,830.0
ЛЭ,RSA,909.0
Афг,Узб,137.0
Тад,Узб,1161.0
А,Х,366.0
БФ,ММ,1000.0
КАМ,ЧЧ,1094.0
КоА,Ва-Ва,2050.0
БД,Индия,4053.0
Мальчик,СМЭ,600.0
РКА,ЧЧ,1197.0
РГ,ММ,858.0
Б,Привет! Как твои дела?,148.0
Д,НЛ,577.0
А,Д,784.0
АЛ,КОС,112.0
ДЗ,Рым,463.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Лаос,541.0
ДЖИ,СП,58.0
"Добрый день! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Гвоздика,350.0
CR,ПА,330.0
"""No additional text provided.""",SF,729.0
БХТ,ТЖ,470.0
КОС,МК,159.0
Есть,ВЭА,396.0
Д,ПЛ,456.0
Х,SLO,102.0
БРУ,МАЛ,381.0
Мальчик,Ва-Ва,743.0
АЗ,Транслитерация,9.0
А,ру,579.0
"Добрый день! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",КРБ,1903.0
БИХ,КОС,225.0
КРБ,ЗРЕ,2410.0
