country,gdp,agriculture,service,industry,inflation
США,7247700.0,2.0,23.0,75.0,2.5
Транслитерация,345700.0,15.5,33.2,51.3,94.0
ЕВ,12300.0,10.0,37.0,53.0,29.0
Хорошо,19300.0,11.0,25.0,64.0,3.0
АЗ,11500.0,,,,85.0
RP - ролевая игра,179700.0,22.0,30.0,48.0,8.1
Х,72500.0,7.3,37.5,55.2,28.3
КЛ,65600.0,24.0,24.0,52.0,8.4
БФ,7400.0,32.0,24.0,44.0,5.0
НЕП,25200.0,49.3,18.4,32.3,6.7
ДЖИ,500.0,3.0,21.0,76.0,6.0
Смар,,,,,
СПМИ,68.0,,,,
Вернуться,2900.0,,,,
МЯ,47000.0,60.0,10.0,30.0,38.0
НАМ,5800.0,,,,11.0
МЭ,87400.0,14.3,32.2,53.5,5.4
Бс,4800.0,3.0,35.0,62.0,1.5
А,278500.0,6.0,31.0,63.0,1.7
ИР,323500.0,21.0,37.0,42.0,60.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",7000.0,52.0,13.5,34.5,6.0
ЧЗ,106200.0,5.8,40.7,53.5,9.1
ХएलΞ,18.0,,,,
СИ,430.0,,,,3.9
"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",2679200.0,2.1,40.2,57.7,-0.1
КРБ,7700.0,11.4,35.2,53.4,61.0
ПР,88000.0,1.0,45.0,54.0,6.5
Национальный центр администрирования и уголовного правосудия,3158.0,15.0,8.8,76.2,1.4
Тука,216.0,,,,4.0
AXA,53.0,,,,4.0
Привет! Как твои дела?,10000.0,1.4,33.7,64.9,3.6
Стоп,138.0,28.0,14.0,58.0,38.0
Суд,25000.0,33.0,17.0,50.0,66.0
МАРТ,3950.0,6.0,11.0,83.0,3.9
БЕН,7600.0,36.8,12.6,50.6,55.0
РЛ,18300.0,13.0,28.0,59.0,9.0
Р,105700.0,19.6,36.3,44.1,25.0
ФГУ,800.0,,,,2.5
ДК,112800.0,3.0,23.5,73.5,2.4
АМСА,462.2,,,,
COМ,370.0,,,,15.0
"Пожалуйста, предоставьте текст для перевода.",17000.0,25.7,25.8,48.5,10.5
Ф,1173000.0,2.4,26.5,71.1,1.7
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",565000.0,3.6,33.6,62.8,4.3
ПК,274200.0,24.0,27.0,49.0,13.0
Фаркс,733.0,,,,6.8
ANG,7400.0,12.0,56.0,32.0,20.0
"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",1138400.0,1.7,27.7,70.6,3.1
А,152000.0,2.0,34.0,64.0,2.3
SF,92400.0,4.6,28.0,67.4,2.0
Газа,1700.0,,,,5.7
ТТ,16200.0,4.8,44.5,50.7,5.4
НЕТ ПЕРЕВода,174600.0,31.0,43.0,26.0,9.0
Ва-Ва,195500.0,5.0,41.0,54.0,57.0
КОС,3237.0,20.0,20.0,60.0,5.3
SLБ,1000.0,,,,13.0
Фиджи,4700.0,22.0,17.0,61.0,2.0
ИЛ,80100.0,3.5,22.0,74.5,10.1
Ц,7800.0,5.6,24.9,69.5,
ВЭЖ,1100.0,27.0,15.0,58.0,1.7
Гвад,3700.0,6.0,9.0,85.0,3.7
WG,284.0,10.2,40.3,49.5,3.0
Г,25100.0,47.0,16.0,37.0,69.0
ПЛ,226700.0,7.0,38.0,55.0,21.6
МНТ,29.0,1.2,23.1,75.7,2.6
ЭФТ,24200.0,48.0,15.0,37.0,10.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",8900.0,32.0,22.0,46.0,55.0
ММ,5400.0,42.4,15.4,42.2,8.0
БИХ,1000.0,,,,
ЛБ,2300.0,,,,50.0
Да,37100.0,21.0,24.0,55.0,71.3
СВАХ,,,,,
LV,14700.0,9.0,31.0,60.0,20.0
ЛЭ,2800.0,10.4,48.8,40.8,9.5
МOC,12200.0,33.0,12.0,55.0,50.0
БД,144500.0,,,,4.5
МАЛ,193600.0,8.0,25.0,67.0,5.3
ER,2000.0,,,,10.0
БВИР,133.0,,,,2.5
КАЗ,46900.0,28.5,41.5,30.0,60.3
C,14700.0,7.0,30.0,63.0,
WAL,4400.0,40.0,17.0,43.0,24.0
RSA,215000.0,,,,8.7
РМ,11400.0,35.0,15.0,50.0,35.0
"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",,,,,
Узб,54700.0,,,,7.7
МС,788.0,,,,
Коко,,,,,
Кडब,30800.0,0.0,55.0,45.0,5.0
ОК,14500.0,,,,6.1
РВА,3800.0,52.0,13.0,35.0,64.0
АГ,425.0,3.5,19.3,77.2,3.5
ГБМ,780.0,,,,7.0
МХ,94.0,,,,4.0
TM,11500.0,32.5,33.4,34.1,25.0
БЗ,575.0,30.0,,,2.3
СП,3600.0,,,,
"Добрый день! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",6000.0,8.2,44.7,47.1,15.0
ВД,200.0,26.0,,,0.4
БЕРМ,4500.0,1.0,10.0,89.0,2.8
НИК,7100.0,,,,11.4
КЭН,694000.0,2.0,26.0,72.0,2.4
ПТ,171000.0,,,,9.4
SLO,22600.0,5.3,39.9,54.8,8.0
Ч,158500.0,3.0,33.5,63.5,1.8
Кайм,1939.0,1.4,3.2,95.4,4.4
Рым,2800.0,27.1,29.5,43.4,3.5
Дом,26800.0,13.0,32.0,55.0,9.5
ЛАР,32900.0,,,,25.0
РХ,6500.0,34.8,23.0,42.2,14.5
АРУ,2258.0,,,,3.4
КИР,68.0,,,,5.5
КАМ,16500.0,29.0,24.0,47.0,48.0
СА,189300.0,9.0,50.0,41.0,5.0
РАМ,9100.0,57.0,36.0,7.0,32.2
НОРФ,,,,,
Д,1452200.0,1.0,34.2,64.8,
