country,name,percentage
Ф,Russian,100.0
AXA,Russian,100.0
SLO,Slовански,91.0
Узб,"Добро пожаловать в мой мир! Я готов помочь вам перевести любые тексты с английского на русский язык. Просто пришлите мне текст, который нужно перевести, и я сделаю это для вас. Если у вас есть какие-либо особые требования к стилю или тональности перевода, пожалуйста, дайте мне знать, и я учту их в своем ответе. Давайте начнем!",14.2
Кайм,Russian,95.0
ФГУ,"Извините, но я не говорю по-французски. Я могу перевести с английского на русский или на любой другой язык, который вы пожелаете.",100.0
SRB,Рим,1.1
АГ,Russian,100.0
ЛБ,Russian,20.0
НЕП,Непали,100.0
Б,Нидерландский,56.0
ГЕ,Грузинский,71.0
"""No additional text provided.""",Норвежский,100.0
АЗ,Армянский,2.0
Да,Папаментский,65.4
БДС,Russian,100.0
Вафу,Валлийская,58.9
МК,Македонски,70.0
MACX,Португальский,4.0
ПК,Панджаби,48.0
ПК,Брахуйи,1.0
МНЕ,Боснийский,5.5
Что?,Исландский,100.0
Хонекс,Russian,3.2
"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Японский,100.0
РХ,"Извините, но я не говорю по-французски. Я могу перевести с английского на русский или на любой другой язык, который вы пожелаете.",10.0
Гуам,Чаморро,22.2
НМИС,Другие островных языков Тихого океана,9.5
МOC,Португальский,100.0
Австралия,Russian,100.0
Да,Креоль,1.6
КоА,¿Qué te gustaría que traduzca?,100.0
АМСА,Тонгани,2.4
Кайм,¿Qué te gustaría que traduzca?,3.2
TM,Турецкий,72.0
Стоп,Португальский,100.0
ПК,балочи,3.0
КЛ,Тамил,18.0
ПК,ウルドゥー語,8.0
РАМ,Армянский,96.0
НИК,¿Qué te gustaría que traduzca?,100.0
ГЕ,Азербайджанский,6.0
МЯ,Бирманский,100.0
ГЕ,Армянский,7.0
SRB,Сербский,88.3
Да,¿Qué te gustaría que traduzca?,6.1
Х,Венгерский,98.2
РАМ,"Добро пожаловать в мой мир! Я готов помочь вам перевести любые тексты с английского на русский язык. Просто пришлите мне текст, который нужно перевести, и я сделаю это для вас. Если у вас есть какие-либо особые требования к стилю или тональности перевода, пожалуйста, дайте мне знать, и я учту их в своем ответе. Давайте начнем!",2.0
Индия,Хинди,30.0
SF,Finnish,93.5
МК,"Это запрос на перевод с английского на русский язык. Вы хотите, чтобы я выполнил это преобразование и предоставил только результат, не добавляя никаких дополнительных текстов или комментариев?",3.0
C,¿Qué te gustaría que traduzca?,100.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Баскский,2.0
Афг,Турецкие языки,11.0
АМСА,Russian,2.9
ИР,Турецкие языки,26.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Каталанский,17.0
Узб,Таджик,4.4
Дом,¿Qué te gustaría que traduzca?,100.0
Ч,Римлянин,1.0
AГС,Индийский,40.0
МНГ,Халхモ,90.0
ИР,Курдский,9.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Галисиан,7.0
ИР,Арабский,1.0
Афг,Пашту,35.0
А,Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский.,100.0
Гуам,Russian,38.3
ИР,Лури,2.0
НАМ,Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский.,32.0
Гуам,Филиппинские языки,22.2
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Шведский,100.0
ИР,"Это запрос на перевод с английского на русский язык. Вы хотите, чтобы я выполнил это преобразование и предоставил только результат, не добавляя никаких дополнительных текстов или комментариев?",1.0
Ф,"Извините, но я не говорю по-французски. Я могу перевести с английского на русский или на любой другой язык, который вы пожелаете.",100.0
Да,Russian,15.9
ПНГ,Russian,1.0
Н,Russian,100.0
AГС,¿Qué te gustaría que traduzca?,60.0
SRB,Боснийский,1.8
П,Португальский,100.0
TM,"Добро пожаловать в мой мир! Я готов помочь вам перевести любые тексты с английского на русский язык. Просто пришлите мне текст, который нужно перевести, и я сделаю это для вас. Если у вас есть какие-либо особые требования к стилю или тональности перевода, пожалуйста, дайте мне знать, и я учту их в своем ответе. Давайте начнем!",12.0
МК,Албанский,21.0
ФПОЛ,"Извините, но я не говорю по-французски. Я могу перевести с английского на русский или на любой другой язык, который вы пожелаете.",61.1
Хонекс,Китайский,95.6
ПК,Сираики,10.0
Да,Арабский,100.0
Ч,"Извините, но я не говорю по-французски. Я могу перевести с английского на русский или на любой другой язык, который вы пожелаете.",18.0
ПК,Пашту,8.0
МНЕ,Сербский,63.6
ПА,Russian,14.0
АЗ,Азербайджанский,89.0
МК,Сербский,3.0
Б,"Извините, но я не говорю по-французски. Я могу перевести с английского на русский или на любой другой язык, который вы пожелаете.",32.0
МНЕ,Монтонегро,22.0
Гвад,"Извините, но я не говорю по-французски. Я могу перевести с английского на русский или на любой другой язык, который вы пожелаете.",99.0
ФПОЛ,Полинезийский,31.4
"""РДС-М""",Итальянский,100.0
SRB,Венгерский,3.8
АЗ,"Добро пожаловать в мой мир! Я готов помочь вам перевести любые тексты с английского на русский язык. Просто пришлите мне текст, который нужно перевести, и я сделаю это для вас. Если у вас есть какие-либо особые требования к стилю или тональности перевода, пожалуйста, дайте мне знать, и я учту их в своем ответе. Давайте начнем!",3.0
БВИР,Russian,100.0
ИР,балочи,1.0
ХР,Сербо-хорватский,96.0
