name,area,depth,altitude,type,river,longitude,latitude
Лох Ломонд,71.0,190.0,7.9,,,-4.59,56.08
Чамдо,4583.0,,3195.0,соль,,100.2,36.9
Озеро Урмия,5470.0,7.0,1280.0,соль,,45.3,37.7
Пирамидное озеро,487.0,108.0,1155.0,соль,,-119.57,40.03
Великое рабочее озеро,28568.0,614.0,156.0,,Река Маккензи,-113.9,61.7
Оулуяарви,928.0,35.0,123.0,,Улуйоки,27.25,64.3
Lago ди Комо,146.0,425.0,197.0,,Адда,9.3,46.0
Рутанзиге/ Эдуардсее,2325.0,112.0,920.0,,Семлики,29.6,-0.35
Океан-Лейк,1890.0,4.0,,,,-80.8,26.94
Озеро Манито,104.0,,,,,-82.0,45.76
Озеро Лицанкабур,0.005,,5600.0,кроне,,-67.9,-22.8
Озеро Сакакавеа,1578.0,55.0,,искусственный,Миссури,-101.42,47.48
Озеро Маджоре,216.0,372.0,193.0,,Тичино,8.6,45.95
Имя:,1855.0,125.0,4718.0,соль,,90.55,30.7
Оеро Ладога,18400.0,225.0,4.0,,Нова,31.53,60.82
Озеро Онтарио,18960.0,244.0,75.0,,Река Святого Лаврентия,-77.96,43.695
Барраж де Мбакау,,,,искусственный,Санага,12.75,6.4
Озеро Трасимено,128.0,7.0,259.0,кальдера,,12.1,43.1
Озеро Виннипаукси,186.0,55.0,153.0,,Река Мерримак,-71.3,43.6
О Zero Байкал,31492.0,1637.0,455.0,,Ангара,108.0,53.0
Озеро Гурон,59600.0,229.0,176.0,,Река Детройт,-82.44,44.795
Озеро Гезер,165.0,46.0,-212.0,,Иордания,35.6,32.81
Сторуман,173.0,139.0,419.0,,Умеаэлв,16.88,65.22
Озеро Тана,3000.0,14.0,1830.0,,Блу Нил,37.3,12.0
Озеро Никарагуа,8157.0,45.0,31.0,,Рио Сан-Хуан,-85.35,11.6
Инари,1040.0,92.0,119.0,,Пaatсьёки,27.7,68.95
Озеро Онежское,9.616,127.0,33.0,,Кружится,35.485,61.67
Пайяянне,1118.0,95.0,78.0,,Кымийоки,25.4,61.5
Лаго-де-Собрадиньо,4214.0,,,искусственный,Рио Сан-Франциско,-40.7,-9.46
Озеро Ван,3740.0,457.0,1719.0,соль,,42.9,38.6
Цюрихское озеро,88.0,136.0,406.0,,Лиммат,8.23631,47.5018
Великий солённый озеро,4400.0,10.0,1279.0,,,-112.6,41.15
Озеро Бангвелюл,10000.0,4.0,1140.0,,Луапула,29.7,-11.2
Оро-Арал,17160.0,35.0,31.0,соль,,59.62,44.81
лагуна Мар-Чикита,5770.0,19.0,71.0,соль,,-62.67,-30.5
Озеро Маркица,13000.0,50.0,0.0,,,-71.55,9.72
Озеро Преспа,273.0,54.0,849.0,,,21.0,40.9
Лейте,538.5,254.0,395.0,,Рейн,9.4,47.6
Чад-озеро,23000.0,7.0,250.0,соль,,14.0,13.2
Тунерское озеро,48.3,217.0,558.0,,Аре,7.716,46.69
Чев Бехир,800.0,7.5,520.0,соль,,36.85,4.7
Каспийское море,386400.0,995.0,-28.0,соль,,51.0,41.0
Ваенерн,5648.0,106.0,44.0,,Гётеальв,13.3,58.8
Аммерзее,46.6,81.1,533.0,,Аммер,11.6,48.0
Озеро Кебан,675.0,,,,Евфрат,38.75,38.8
Арезо,40.2,5.6,,,,12.1,56.0
Озеро Тёркана,6405.0,73.0,375.0,соль,,36.1,3.6
озеро Танганьика,32893.0,1470.0,782.0,,Лукуга,30.0,-6.0
Озеро Май Ндомбе,8200.0,10.0,300.0,,Фими,18.3,-2.05
Озеро Тоба,1103.0,505.0,905.0,кальдера,Ашан,98.8,2.6
Озеро Босумтви,49.0,81.0,107.0,влияние,,-1.4,6.5
Саяма,4370.0,85.0,76.0,,Вуокса,28.0,61.3
Хамун е Яз Муриан,1600.0,,500.0,соль,,61.2,30.8
Озеро Форт-Пек,981.0,67.0,,искусственный,Миссури,-106.4,48.0
Великий Медведичный Озеро,31792.0,446.0,156.0,,,-120.6,65.9
Озеро Браккаино,57.0,160.0,164.0,кальдера,,12.2,42.1
Этошская солончак,6133.0,0.0,1000.0,соль,,16.0,-18.8
Озеро Мверу,5120.0,27.0,931.0,,Люва,28.7,-9.0
Озеро Чапала,1685.0,12.0,1520.0,,Рио Лерма,-103.05,20.22
Озеро Чилва,687.0,2.0,474.0,соль,,35.7,-15.3
Лаачер Мар,3.3,53.0,275.0,кальдера,,7.3,50.4
Озеро Абая,1285.0,13.0,619.0,соль,,37.8,6.3
Озеро Гарда,370.0,346.0,65.0,,Минчо,10.65,45.6
Озеро Насер,5250.0,180.0,183.0,искусственный,Нил,31.75,22.4
Озеро Скутари,368.0,44.0,7.0,,,19.3,42.2
Озеро Кариба,5580.0,32.0,,искусственный,Замбеци,28.75,-16.5
О́зеро Таймыр,4560.0,26.0,5.0,,,101.6,74.5
Фрэнклин Д. Рузвельт,337.0,,,искусственный,Колумбийская река,-119.0,47.95
Озеро Мид,640.0,180.0,372.0,искусственный,Кораловый,-114.75,36.05
