country,population_growth,infant_mortality
ОАЭ,4.33,20.4
Eак,2.27,55.3
МК,0.46,29.7
Даунтаун,1.57,38.4
РВА,16.49,118.8
Ри,1.53,63.1
SLO,-0.27,7.3
ЛЭ,1.9,81.6
ММ,2.95,102.7
НАМ,2.93,47.2
КЭН,1.06,6.1
РХ,1.77,103.8
АЛ,1.34,49.2
БГ,0.46,15.7
SRB,-0.47,6.75
Д,0.67,6.0
МАЛ,2.07,24.0
Н,0.98,18.9
Нет,1.74,25.9
РГ,1.85,134.1
ФПОЛ,1.39,7.55
Национальный центр администрирования и уголовного правосудия,1.14,7.05
GBG,1.28,9.2
Ва-ал-яам,0.8,15.6
C,0.44,9.0
НОРФ,,
"""No additional text provided.""",0.48,4.9
AXA,2.27,3.52
АВТ,2.96,2.2
ФГУ,3.86,14.6
СА,3.45,46.4
Г,2.29,80.3
А,0.34,10.7
RB,1.63,54.2
Мексика,1.87,25.0
RSA,1.76,48.8
ОК,3.37,64.0
"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вы хотите перевести?",-0.35,17.0
Транслитерация,1.67,43.2
ПНГ,2.29,60.1
США,0.91,6.7
НЕТ ПЕРЕВода,-0.4,22.5
SLБ,3.35,25.8
АЗ,0.78,74.5
Бс,1.05,23.3
НЕП,2.45,79.0
НИК,2.67,45.8
АРУ,1.478,13.79
СПМИ,0.77,9.95
ЛАР,3.67,59.5
РН,2.99,117.6
А,1.1,28.3
Ч,0.59,5.4
МВ,1.71,139.9
АГ,0.76,17.2
КУК,-3.3,16.9
Хорошо,2.65,31.5
Резюме,2.93,54.3
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0.56,4.5
ВД,0.38,9.6
ПР,0.34,8.42
МOC,2.65,125.6
БДС,0.26,18.7
ЗРЕ,1.67,108.0
r,-0.07,24.7
Лаос,2.81,96.8
Запад,4.99,28.6
Коко,,
НМИС,2.29,6.7
Ниуэ,,
КоА,1.66,25.8
БРУ,2.56,24.2
ОМ,3.53,27.3
Есть,1.15,105.9
БЕН,3.32,105.1
Западная Вирджиния,0.64,16.8
Р,-1.21,23.2
Фаркс,-1.8,7.2
МД,0.18,47.6
Ва-Ва,1.89,29.5
"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",0.21,4.4
