country,name,percentage
ЭФТ,Оромо,40.0
ГЕ,Абхазия,1.8
Д,Польска,0.4
Стоп,Европейцы,100.0
Ф,Добро пожаловать в нашу семью! Мы с радостью поможем вам адаптироваться к новой культуре и языку.,31.5
Резюме,Креоль,71.0
Узб,Казак,4.1
МАЛ,Малайя,59.0
ФЛ,Алеманнский,95.0
Тад,Узбек,25.0
MACX,Португальский,3.0
Ирак,Арабский,75.0
Ва-ал-яам,Афро-Восточноиндийский,3.0
БЕН,Африканский,99.0
ПИТЦ,Призы,100.0
ИР,Гилаки-Мазандерани,8.0
ПР,Чёрный,8.0
РАМ,"Добро пожаловать в мой мир! Я готов помочь вам перевести любые тексты с английского на русский язык. Просто пришлите мне текст, который нужно перевести, и я сделаю это для вас. Если у вас есть какие-либо особые требования к стилю или тональности перевода, пожалуйста, дайте мне знать, и я учту их в своем ответе. Давайте начнем!",2.0
SRB,Рим,1.4
КИР,Микронезия,100.0
Хонекс,Филиппинский,1.6
Eак,Кисии,6.0
МХ,Микронезия,100.0
НAU,Тихоокеанский островитянин,26.0
RC,Тайваньский,84.0
ИР,Арабский,3.0
ТХА,Китайский,14.0
r,Башки́рская,0.9
БВИР,Индийский,3.4
Ирак,Ассирийцы,5.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.","Я не вижу запроса на перевод. Пожалуйста, предоставьте текст для перевода.",5.0
Суд,Бе́жа,6.0
МК,Македонски,65.0
БЗ,Креоль,30.0
МС,"Извините, но я не говорю по-французски. Я могу перевести с английского на русский или на любой другой язык, который вы пожелаете.",47.0
ВЛ,Восточно-Индийский,3.2
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Африканский,98.7
КЭН,Британские острова,40.0
ЕВ,Украинский,3.2
Хонекс,"Я не индонезийский переводчик. Я могу помочь с переводом с английского на другие языки, но Indonesian не поддерживается мной в данный момент.",1.3
АЗ,Азербайджанский,90.0
КАМ,Кирди,11.0
ER,Сахо,3.0
СМЭ,Хинди,37.0
БДС,Европейский,4.0
ХР,Венгерский,0.5
Ирак,Курдский,15.0
TM,"Добро пожаловать в мой мир! Я готов помочь вам перевести любые тексты с английского на русский язык. Просто пришлите мне текст, который нужно перевести, и я сделаю это для вас. Если у вас есть какие-либо особые требования к стилю или тональности перевода, пожалуйста, дайте мне знать, и я учту их в своем ответе. Давайте начнем!",9.8
ВЭА,Батобо,3.0
БЗ,Мая,11.0
А,Словак,85.7
ЧЗ,Польска,0.6
SLO,хорватский,3.0
"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",ирландский,2.4
МК,Серб,2.0
ТН,Еврейский,1.0
Мальчик,Восточно-Индийский,51.0
РАМ,Азербайджанский,3.0
TM,Казак,2.0
ER,Афаре,4.0
ВЛ,Африканский,90.3
KGZ,Я не говорю по-немецки. Я могу помочь только с переводом с английского на русский.,2.4
ВЭА,Бунيورо,3.0
BRN,Бахра́йн,63.0
RB,Ботсвана,95.0
МЭ,Арабско-берберский,99.1
"Пожалуйста, предоставьте текст для перевода.",Американские индейцы,5.0
МЯ,Рахине,4.0
Eак,Арабский,1.0
Eак,Кикуйю,22.0
ПР,Азиатский,0.4
Даунтаун,Китайский,3.0
AXA,Мулат,4.6
SLБ,Китайский,0.3
Тад,Таджик,64.9
Тад,"Добро пожаловать в мой мир! Я готов помочь вам перевести любые тексты с английского на русский язык. Просто пришлите мне текст, который нужно перевести, и я сделаю это для вас. Если у вас есть какие-либо особые требования к стилю или тональности перевода, пожалуйста, дайте мне знать, и я учту их в своем ответе. Давайте начнем!",3.5
ПЛ,Белорусский,0.5
ОК,Волоф,36.0
LV,Латвийский,51.8
SLO,Слова́ния,91.0
ИР,Азербайджанский,24.0
СМЭ,Американский,2.6
ПР,Американский,0.4
КАЗ,Украинский,5.2
Вафу,Полинезийский,100.0
ИР,Лур,2.0
WG,Африканский,100.0
ЕВ,Белорусский,1.8
НЕТ ПЕРЕВода,Еврейский,1.0
Афг,Хазара,19.0
"Пожалуйста, предоставьте текст для перевода, и я с радостью выполню вашу просьбу.",Европейцы,0.4
А,Польска,0.1
ГЕ,Армянский,8.1
ЦИ,Малинке,11.0
ВЭА,Этоо,8.0
Хорошо,Арабский,98.0
"Пожалуйста, предоставьте текст для перевода, и я с радостью выполню вашу просьбу.",Еуронешианцы,7.0
КАЗ,"Добро пожаловать в мой мир! Я готов помочь вам перевести любые тексты с английского на русский язык. Просто пришлите мне текст, который нужно перевести, и я сделаю это для вас. Если у вас есть какие-либо особые требования к стилю или тональности перевода, пожалуйста, дайте мне знать, и я учту их в своем ответе. Давайте начнем!",37.0
Гуам,Филиппинский,26.3
ЕВ,"Добро пожаловать в мой мир! Я готов помочь вам перевести любые тексты с английского на русский язык. Просто пришлите мне текст, который нужно перевести, и я сделаю это для вас. Если у вас есть какие-либо особые требования к стилю или тональности перевода, пожалуйста, дайте мне знать, и я учту их в своем ответе. Давайте начнем!",30.3
БГ,Армянский,0.3
ЦИ,баула,23.0
БЫ,Белорусский,77.9
МД,Молдавский/румынский,64.5
СМЭ,Яванский,15.3
AXA,Белый,3.7
ФГУ,Американский,12.0
КОС,Албанский,88.0
