country,name,percentage
ГНБ,Мусульманин,30.0
НЕП,Мусульманин,3.0
RP - ролевая игра,Протестант,9.0
ОАЭ,Мусульманин,96.0
ANG,Римско-католическая,38.0
Газа,Мусульманин,98.7
Новая Зеландия,Баптист,2.0
BRN,Мусульманин,100.0
Тука,Методист,16.0
ЗРЕ,Кимбангист,10.0
ОК,Мусульманин,92.0
МК,Мусульманин,30.0
Новая Зеландия,Протестант,3.0
А,Христианский православный,4.1
ВИРГ,Римско-католическая,34.0
СМЭ,Римско-католическая,22.8
"Добрый день! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Кристиан,55.0
МНЕ,Христианский православный,74.2
ЗРЕ,Протестант,20.0
ДК,Римско-католическая,2.0
КЭН,Объединенная церковь,12.0
Кडब,Мусульманин,85.0
РГ,Мусульманин,85.0
ДЗ,Мусульманин,99.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Протестант,94.0
Ф,Протестант,2.0
РАЗДЕЛ,Мусульманин,25.0
БРУ,Мусульманин,63.0
ТУВ,Седьмой день адвентистов,1.4
"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Буддист,84.0
КУК,Кристиан,100.0
А,Римско-католическая,90.0
ТТ,Протестант,14.0
РЛ,Мусульманин,70.0
А,Протестант,2.0
ЧЧ,Кристиан,25.0
Тад,Мусульманин,85.0
Бс,Римско-католическая,19.0
AXA,Римско-католическая,5.7
Ирак,Кристиан,3.0
я,Римско-католическая,98.0
ТУВ,Бахаи,1.0
США,Еврейский,2.0
Гвад,Римско-католическая,95.0
ПА,Римско-католическая,85.0
Индия,Сикх,2.0
Газа,Кристиан,0.7
БЗ,Римско-католическая,62.0
КРБ,Мусульманин,2.0
КРБ,Кристиан,50.0
Ниуэ,Мормон,10.0
РГ,Кристиан,8.0
ТХА,Мусульманин,3.8
Р,Христианский православный,70.0
ТХА,Кристиан,0.5
МАРТ,Хинду,5.0
ПР,Протестант,15.0
Хорошо,Кристиан,8.0
"Пожалуйста, предоставьте текст для перевода, и я с радостью выполню вашу просьбу.",Кристиан,99.7
GBZ,Римско-католическая,74.0
КАЗ,Протестант,2.0
ДЗ,Кристиан,0.5
МВ,Протестант,55.0
НОРФ,Англиканский,39.0
SLБ,Седьмой день адвентистов,10.0
SLБ,Англиканский,34.0
НЛ,Протестант,25.0
АМСА,Консисториальный христианин,50.0
А,Римско-католическая,60.3
Транслитерация,Мусульманин,99.8
Хонекс,Кристиан,10.0
RC,Кристиан,4.5
Индия,Хинду,80.0
Новая Зеландия,Методист,5.0
Боль,Римско-католическая,95.0
Привет! Как твои дела?,Еврейский,3.0
Индия,Буддист,0.7
НЛ,Римско-католическая,34.0
НАМ,Протестант,50.0
ПТ,коптский христианин,6.0
ANG,Протестант,15.0
РЛ,Кристиан,30.0
COМ,Римско-католическая,14.0
SRB,Римско-католическая,5.5
Кайм,Римско-католическая,11.0
Коко,Мусульманин,80.0
Индия,Джайны,0.5
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Римско-католическая,99.0
Привет! Как твои дела?,Римско-католическая,97.0
ИР,Бахаи,1.0
Резюме,Римско-католическая,100.0
ВУ,Римско-католическая,15.0
БХТ,Хинду,25.0
ПНГ,Пресвитерианство,8.0
Бс,Баптист,32.0
РОК,Чондогё,0.2
БГ,Римско-католическая,0.7
БВИР,Римско-католическая,10.0
РМ,Мусульманин,7.0
ХАН,Мусульманин,50.0
ХР,Мусульманин,1.2
ХР,Христианский православный,11.1
БИХ,Мусульманин,40.0
ВУ,Церков Христова,3.8
ФПОЛ,Римско-католическая,30.0
"""No additional text provided.""",Римско-католическая,1.0
РХЧ,Римско-католическая,89.0
ру,Протестант,2.0
БДС,Протестант,67.0
РВА,Мусульманин,1.0
SRB,Мусульманин,3.2
Х,Протестант,25.0
AXA,Протестант,30.2
ВЭЖ,Мусульманин,90.0
Сирия,Кристиан,10.0
RP - ролевая игра,Буддист,3.0
ГЕ,Армянская апостольская церковь,8.0
РОК,конфуцианство,3.0
КИР,Протестант,40.9
В,Римско-католическая,100.0
ПНГ,Седьмой день адвентистов,1.0
SLO,Мусульманин,1.0
Индия,Мусульманин,14.0
РКА,Мусульманин,15.0
Ниуэ,Римско-католическая,7.2
RP - ролевая игра,Римско-католическая,83.0
ДЖИ,Кристиан,6.0
АЗ,Мусульманин,93.4
БЕРМ,Римско-католическая,15.0
Гвоздика,Римско-католическая,100.0
[Translation: SD],Кристиан,60.0
Дом,Римско-католическая,95.0
ГНБ,Кристиан,5.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Буддист,95.0
