country,organization,type
ПК,ВФТУ,член
Стоп,ООН,член
Д,Интерпол,член
CR,Объединенная промышленно-развитая организация,член
LV,КНА,член
ФПОЛ,СПЦ,член
П,КНА,член
ХАН,ВТО,член
"""РДС-М""",Автомобильная инженерия,член
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",FOB,член
А,IFC,член
Мексика,Инмарсат,член
БГ,ВФТУ,член
Австралия,КТО,член
Сирия,ЮНЕСКО,член
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Атомная энергетическая организация,член
Что?,Организация по безопасности и сотрудничеству в Европе,член
SF,НИБ,член
П,ИОМ,член
ДК,PCA,член
"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",МКР,Национальный союз
МС,Международный олимпийский комитет,Национальный олимпийский комитет
Есть,АКП,член
Новая Зеландия,МФУД,"I'm sorry, but I don't understand your request. Could you please provide some context or clarify what you would like me to translate?"
Австралия,SPФ,член
ОАЭ,КАЕУ,член
ИЛ,Международный банк реконструкции и развития,член
МЭ,ИДА,Часть вторая
ВВ,МВФ,член
МOC,ККК,член
Транслитерация,PCA,член
ОК,ЭКОВАС,член
РХЧ,ЮНЕСКО,член
Фиджи,АКП,член
ДК,МИЭ,член
"""No additional text provided.""",НАТО,член
БФ,ИЛΟ,член
БД,FOB,член
Тад,УПУ,член
ВВ,НАМ,член
"""РДС-М""",НАМ,гость
БРУ,АСЕАН,член
Есть,Атомная энергетическая организация,член
ИР,Международный банк реконструкции и развития,член
ЭФТ,МКР,Национальный союз
ЦИ,АфБ,региональный член
A,IFРС,член
ТТ,ВТО,член
Х,ООН,член
KGZ,FOB,член
РАМ,МВФ,член
КЛ,ИОМ,член
Ирак,МИЭ,член
НЕП,IFРС,член
РГ,ИЛΟ,член
ДК,Н/Д,член
Фиджи,ИЛΟ,член
КАМ,PCA,член
М,МВФ,член
ПТ,МФУД,Категория III
П,ФЦУИ,член
КАЗ,БДЗ,региональный член
ЧЗ,Инмарсат,член
ЧЗ,ПФП,член
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.","Предупреждение: это перевод только на русский язык. Я не буду вводить дополнительный текст, кроме того, что вы предоставили.",член
КРБ,ВФТУ,член
РХЧ,PCA,член
Eак,ИОМ,член
"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Атомная энергетическая организация,член
П,ЦЕРН,член
США,Международный совет по вопросам авиации (МКА),член
ГНБ,ИДА,Часть вторая
Индия,Миссия ООН по поддержке в Гаити,член
КЛ,по моему мнению,член
Мальчик,МОТ,член
WAL,ООН,член
ОМ,БДИ,член
БГ,НГС,член
АЗ,Интерпол,член
А,ООНТСО,член
SRB,Объединенная промышленно-развитая организация,член
Eак,КТО,член
А,МВФ,член
ЛАР,АМФ,член
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",по моему мнению,член
МХ,Интерпол,член
"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",БДЗ,региональный член
COМ,АЛ,член
Б,ВТО,член
Ч,Автомобильная инженерия,член
США,ООН,член
Ва-ал-яам,УНИТАР,член
SF,БДЗ,нерегиональный член
ЛБ,ФЦУИ,член
РХЧ,ОАЭ,член
Eак,C,член
ХСА,Опанал,член
КЭ,РГ,член
НАМ,МВФ,член
ПК,Объединенная промышленно-развитая организация,член
Кайм,УПУ,член
ПК,КТО,член
НИК,ВЧЛ,член
ТТ,Интерпол,член
ЛАР,КАЕУ,член
ГР,по моему мнению,член
Кडब,по моему мнению,член
ММ,УНАВЭМ III,член
Сирия,по моему мнению,член
ВЭЖ,Объединенная промышленно-развитая организация,член
Д,Ядаб,член
П,НГС,член
А,НГС,член
ВЛ,НАМ,член
Ва-Ва,по моему мнению,член
BRN,FOB,член
Есть,УВКБ ООН,член
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",ОЭСР,член
CR,МОТ,член
КРБ,Интесат,член
ПА,ЮНЕСКО,член
ЛАР,ИДА,Часть вторая
Новая Зеландия,ИДА,Часть I
ГНБ,МИЭ,член
МOC,МВФ,член
ВЭА,УПУ,член
РН,Международный олимпийский комитет,Национальный олимпийский комитет
КоА,ВФТУ,член
ИР,МФУД,Категория ΙΙ
