name,depth
Северный Ледовитый океан,5608.0
Бенгальский залив,4045.0
Андаманское море,3113.0
Баренцево море,32.0
Сулу-Весь,6218.0
Скайгерак,725.0
Море Азовское,100.0
Красный Мор,2635.0
Норвежское море,3860.0
Персидский залив,102.0
Южнокитайское море,5420.0
Бейkalское озеро,4694.0
Балтийское море,459.0
Японское море,4036.0
Гульф Аден,5143.0
Катьятт,94.0
Карибское море,7240.0
Берингово море,4096.0
Охотское море,3372.0
Ирландское море,272.0
Сибирское море,540.0
Чёрное море,2211.0
Канал,175.0
Средиземное море,5121.0
Атлантический океан,9219.0
Гольфстрим,4375.0
Жёлтое море,200.0
Индийский океан,6400.0
Восточное море Китая,2370.0
Тихоокеанский океан,11034.0
Оманское море,3350.0
Индийский океан,7440.0
Малаховский пролив,104.0
Арабское море,5203.0
Северное море,200.0
