name,country,province,population,longitude,latitude
Балаково,r,Саратовская область,206000.0,,
Шиангтан,ТЖ,Хунань,441968.0,,
Бирджанд,ИР,Хорасан,101177.0,,
Страсбург,Ф,Алсация,252338.0,7.76667,48.5833
Страдат Фвор,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Керфилли,,,
Омаха,США,Небраска,342862.0,-95.9,41.3
Наджефабад,ИР,Эсфахан,160004.0,,
Вологда,r,Вологодская область,299000.0,,
Германсверк,"""No additional text provided.""",Согн и Фьордан,706.0,6.5,61.1
Тиргу-Муреш,Р,Мурес,165000.0,,
Хэфэй,ТЖ,Аньхой,1000000.0,117.0,32.0
Леон,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Кастилья и Леон,147311.0,,
Старый Оскол,r,Белгородская область,198000.0,,
Западный остров,Коко,Кокосовые острова,,96.5,-12.1
Сибиу,Р,Сибиу,184000.0,,
Бутембо,ЗРЕ,Киву,109406.0,,
Шантоу,ТЖ,Гуанчжоу,578630.0,,
Сан-Хосе,CR,Сан-Хосе,296600.0,-84.2,10.0
Хон Каен,ТХА,Таиланд,206000.0,,
Акила,я,Абруццо,,13.2,42.24
Рали,США,Северная Каролина,212092.0,-78.4,35.5
Нукус,Узб,Каракалы погистон,185000.0,,
Оита,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Оита,,,
Гром-Бэй,КЭН,Онтарио,113746.0,-89.3167,48.3667
Морони,COМ,Коморы,,43.0,-12.0
Кардифф,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Кармартеншир,,,
Фенгшань,RC,Тайвань,301374.0,,
Киквит,ЗРЕ,Бандунду,182142.0,,
Вайкомб,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Букингемшир,161400.0,,
Коччи,Индия,Керала,582588.0,,
Лафия,ХАН,Нигерия,108000.0,,
Мадисон,США,Висконсин,190766.0,-89.2,43.0
Сату-Маре,Р,Сату-Маре,137000.0,,
Джываскэлайне,SF,Финляндия,65511.0,25.2,62.1
Ямусукро,ЦИ,Ивуари,200659.0,-5.3,6.8
Фресно,США,Калифорния,354091.0,,
Аракаю,OK,Серги́п,426580.0,-37.1,-11.0
Шанхай,ТЖ,Шанхай (город),7830000.0,121.433,31.2
Пасадена,США,Техас,119604.0,,
Анqing,ТЖ,Аньхой,250718.0,,
Дес-Мойнс,США,Айова,193189.0,-93.65,41.5333
Янгуан,ТЖ,Шанси,362268.0,,
Нитерои,OK,Рио-де-Жанейро,450129.0,,
Мытишки,r,Московская область,152000.0,,
Росток,Д,Мекленбург-Передняя Померания,232634.0,12.1,54.1
Бандунду,ЗРЕ,Бандунду,,17.4,3.3
Икороду,ХАН,Нигерия,163000.0,,
Ларкана,ПК,Пакистан,123890.0,,
Манаус,OK,Амазонки,1158265.0,-60.0,-3.1
Эвора,П,Эвора,,,
Бур-Саид,ПТ,Бур-Саид,382000.0,,
Гуаиякиль,КЭ,Эквадор,1300868.0,-80.0,-2.0
Алофи,Ниуэ,Ниуэ,,-169.9,-19.05
Салават,r,Республика Башкирия,156000.0,,
Ижевск,r,Республика Удомлеи,654000.0,,
Стоктон,США,Калифорния,210943.0,-121.25,37.9
Санкт-Петербург,r,Санкт-Петербург,4838000.0,,
Гетафе,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Мадрид,144368.0,,
Солтильо,Мексика,Куау́хила,420947.0,-101.0,25.3
Баруэри,OK,Сан-Паулу,176740.0,,
Зонгюльдаки,Транслитерация,Зонгюльдаки,115900.0,,
Елена,США,Монтана,23938.0,-112.0,46.6
Якиши,ТЖ,Нэй-Монголь,377869.0,,
Кесон,RP - ролевая игра,Филиппины,1989000.0,,
Леон,НИК,Никарагуа,171375.0,,
Даллас,США,Техас,1007618.0,-96.85,32.85
Сонгакиол,ТХА,Таиланд,243000.0,,
Санандаж,ИР,Кордистан,277314.0,,
Седлец,ПЛ,Сидельчие,,,
Гент,Б,Восточная Фландрия,227483.0,3.75,51.054
Виктория-ду-Консайс,OK,Бахия,241776.0,,
Наполи,я,Кампания,1206013.0,14.15,40.5
Новочебоксарск,r,Чуваская Республика,123000.0,,
Донецк,НЕТ ПЕРЕВода,Донецкая,1117000.0,,
Асуан,ПТ,Асуан,196000.0,,
Лиссабон,П,Лиссабон,807937.0,-9.13333,38.7167
Сапеле,ХАН,Нигерия,123000.0,,
Пльзень,ЧЗ,Западный,175000.0,,
Черкесск,r,Карачаево-Черкесская Республика,119000.0,,
Тиру-Юй,Р,Горь,,,
Как по вам?,Ва-Ва,Сукре,212432.0,,
Ши-чуань,ТЖ,Нингся Хуюцзы,257862.0,,
Спрингфилд,США,Миссури,140494.0,-93.3833,37.2333
Бхатпара,Индия,Мадхья-Прадеш,315976.0,,
Гельзенкирхен,Д,Северный Рейн-Вестфалия,293542.0,,
Макбриджес-фолз,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Чешир,151400.0,,
Денвер,США,Кораловый,467610.0,-104.867,39.75
Ндола,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Коппербейт,376311.0,,
Вильюрбан,Ф,Рена Альпы,116872.0,,
Сианкотт,ПК,Пакистан,302009.0,,
Ленинский Куньятский,r,Кемеровская область,121000.0,,
Манила,RP - ролевая игра,Филиппины,1655000.0,120.983,14.5833
Лейянь,ТЖ,Хунань,130115.0,,
Шанграй,ТЖ,Джянги,132455.0,,
Чаоян,ТЖ,Ляоинь,222394.0,,
Берн,Ч,БЕ,134393.0,7.3,46.6
Кочабамба,Боль,Боливия,304000.0,-66.0,-17.1
Джизак,Узб,Джизак,116000.0,,
Магвай,МЯ,Магвай,,,
Квебек,КЭН,Квебек,167517.0,-71.3833,46.8
Катманду,НЕП,Непал,393494.0,85.25,27.45
Фулинг,ТЖ,Хэйлунцзян,173878.0,,
Солидад,КоА,Атлантика,264583.0,,
