river,country,province
Река Мерримак,США,Массачусетс
Семлики,ВЭА,Уганда
Умеаэлв,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Вастерботтен
Кольяма,r,Республика Саха (Якутия)
Атбара,Суд,Аш-Шамалиха
Иравади,МЯ,Янгон
Рио-Гранде,США,Техас
Рейн,НЛ,Южная Голландия
Некар,Д,Баден-Вюртемберг
Тибер,я,Лазио
Эннс,А,Зальцбург
Река Святого Лаврентия,КЭН,Квебек
Куанго,ЗРЕ,Бандунду
Дору,П,Авейру
Молдавия,ЧЗ,Праг
Здравствуйте,МOC,Замбезия
Салцах,Д,Бавария
Гвадиан,П,Порту
Иравади,МЯ,Кахин
Мурат,Транслитерация,Эльбаас
Тичино,я,Ломбардия
Эльба,Д,Нижняя Саксония
Об,r,Тюменская область
Сохранить,SRB,Сербия
Вольта,Г,Гана
Кымийоки,SF,УусИМЕА
Манакуган,КЭН,Квебек
Аре,Ч,АГ
Рона,Ф,"Провенс, Кот-д'Азур"
Арно,я,Тоскана
Прирут,Р,Галати
Тэмс,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Эссекс
Нарв,r,Псковская область
Кура,АЗ,Азербайджан
Уругвай,ру,Уругвай
Раб,Х,Гёр-Сопрон
Вурм,Д,Бавария
Миссури,США,Миссури
Рио-Гранде,Мексика,Тамаулипас
Арканзас,США,Арканзас
Лимпопо,МOC,Газа
Индус,ПК,Пакистан
Дорогая Река,Австралия,Новый Южный Уэльс
Днестр,НЕТ ПЕРЕВода,Одеска
Лех,Д,Бавария
Парагвай,"Пожалуйста, предоставьте текст для перевода.",Парагвай
Парана,А,Энтре-Риос
Олт,Р,Олт
Сучона,r,Вологодская область
Иордания,Запад,Западный берег
Амударжа,Узб,Каракалы погистон
Рио-Негро,OK,Амазонки
Ориноко,Ва-Ва,Дельта Амакуро
Рио Лерма,Мексика,"Мексика, штат"
Минчо,я,Венето
Дрин,АЛ,Албания
Ока,r,Нижняя Новгородская область
Одер,ПЛ,Щецинские
Ваг,А,Словакия
Чатанг,r,Краснокарский край
Северная Двина,r,Архангельская область
Орандж,RSA,Северная область
Кокемяенёки,SF,Турку-Порё
Нил,ПТ,Эль-Бухайра
Одер,Д,Мекленбург-Передняя Померания
Бани,ММ,Мали
Рио-Десаguadero,Боль,Боливия
Морава,SRB,Сербия
Пой,я,Эмилия-Романья
Дору,П,Порту
Волга,r,Астраханская область
