mountain,island
Гора Уильям,Новая Гвинея
Пика Джейя,Новая Гвинея
Пико,Пико
Питон д'Эшля,Реюнион
Пинатубо,Лусон
Монте-Один,Остров Баффин
Кинабалу,Бали
Монте-Синто,Корсика
Канаон,Негрос
Леусер,Суматра
Гилуэ,Новая Гвинея
Халеакала,Мауи
Пеле,Мартиника
Пико-де-Тейде,Тенерифе
Морне Диабло́тины,Доминика
Гора Кук,Тэ Вака-а-Мауи (Южный остров)
Питон де ла Форнассе,Реюнион
Семеру,Ява
Суфриер-Хиллз,Монсерат
Эта,Сицилия
Асаци-Даке,Хоккайдо
Гора Апо,Минданао
Царатанана,Мадагаскар
Татамайлау,Тимор
Пико Базили,Биоко
Жима,Олхон
Кракатау,Кракатау
Мон-Орехена,Тахити
Снаефелл,Исландия
Суфриер,Сент-Винсент
Пулог,Лусон
Силиси,Саваи
Фого,Фого
Рок де лос Мучахос,Ла-Пальма
Руапеху,Тэ Ика-а-Мауи (Северный остров)
Бен-Невис,Великая Британия
Пико Дуарте,Испаньола
Пико Сау Томе,Сан-Томе и Принсипи
Пик Барбоу,Олсомерный остров
Рантекомбола,Суллоуэси
Ю Шэн,Тайвань
Попо-манасеу,Гвадалахара
Ла Суфриер,Гваделупа
Манталинган,Палау
Мауна-Кеа,Гавайи
Псилоритис,Крета
Тамбора,Сумбауа
Гора Балби,Бугенвиль
Гора Блу-Маунтин,Ямайка
Керинци,Суматра
Концепсьон,Остров Ометепе
Гуни Биния,Церам
Пико-Туркино,Куба
Церо де Пунта,Пуэрто-Рико
