desert,country,province
Ливийский пустыня,Суд,Аш-Шамалиха
Мурункум,КАЗ,Кыргызстан
Негев,ИЛ,Южный
Эрг Чеч,ММ,Мали
Даште-Кави́р,ИР,Тегеран
Каракум,TM,Ливан
Ливийский пустыня,ПТ,Бени Суиф
Сирийская пустыня,Сирия,Сирия
Калаhari,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Западный
Ферло,ОК,Луга
Кысылкум,Узб,Самарканд
Тамар,Индия,Гуджарат
Великий Виктория-стань,Австралия,Западная Австралия
Руб аль-Хали,СА,Саудовская Аравия
Танезруфт,ММ,Мали
Сонора,Мексика,Сонора
Эрг Исаван,ДЗ,Алжир
Гоби,ТЖ,Ганьсу
Оуихи,США,Орегон
Даште-Кави́р,ИР,Эсфахан
Сирийская пустыня,Хорошо,Иордания
Эрг Игиди,ДЗ,Алжир
Рын,r,Астраханская область
Сирийская пустыня,Ирак,Аль-Анбар
Руб аль-Хали,ОАЭ,Аль-Фуджайра
Красный центр,Австралия,Западная Австралия
Мурункум,КАЗ,Жамбыл
Ливийский пустыня,ПТ,Матурух
Ферло,ОК,Тамбакунда
Ливийский пустыня,ПТ,Вади-эль-Джадид
Нефуд,СА,Саудовская Аравия
Азауд,ДЗ,Алжир
Кысылкум,Узб,Джизак
Гибсон-десерт,Австралия,Западная Австралия
Каракум,TM,Дашхауз
Калаhari,RB,Ботсвана
Гоби,ТЖ,Нингся Хуюцзы
Ливийский пустыня,ПТ,Эль-Минья
Тамар,ПК,Пакистан
Гоби,МНГ,Монголия
Оуихи,США,Идахо
Калаhari,RSA,Северо-Запад
Ливийский пустыня,ПТ,Эль-Гиза
Тамар,Индия,Пенджаб
Цветочный плато,США,Новая Мексика
Баха-Калифорния-Десерт,Мексика,Баха-Калифорния
Каидам,ТЖ,Кэцзюэй
Стурт-пустыня,Австралия,Северная территория
Развод,РН,Нигер
Калаhari,НАМ,Намибия
Тамар,Индия,Хариана
Чихуахуа,США,Аризона
Дашт-е-Лут,ИР,Систан и Белуджистан
Великий Эрг Ист,ДЗ,Алжир
Арабское пустыня,ПТ,El Bahr el-Ahmar
Эрг Чеч,ДЗ,Алжир
Танезруфт,ДЗ,Алжир
Цветочный плато,США,Аризона
Ригестан,Афг,Афганистан
Моэве,США,Калифорния
Каракум,TM,Балканы
Дарфур,Суд,Дарфур
Ордос,ТЖ,Нингся Хуюцзы
Руб аль-Хали,ОАЭ,Рас-аль-Хайма
Руб аль-Хали,ОАЭ,Дубай
Дашт-е-Маргох,Афг,Афганистан
Сонора,США,Аризона
Калаhari,ANG,Когда-Кубанго
Даште-Кави́р,ИР,Хорасан
Гоби,ТЖ,Нэй-Монголь
Уст-Урт,КАЗ,Мангышлак
Уст-Урт,Узб,Каракалы погистон
Дашт-е-Лут,ИР,Язд
Дашт-е-Лут,ИР,Хорасан
Дашт-е-Лут,ИР,Эсфахан
Каракум,TM,Ахал
Сирийская пустыня,СА,Саудовская Аравия
Даште-Кави́р,ИР,Язд
Азауд,РН,Нигер
Ливийский пустыня,Суд,Дарфур
Руб аль-Хали,ОАЭ,Умм-эль-Каэль
Великая соленая пустыня,США,Юта
Каракум,Узб,Каракалы погистон
Дашт-е-Лут,ИР,Керман
Хамада аль-Хамра,ЛАР,Ливия
Нуллаборрская равнина,Австралия,Южный Австралия
Ригестан,ПК,Пакистан
Ордос,ТЖ,Шаньси
Кысылкум,КАЗ,Кыргызстан
Моэве,США,Невада
