name,mountains,height,type,longitude,latitude
Пик Ленина,Памир,7134.0,,72.55,39.2
Невадо-дель-Руис,Андес,5389.0,вулкан,-75.3,4.9
Галдхоппиг,,2469.0,,8.0,61.4
Мт Фэрвэтер,Элиис-Рейндж,4663.0,,-137.5,58.9
Невадо-дель-Уйла,Андес,5750.0,вулкан,-76.0,2.9
Вейлер Пик,Рッキー-Маунтинс,4011.0,,-105.4,36.55
Ринджани,,3726.0,вулкан,116.5,-8.4
Рувензори,Восточноафриканская рифтовая система,5109.0,,29.9,0.4
Портфелей,,2021.0,,17.4,67.1
Гилуэ,,4368.0,вулкан,143.9,-6.05
Пико Боливар,Андес,4981.0,,-71.0,8.6
Демир-Кажик,Таври́й,3756.0,,35.2,37.8
Везувий,,1281.0,вулкан,14.4,40.8
Кебнекайсе,,2114.0,,18.3,67.5
Добавить,Западные Гаты,2636.0,,76.7,11.4
Кингс-Пик,Рッキー-Маунтинс,4123.0,,-110.4,40.5
Аннапурна,Гималаи,8091.0,,83.8,28.6
Мт Логэн,Элиис-Рейндж,5959.0,,-140.4,60.6
Хекла,,1491.0,вулкан,-19.7,64.0
Пико Сау Томе,,2024.0,вулканический,6.6,0.2
Мт. Сент-Элиас,Элиис-Рейндж,5489.0,,-140.9,60.3
Гваннадалсхнукур,,2110.0,вулканический,-16.7,64.1
Гора Балби,,2715.0,вулканический,155.0,-5.9
Лотсе,Гималаи,8516.0,,86.9,28.0
Нангапараبات,Каракорум,8125.0,,74.6,35.2
Гора Бэнди,"Сьерра-Невада, Калифорния",4006.0,,-118.3,37.9
Мт Редаут,Алеутские горы,3108.0,вулкан,-152.75,60.5
Мт Маккинли,Аллюйский хребет,6193.0,,-151.0,63.1
Гора Блу-Маунтин,,2256.0,,-76.4,18.1
Гора Уильям,,4509.0,,145.0,-5.8
Джостедалсбре,,2083.0,,5.5,61.4
Мауна-Лоа,Гавайи,4170.0,вулкан,-155.6,19.5
Невадо де Колима,Горайзональна вулканическая область,4330.0,вулкан,-104.0,20.0
Шишапангма,Гималаи,8027.0,,85.8,28.55
Манталинган,,2085.0,вулканический,118.4,9.7
Финстерерарн,Альпы,4274.0,,8.1,46.5
Фудзи-сан,,3776.0,вулкан,139.0,35.0
Звезда башня,Центральные горы,1993.0,,-7.6,40.3
Зард-Кух,Загрос,4550.0,,50.1,32.35
Илампу,Кордильера-Реаль,6368.0,гранит,-68.5,-15.8
Хотака-Дакэ,,3190.0,вулкан,138.0,36.0
Пико Дуарте,,3098.0,,-71.3,18.3
Гора Бабель,,952.0,,-68.7,51.45
Таррекайс,,1850.0,,17.3,67.0
Кинабалу,,4101.0,гранит,116.5,6.1
Белуюша,Алтае,4506.0,,86.4,49.48
Тупунгато,Андес,6550.0,вулкан,-69.87,-33.35
Мт. Худ,Каскадные горы,3424.0,вулкан,-121.5,45.2
Клингманс-Дом,Апалачи,2025.0,,-83.2,35.3
Грани Сассо,Апеннины,2912.0,,13.55,42.5
Эта,,3323.0,вулкан,15.0,37.7
Эми Кусси,Тибести,3415.0,вулкан,18.5,20.0
Элгон,Восточноафриканская рифтовая система,4321.0,вулканический,34.55,1.1
Ллулакаго,Андес,6739.0,вулкан,-68.5,-24.7
Питон д'Эшля,,3069.0,вулканический,55.5,-21.1
Герлечковский-Стит,Бескиды,2655.0,,20.1,49.2
Эльбрус,Каспий,5642.0,вулканический,42.26,43.21
Пик Карл-Маркс,Памир,6726.0,,71.3,38.0
Кракатау,,813.0,вулкан,105.4,-6.1
Маунтин-Митчелл,Апалачи,2037.0,,-82.1,35.4
Альпамайо,Белая Cordillera,5947.0,,-77.7,-8.9
Пикс-Пик,Рッキー-Маунтинс,4302.0,,-105.0,38.8
Джабал Мара,Дарфур,3088.0,вулканический,24.6,13.0
Пик Кэткин,Дракенсберг,3181.0,,29.35,-29.1
Гран-Парадисо,Альпы,4061.0,,7.25,45.5
Кения,Восточноафриканская рифтовая система,5199.0,вулканический,37.3,0.15
Монте-Один,Пенні Хайландс,2147.0,,-65.6,66.55
Морне Диабло́тины,,1447.0,вулкан,-61.4,15.5
Кайлас,Траншималая,6714.0,,81.3,31.05
