name,area,longitude,latitude
Азауд,80000.0,0.0,20.0
Нубийский пустыня,50000.0,21.0,32.0
Симпсонский пустыня,176500.0,137.0,-25.0
Эрг Исаван,80000.0,8.0,28.0
Ливийский пустыня,1100000.0,,
Оуихи,36000.0,-117.0,42.0
Гоби,1000000.0,105.0,41.0
Тамар,240000.0,72.0,27.5
Великий Виктория-стань,424400.0,129.0,-29.0
Ферло,70000.0,-14.0,15.0
Эрг Мактир,40000.0,-11.0,22.0
Негев,12000.0,35.0,30.5
Арабское пустыня,50000.0,26.0,33.0
Каидам,120000.0,95.0,37.5
Руб аль-Хали,780000.0,51.0,21.0
Хамада аль-Хамра,84000.0,12.0,30.0
Великий Эрг Ист,150000.0,8.0,31.0
Баха-Калифорния-Десерт,30000.0,-116.0,31.0
Нуллаборрская равнина,200000.0,129.0,-31.0
Эрг Ребяна,200000.0,22.0,23.0
Сагуия эль-Хамра,25000.0,-10.0,27.0
Намиб,95000.0,15.0,-25.0
Сонора,320000.0,-113.0,32.0
Танами,37500.0,130.0,-20.0
Сирийская пустыня,518000.0,39.0,33.0
Развод,100000.0,6.0,17.0
Мурункум,37500.0,72.0,44.0
Уст-Урт,180000.0,56.0,43.0
Эрди Эньеди,180000.0,22.0,18.0
Эрг Игиди,150000.0,-5.0,27.0
Кум Тагх,22000.0,92.0,40.0
Гибсон-десерт,310800.0,125.0,-23.0
Каракум,400000.0,60.0,40.0
Атакума,181300.0,-69.25,-24.5
Джураб,100000.0,18.0,17.0
Хороший,48800.0,87.5,45.0
Ригестан,25000.0,65.0,30.0
Эр-Руаарэн,80000.0,-11.0,21.0
Дарфур,500000.0,27.0,15.0
Рын,80000.0,47.0,48.0
Нефуд,78000.0,42.0,28.0
Хамада дю Драа,35000.0,,
Тенере,600000.0,11.0,18.0
Даште-Кави́р,77600.0,55.0,32.5
Калаhari,1200000.0,21.0,-22.0
Стурт-пустыня,13000.0,141.0,-29.0
Чихуахуа,360000.0,-105.0,31.0
Цветочный плато,337000.0,-110.0,36.0
Дашт-е-Маргох,40000.0,62.0,31.0
Дашт-е-Лут,166000.0,57.0,32.5
Танезруфт,160000.0,0.0,23.0
Эрг Чеч,10000.0,-3.0,25.0
Великий Сендый Пустынь,360000.0,123.0,-20.0
Тра́з,50000.0,-15.0,18.0
Фесан,300000.0,13.0,26.0
Ордос,90000.0,108.0,38.0
Красный центр,1000000.0,135.0,-26.0
Кысылкум,200000.0,65.0,44.0
Великая соленая пустыня,10360.0,-114.0,41.0
Такла-Макан,300000.0,82.0,38.0
Великий бассейн,300000.0,-117.0,38.0
Западный Большой Эрг,200000.0,-1.0,30.0
Моэве,57000.0,-115.2,36.2
