name,islands,area,height,type,longitude,latitude
Амеланд,Западно-фризийские острова,57.6,,,5.75,53.5
Сан-Томе и Принсипи,,859.0,2024.0,вулканический,6.6,0.2
Корсика,,8680.0,2706.0,,8.4,41.4
Суллоуэси,Острова Сунда,189216.0,3455.0,вулканический,120.3,-2.1
Бишоп-Рок,Острова Силли,,,,-6.3,50.0
Гранд-Терр,Малые Антильские острова,589.0,,вулканический,-61.4,16.3
Большой Комор,Коморы,1148.0,,,43.4,-11.7
Остров Святой Елены,,122.0,,вулканический,-5.44,-15.56
Антига,Малые Антильские острова,281.0,400.0,,-61.8,17.05
Сент-Мартин,Малые Антильские острова,87.0,411.0,,-63.1,18.1
Северный Уист,Внешние Гебриды,303.0,,,-7.1,57.4
Корво,Азоры,17.5,718.0,вулканический,-31.1,39.7
Зееланд,,7439.0,,,12.0,55.3
Лангёог,Восточно-фризские острова,20.0,5.0,,7.5,53.65
Бара,Внешние Гебриды,91.0,,,-7.7,57.0
Тутуила,Острова Самоа,135.0,,вулканический,-170.42,-14.16
Уполу,Острова Самоа,1125.0,1158.0,вулканический,-171.75,-13.9
Тристан да Куна,,104.0,,вулканический,-12.3,-37.1
Батам,Острова Сунда,415.0,,,104.05,1.1
Великая Земля,Новая Каледония,16372.0,1628.0,,166.27,-22.16
Бонаир,Малые Антильские острова,288.0,,,-68.3,12.2
Салина,Липари,26.8,962.0,вулканический,14.9,38.6
Сент-Люсия,Малые Антильские острова,616.0,950.0,вулканический,-60.5,14.0
Футуна,Острова Футуна,64.0,,,-178.1,-14.3
Фуэнен,,2976.0,,,10.25,55.35
Лонг-Айленд,,3566.0,,,-73.3,40.8
Ниуэ,,260.0,67.0,Корал,-169.55,-19.01
Куба,Величественные Антильские острова,105806.0,1974.0,,-79.0,22.0
Новый Провиденс,Багамские острова,207.0,,,-77.4,25.0
Уседом,,445.0,,,14.1,53.9
Остерная остров,,163.0,,вулканический,-109.35,-27.1
Гран-Канария,Канарес,1560.0,1949.0,вулканический,-15.6,28.0
Мальчик,Мальдивы,2.74,1.0,атолл,72.0,2.0
Кavarати,Лаккадивы,6.0,2.0,,72.6,10.6
Сицилия,,25462.0,3323.0,,14.0,37.0
Фонгафале,Острова Эллис,2.8,,атолл,179.1,-8.5
Ниихау,Гавайские острова,178.0,381.0,,-160.1,21.9
Маджуро,Острова Маршалла,9.2,,атолл,171.4,7.1
Мауи,Гавайские острова,1883.0,3055.0,,-156.3,20.7
Амбон,Молуккские острова,775.0,1225.0,,128.2,-3.7
Самар,Филиппины,13080.0,,,125.1,12.0
Шри-Ланка,,65610.0,,,80.0,7.0
Льюис и Харрис,Внешние Гебриды,2170.0,,,-6.8,57.9
Барбадос,Малые Антильские острова,430.0,336.0,лимон,-59.3,13.0
Южный Рональдсей,Острова Оркней,50.0,,,-3.1,58.6
Суматра,Острова Сунда,473000.0,3805.0,,102.0,0.0
Бахрейн,,620.0,135.0,,50.5,26.0
Анжуан,Коморы,424.0,,,44.35,-12.2
Майорка,Балерины,3618.0,1445.0,,3.0,39.3
Святой Томас,Малые Антильские острова,31.0,,,-64.9,18.3
Банкс-Айленд,Канадские арктические острова,70028.0,,,-122.1,72.85
Флорес,Азоры,143.0,914.0,вулканический,-31.2,39.5
Madeira,Madeira,794.0,1861.0,вулканический,-16.0,31.0
Вануа-Леву,Острова Фиджи,5500.0,,вулканический,179.25,-16.35
Ломбок,Острова Сунда,4725.0,3726.0,вулканический,116.5,-8.4
Новая Гвинея,,786000.0,4884.0,,142.0,-5.0
Южный Уист,Внешние Гебриды,320.0,,,-7.2,57.2
Реюнион,,2510.0,3069.0,вулканический,55.5,-20.9
Тобаго,Малые Антильские острова,301.0,576.0,,-60.7,11.25
Сент-Китс,Малые Антильские острова,164.0,1156.0,вулканический,-62.75,17.3
Гваделупа,Малые Антильские острова,848.0,1467.0,вулканический,-61.8,16.15
Вити Леву,Острова Фиджи,10429.0,,вулканический,178.0,-17.8
Остров Сан-Мигель,Калифорнийские островные территории,37.0,259.0,,-120.4,33.0
Джерси,Острова Канала,117.0,,,-2.1,49.2
Рота,Марайяны,85.0,495.0,,145.2,15.15
Борнхольм,,588.0,162.0,,14.9,55.1
Свалбард,Свалбард,39044.0,1717.0,,18.2,78.9
Фехмарн,,185.0,27.2,,11.2,54.4
Сен-Пьер,,26.0,,,-56.0,47.0
Негрос,Филиппины,13328.0,2435.0,,123.0,10.0
Западная Фолклендская остров,Фолклендские острова,4532.0,700.0,,-60.1,-51.8
Мартиника,Малые Антильские острова,1128.0,1397.0,вулканический,-61.0,14.6
Гозо,Мальта,67.0,176.0,,14.3,36.05
Цебу,Филиппины,5088.0,1000.0,,123.8,10.4
Кракатау,Острова Сунда,,813.0,вулканический,105.6,-6.1
Англия,Британские острова,715.0,,,-4.4,53.3
Аланд,Аландские острова,650.0,,,20.0,60.1
Остров Санта-Каталина,Калифорнийские островные территории,194.0,648.0,,-118.2,33.2
Нордерней,Восточно-фризские острова,26.3,5.0,,7.9,53.7
Юра,Внутренние Херыведы,367.0,785.0,,-6.0,56.0
Увея,Острова Уоллеса,90.0,,,-176.2,-13.16
Лефкас,Ионические острова,293.0,1158.0,,20.6,38.7
Ланцароте,Канарес,846.0,671.0,вулканический,-13.6,29.0
Изабелла,Галлипагосские острова,5436.0,1707.0,вулканический,-91.3,-1.0
Спекерог,Восточно-фризские острова,18.2,3.0,,7.6,53.8
Великий Бермудский залив,Бермудские острова,53.3,79.0,Корал,-64.47,32.17
