sea,country,province
Атлантический океан,Ф,Пуату-Шарант
Скайгерак,"""No additional text provided.""",Оестфолд
Индийский океан,Eак,Побережье
Атлантический океан,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Внешние Гебриды
Атлантический океан,ОК,Зигинchor
Средиземное море,ГР,Крит
Атлантический океан,ОК,Луга
Атлантический океан,Ф,Бретань
Море Азовское,НЕТ ПЕРЕВода,Херсонская
Тихоокеанский океан,CR,Гуанакасте
Средиземное море,М,Мальта
Карибское море,C,Сантьяго-де-Куба
Карибское море,CR,Лимон
Тихоокеанский океан,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Хоккайдо
Красный Мор,Хорошо,Иордания
Карибское море,ХСА,Атлантида
Карибское море,Мексика,Юкатан
Тихоокеанский океан,ТУВ,Тувалу
Атлантический океан,AXA,Ангилья
Северное море,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Северо-Восточная Англия
Карибское море,Смар,Сент-Мартин
Средиземное море,РЛ,Ливан
Атлантический океан,США,Флорида
Арабское море,ОМ,Оман
Тихоокеанский океан,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Канагава
Ирландское море,ГБМ,Человек
Южнокитайское море,МАЛ,Тернакин
Средиземное море,ГР,Ионийские острова
Карибское море,Ва-Ва,Федеральный округ
Персидский залив,СА,Саудовская Аравия
Индийский океан,Тутл,Восточный Тимор
Северное море,"""No additional text provided.""",Хёрдаланд
Балтийское море,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Гавлеборг
Атлантический океан,OK,Пернамбуку
Средиземное море,ПТ,Эль-Дакахлия
Красный Мор,СА,Саудовская Аравия
Гольфстрим,C,Havана
Карибское море,AГС,Гватемала
Андаманское море,МЯ,Айярвади
Балтийское море,SF,Аланд
Балтийское море,SF,Улу
Атлантический океан,РХЧ,Чили
Восточное море Китая,ТЖ,Китай
Атлантический океан,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Страна Басков
Норвежское море,"""No additional text provided.""",Северный Тронхейм
Индийский океан,МOC,Софала
Средиземное море,я,Мараха
Малаховский пролив,СГП,Сингапур
Бенгальский залив,МЯ,Рахине
Чёрное море,НЕТ ПЕРЕВода,Херсонская
Атлантический океан,МНТ,Монсерат
Средиземное море,ГР,Вореион Аияцион
Тихоокеанский океан,РХЧ,Чили
Атлантический океан,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Андалусия
Индийский океан,РМ,Анциранана
Балтийское море,r,Лeningрадская область
Атлантический океан,Ф,Аквитания
Средиземное море,я,Кампания
Балтийское море,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Готланд
Атлантический океан,OK,Амапа
Тихоокеанский океан,Австралия,Тасмания
Канал,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Восточный Сассекс
Атлантический океан,ВЛ,Сент-Люсия
Атлантический океан,ANG,Намибе
Южнокитайское море,RP - ролевая игра,Филиппины
Средиземное море,GBZ,Гибралтар
Тихоокеанский океан,НAU,Науру
Северное море,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Большой Лондон
Атлантический океан,КЭН,Квебек
Атлантический океан,ПР,Пуэрто-Рико
Красный Мор,ДЖИ,Джибути
Средиземное море,я,Абруццо
Тихоокеанский океан,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Фукусима
Тихоокеанский океан,США,Калифорния
Тихоокеанский океан,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Окинава
Индийский океан,РМ,Тома́син
Чёрное море,НЕТ ПЕРЕВода,Крым
Балтийское море,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Стокгольм
Восточное море Китая,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Сага
Карибское море,C,Лас-Тунас
Карибское море,КоА,Атлантика
Атлантический океан,Тука,Острова Теркс и Кайкос
Тихоокеанский океан,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Токушима
