abbreviation,name,city,country,province,established
ОЭКС,Организация восточнокарибских государств,Кастро,ВЛ,Сент-Люсия,1981-06-18
Автомобильная инженерия,Экономическая комиссия для Европы,Женева,Ч,ГЕ,1947-03-28
Ядаб,Межамериканский банк развития,Вашингтон,США,Дистрик-Колумбия,1959-04-08
Договор ANZUS,"Договор о безопасности между Австралией, Новой Зеландией и США",Канберра,Австралия,Австралийский столичный регион,1951-09-01
МВФ,Мировой банк,Вашингтон,США,Дистрик-Колумбия,1944-07-22
КАЕУ,Совет арабского экономического единства,Амман,Хорошо,Иордания,1957-06-03
КACM,Центральноамериканский общий рынок,Гواتемала-Сити,AГС,Гватемала,1960-12-13
UNМОГИП,Группа военных наблюдателей Организации Объединенных Наций в Индии и Пакистане,Нью-Йорк,США,Нью-Йорк,1948-08-13
ВТО,Всемирная организация торговли,,,,1994-04-15
ФЦУИ,Международная конфедерация профсоюзов,Брюссель,Б,Прованс,1949-12-01
IFРС,Международная федерация Красного Креста и Красного Полумесяца,Женева,Ч,ГЕ,1919-05-05
НАТО,Североатлантический договор,Брюссель,Б,Прованс,1949-09-17
ЭКЛАК,Экономическая комиссия для Латинской Америки и Карибского бассейна,Сантьяго,РХЧ,Чили,1948-02-25
G-5,Группа из 5 человек,,,,1985-09-22
МЕРКОСур,Южно-конный общий рынок,Буенос-Айрес,А,Федеральный округ,1991-03-26
ФРОНТЕКС,Операция ООН по восстановлению доверия в Хорватии,Нью-Йорк,США,Нью-Йорк,1995-03-31
ОАПЕК,Организация арабских стран-экспортеров нефти,,,,1968-01-09
SPФ,Форум Тихоокеанского региона Юга,Сува,Фиджи,Фиджи,1971-08-05
УНИТАР,Институт подготовки кадров и исследований Организации Объединенных Наций,,,,1963-12-11
Объединенная промышленно-развитая организация,Организация Объединенных Наций по промышленному развитию,Вена,А,Вена,1966-11-17
Кариком,Карибское сообщество и Общий рынок,Джорджтаун,Мальчик,Гайана,1973-07-04
ИЛΟ,Международная организация труда,Женева,Ч,ГЕ,1919-04-11
"Это может означать ""Electronic Audio Data Base"" или базу данных аудио-данных. Это термин, используемый в области обработки сигналов и музыки для описания формата файлов, используемых для хранения и передачи аудио-данных.",Банк развития Восточной Африки,Кампала,ВЭА,Уганда,1967-06-06
ЦЕ,Совет Европы,Страсбург,Ф,Алсация,1949-05-05
Г-77,Группа 77,,,,1967-10-01
НАМ,Движение неприсоединения,Джакарта,Ри,Индонезия,1961-09-01
ЕВ,Европейский союз,Брюссель,Б,Прованс,1992-02-07
Г-3,Группа из 3,,,,1990-10-01
Г-10,Группа из 10 человек,Париж,Ф,Иль-де-Франс,1962-10-01
НИБ,Северный инвестиционный банк,Гельсинки,SF,УусИМЕА,1975-12-04
КИС,Содружество Независимых Государств,Минск,БЫ,Беларусь,1991-12-08
КТО,Всемирная организация здравоохранения,Женева,Ч,ГЕ,1946-07-22
УНМОТ,Миссия наблюдателей ООН в Таджикистане,Нью-Йорк,США,Нью-Йорк,1994-12-16
КНА,Совет по сотрудничеству стран Северной Атлантики,Брюссель,Б,Прованс,1991-11-08
ЕБРР,Европейский банк реконструкции и развития,Лондон,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Большой Лондон,1991-04-15
ОПЕК,Организация стран-экспортеров нефти,Вена,А,Вена,1960-09-14
УПУ,Всемирный почтовый союз,Берн,Ч,БЕ,1874-10-09
по моему мнению,Международная морская организация,Лондон,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Большой Лондон,1958-03-17
"Предупреждение: это перевод только на русский язык. Я не буду вводить дополнительный текст, кроме того, что вы предоставили.",Силы ООН по стабилизации в Косово,,,,1995-03-31
Интерпол,Международная организация уголовной полиции,Лион,Ф,Рена Альпы,1956-06-13
G-19,Группа из 19 человек,,,,1975-10-01
МОТ,Всемирная метеорологическая организация,Женева,Ч,ГЕ,1947-10-11
Спартика,Южно-Тихоокеанское региональное соглашение о торговле и экономическом сотрудничестве,,,,1981-01-01
ЭКО,Организация экономического сотрудничества,Тегеран,ИР,Тегеран,1985-01-01
ЭСКПВ,Экономическая и социальная комиссия для Западной Азии,Амман,Хорошо,Иордания,1973-08-09
МНОПЛАН,Междунациональные силы в Ливане,Нью-Йорк,США,Нью-Йорк,1978-03-19
ПФП,Партнерство за мир,,,,1994-01-10
УДЕАК,Центральноафриканское таможенное и экономическое сообщество,Банги,РКА,Центральная Африканская Республика,1964-12-08
Организация по безопасности и сотрудничеству в Европе,Организация по безопасности и сотрудничеству в Европе,Вена,А,Вена,1995-01-01
ОЭСР,Организация экономического сотрудничества и развития,Париж,Ф,Иль-де-Франс,1960-12-14
C,Содружество,Лондон,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Большой Лондон,1931-12-31
G-24,Группа из 24 человек,Брюссель,Б,Прованс,1972-01-01
АМФ,Арабский монетарный фонд,Абудаби,ОАЭ,Абудаби,1976-04-27
СПЦ,Южнотихоокеанская комиссия,Нумеа,Национальный центр администрирования и уголовного правосудия,Новая Каледония,1947-02-06
Отвод,Силы наблюдателей за разъединением ООН,Дамаск,Сирия,Сирия,1974-05-31
БДИ,Банк исламского развития,Джедда,СА,Саудовская Аравия,1973-12-15
Инмарсат,Международная организация спутниковой связи,Лондон,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Большой Лондон,1976-09-03
ВТО,Всемирная организация интеллектуальной собственности,Женева,Ч,ГЕ,1967-07-14
"Да, конечно! Я всегда рад помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь сделать это как можно более точно и естественно.",Агентство по ядерной энергии,,,,1958-01-01
АГ,Группу Андс,Пять,ПЭ,Пять,1969-05-26
ISO,Международная организация по стандартизации,Женева,Ч,ГЕ,1947-02-01
ФЗ,Фран-Зона,Париж,Ф,Иль-де-Франс,1945-12-20
ГСС,Совет по сотрудничеству стран Персидского залива,Рияд,СА,Саудовская Аравия,1981-05-25
УНОМИЛ,Миссия наблюдателей ООН в Либерии,Нью-Йорк,США,Нью-Йорк,1993-09-22
БЦЕ,Центральный банк для экономического интегрирования в Центральной Америке,Гвадалахара,ХСА,Франсиско Моразан,1960-12-13
Г-11,Группа из 11 человек,,,,1984-06-22
LAИЯ,Ассоциация интеграции Латинской Америки,Монτεвидео,ру,Уругвай,1980-08-12
БДЕАК,Банк развития центральноафриканских государств,Браззавиль,КРБ,Конго,1975-12-03
КП,Коломбо-план,Коломбо,КЛ,Шри-Ланка,1951-07-01
ККК,Совет по сотрудничеству в области таможни,Брюссель,Б,Прованс,1950-12-15
Г-9,Группа из 9 человек,,,,
CBS,Совет государств Балтийского моря,,,,1992-03-05
МКК,Международная торговая палата,Париж,Ф,Иль-де-Франс,1919-01-01
