island,country,province
Хоншью,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Нагано
Лонг-Айленд,США,Нью-Йорк
Хоншью,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Осака
Бенбекула,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Внешние Гебриды
Вануа-Леву,Фиджи,Фиджи
Великая Британия,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Бленнау Гвент
Хоншью,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Ямагучи
Исландия,Что?,Исландия
Хоншью,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Окаяма
Великая Британия,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Неа́т и Порта́-Тэлли
Сент-Люсия,ВЛ,Сент-Люсия
Остров Санта-Роза,США,Калифорния
Великая Британия,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Врексфорд
Сан-Мигел,П,Азоры
Великая Британия,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Авон
Шикоку,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Кочи
Бугенвиль,ПНГ,Папуа-Новая Гвинея
Тиниан,НМИС,Северные Марианские острова
Великая Британия,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Поуис
Северный Уист,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Внешние Гебриды
Новая Гвинея,ПНГ,Папуа-Новая Гвинея
Арран,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Стратклайд
Хоншью,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Аихи
Марта-Винъярд,США,Массачусетс
Тристан да Куна,ХएलΞ,Остров Святой Елены
Липари,я,Кальяри
Лолланд,ДК,Дания
Корсика,Ф,Корсика
Лангеланд,ДК,Дания
Остров Святой Елены,ХएलΞ,Остров Святой Елены
Мадагаскар,РМ,Махаджанг
Ирландия,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Северная Ирландия
Тасмания,Австралия,Тасмания
Мауи,США,Гавайи
Бали,Ри,Индонезия
Вангерооге,Д,Нижняя Саксония
Провиденсиалы,Тука,Острова Теркс и Кайкос
Куба,C,Маты́нсы
Невис,Н,Сент-Китс и Невис
Бали,БРУ,Бруней
Доминика,ВД,Доминика
Сансибар,Есть,Мжини Магхариби
Великая Британия,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Южный Йоркшир
Остров Уайт,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Остров Уайт
Третья,П,Азоры
Великая Британия,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Большой Лондон
Хоншью,"Я не получил вашего запроса полностью. Пожалуйста, повторите ваш запрос, и я буду рад помочь вам с переводом.",Нигата
Великая Британия,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Дёрсет
