lake,country,province
Озеро Трасимено,я,Тоскана
Озеро Кебан,Транслитерация,Малатья
Озеро Гезер,Сирия,Сирия
Озеро Чилва,МOC,Ниясса
Озеро Тёркана,Eак,Восточный
Каспийское море,ИР,Гилан
Оероо Балчааш,КАЗ,Тальдыкорган
озеро Танганьика,Есть,Кигома
Озеро Тана,ЭФТ,Эфиопия
Озеро Гарда,я,Венето
Чад-озеро,ХАН,Нигерия
Калллавеси,SF,Кюопио
Озеро Эри,США,Огайо
Этошская солончак,НАМ,Намибия
Чад-озеро,ЧЧ,Чад
Арезо,ДК,Дания
Озеро Виктория,Есть,Кагера
Лоп Нор,ТЖ,Шэнььян
Озеро Эри,США,Нью-Йорк
Озеро Мид,США,Аризона
Озеро Чанка,ТЖ,Хэйлунцзян
Озеро Преспа,АЛ,Албания
Озеро Эри,США,Мичиган
Оро-Арал,КАЗ,Кыргызстан
Балатон,Х,Самогий
Мельран,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Вастманланд
Озеро Гурон,США,Мичиган
Озеро Ван,Транслитерация,Фанни
Чамдо,ТЖ,Кэцзюэй
Озеро Босумтви,Г,Гана
Ваенерн,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Вармалленд
Лох Ломонд,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Высокогорье
Озеро Супериор,США,Мичиган
Фрэнклин Д. Рузвельт,США,Вашингтон
Озеро Титовикака,Боль,Боливия
Мёртвое море,ИЛ,Южный
Озеро Мид,США,Невада
Ваеттерн,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Остергётланд
Озеро Манито,КЭН,Онтарио
Озеро Маджоре,Ч,Ти
Балатон,Х,Весьрем
Озеро Чанка,r,Прибрежная зона
озеро Танганьика,ЗРЕ,Шаба/Катанга
Барраж де Мбакау,КАМ,Адамауа
Мёртвое море,Запад,Западный берег
Озеро Ирацу,CR,Карфаген
Озеро Никарагуа,CR,Гуанакасте
Озеро Пауэлл,США,Юта
Озеро Тёркана,Eак,Рифтовая долина
Озеро Абая,ЭФТ,Эфиопия
Оулуяарви,SF,Улу
Кентукки-Лейк,США,Теннесси
Озеро Виктория,Есть,Мара
Озеро Нипигон,КЭН,Онтарио
Цюрихское озеро,Ч,Ш
Оероо Балчааш,КАЗ,Жамбыл
Озеро Кебан,Транслитерация,Тунцелли
озеро Танганьика,Есть,Мбея
Мельран,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Уппсала
Озеро Тшаны,r,Новосибирская область
озеро Танганьика,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Северный
Озеро Киога,ВЭА,Уганда
Ваенерн,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Скарабей
Озеро Чамплейн,США,Вермонт
Сальяр-де-Уюни,Боль,Боливия
Бриэнзее,Ч,БЕ
Озеро Маркица,Ва-Ва,Трюхильо
Озеро Мичиган,США,Висконсин
Вёртландстаттмер-Зе,Ч,NW
Цюрихское озеро,Ч,ГЛ
Озеро Мичиган,США,Мичиган
Озеро Форт-Пек,США,Монтана
Каспийское море,r,Республика Калмыкия
Озеро Леман,Ч,ГЕ
Озеро Тахо,США,Калифорния
Озеро Лицанкабур,Боль,Боливия
Оеро Ладога,r,Республика Карелия
Оа-Хе,США,Южная Дакота
Саяма,SF,Микели
Озеро Чикамауга,США,Теннесси
Озеро Чилва,МВ,Малави
Озеро Сакакавеа,США,Монтана
Озеро Пауэлл,США,Аризона
Чиemsее,Д,Бавария
Мельран,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Стокгольм
Кентукки-Лейк,США,Кентукки
Каспийское море,r,Республика Дагестан
Озеро Сесе-Секо/Альберт-зее,ВЭА,Уганда
Озеро Преспа,ГР,Демократическая Республика Македония
Хамун е Яз Муриан,ИР,Систан и Белуджистан
Сильян,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Даларна
озеро Танганьика,Есть,Табора
Цюрихское озеро,Ч,ВХ
Озеро Охрид,АЛ,Албания
Ваеттерн,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Йёнчёпинг
Каспийское море,TM,Балканы
Озеро Охрид,МК,Македония
Оро-Арал,Узб,Каракалы погистон
Озеро Эри,КЭН,Онтарио
Чев Бехир,Eак,Восточный
Озеро Аббе,ДЖИ,Джибути
Каспийское море,r,Астраханская область
Озеро Сесе-Секо/Альберт-зее,ЗРЕ,Верхняя Заир
Озеро Леман,Ч,Вएस
Озеро Чамплейн,США,Нью-Йорк
Нуссиодлер-Зее,А,Бургенланд
Озеро Аббе,ЭФТ,Эфиопия
Озеро Леман,Ф,Рена Альпы
Озеро Атлин,КЭН,Британская Колумбия
О Zero Байкал,r,Республика Бурятия
Озеро Малави,Есть,Рувума
Озеро Манагуа,НИК,Никарагуа
