season,daynum,wteam,wscore,lteam,lscore,wloc,numot
1996,136,1185,75,1181,60,Н,0
2010,136,1449,80,1266,78,Н,0
1994,139,1257,60,1278,55,Н,0
1992,139,1269,77,1393,71,Н,1
1990,154,1424,103,1181,73,Н,0
1997,137,1409,81,1131,52,Н,0
2001,143,1390,78,1153,65,Н,0
2007,136,1268,82,1172,70,Н,0
1987,145,1393,79,1314,75,Н,0
2005,136,1246,72,1184,64,Н,0
2000,136,1277,65,1434,38,Н,0
1996,137,1400,80,1276,76,Н,0
1991,137,1437,50,1343,48,Н,0
2000,145,1458,64,1345,60,Н,0
1992,136,1314,68,1275,63,Н,0
2008,144,1400,82,1390,62,Н,0
1994,144,1130,77,1231,68,Н,0
2007,139,1356,63,1439,48,Н,0
2003,137,1345,80,1261,56,Н,0
2006,138,1455,80,1397,73,Н,0
1991,136,1163,79,1261,62,Н,0
1989,145,1276,102,1438,65,Н,0
2003,136,1242,64,1429,61,Н,0
2001,139,1396,75,1196,54,Н,0
1999,137,1277,76,1291,53,Н,0
1989,137,1417,84,1235,74,Н,0
2010,138,1449,82,1307,64,Н,0
2014,146,1163,60,1277,54,Н,0
1997,136,1386,75,1334,65,Н,0
1992,137,1246,88,1330,69,Н,0
1997,139,1390,72,1448,66,Н,0
2008,137,1360,70,1163,69,Н,1
1995,136,1268,87,1211,63,Н,0
2010,137,1452,77,1288,50,Н,0
1990,138,1314,79,1328,77,Н,0
1993,138,1116,80,1385,74,Н,0
2007,152,1326,67,1207,60,Н,0
1988,136,1276,63,1129,58,Н,0
2012,136,1257,69,1172,62,Н,0
1986,139,1301,80,1114,66,Н,1
2004,137,1153,80,1190,77,Н,0
1989,138,1112,94,1155,68,Н,0
1990,137,1112,79,1378,67,Н,0
2008,136,1417,70,1290,29,Н,0
2006,138,1211,90,1231,80,Н,0
2001,144,1277,77,1211,62,Н,0
2003,136,1409,84,1173,71,Н,0
2000,136,1385,61,1319,56,Н,0
1993,137,1380,93,1210,78,Н,0
1987,152,1393,77,1344,63,Н,0
2013,136,1139,68,1137,56,Н,0
2008,139,1257,78,1328,48,Н,0
2000,143,1458,61,1261,48,Н,0
2007,137,1305,77,1166,71,Н,1
1991,139,1428,85,1277,84,Н,1
2012,136,1433,62,1455,59,Н,0
1988,154,1242,83,1328,79,Н,0
1993,138,1314,112,1348,67,Н,0
1990,146,1424,131,1258,101,Н,0
2009,143,1163,72,1345,60,Н,0
2013,138,1257,82,1161,56,Н,0
2009,144,1277,67,1242,62,Н,0
1996,137,1153,66,1422,61,Н,0
2013,135,1241,68,1254,55,Н,0
2003,138,1458,61,1409,60,Н,0
1986,136,1330,72,1452,64,Н,0
2010,138,1246,90,1448,60,Н,0
