season,seed,team
2003,X09,1345
2000,W02,1396
1989,Z15,1380
1987,X01,1207
2002,Z07,1462
1992,Z09,1163
1990,Y03,1281
2009,Z06,1266
2000,Z12,1232
1987,X10,1140
1999,X13,1328
2009,X03,1393
1989,Z04,1199
1997,X04,1112
2006,W06,1452
1995,X16,1198
2007,X09,1462
1985,X14,1305
2009,W10,1278
2000,X10,1424
1999,X15,1117
1997,Y06,1235
2014,W08,1272
2008,Y12,1396
2001,X01,1390
1992,X14,1285
1997,Y16,1402
2002,X11,1130
2010,Y08,1424
1995,X14,1211
1989,X04,1424
1994,Z03,1257
2010,W01,1246
2010,Z02,1243
2001,X05,1153
2006,Y02,1326
1987,Y11,1455
2007,Y03,1332
2005,Z03,1242
2001,X13,1245
1987,Y06,1385
2007,Y01,1196
2005,Z06,1458
2014,W16,1157
1999,Z12,1412
1996,Z16,1441
2000,W08,1242
2008,X06,1425
1986,Y16,1172
1988,W06,1281
2013,W13,1285
2009,W15,1127
1986,W03,1231
1989,Y04,1257
1995,W14,1330
1994,Z10,1307
1992,X10,1140
1993,X16,1460
1991,Y11,1163
1988,Y08,1120
1990,X02,1345
1992,X16,1352
1985,X10,1112
1999,Y14,1359
1998,Z14,1172
1990,Z06,1308
1985,X12,1246
1995,X06,1332
1985,Y10,1277
1998,W07,1231
1989,W08,1435
2007,Z12,1228
2001,X09,1386
1998,W08,1150
