season,slot,strongseed,weakseed
2014,R5WX,R4W1,R4X1
2013,R2X1,R1X1,R1X8
1995,R1X6,X06,X11
1989,R3W2,R2W2,R2W3
2014,R2Y4,R1Y4,R1Y5
2005,R1Z6,Z06,Z11
2012,R4Y1,R3Y1,R3Y2
2002,R2Z1,R1Z1,R1Z8
2004,R1Z7,Z07,Z10
1999,R1W2,W02,W15
2013,R3Z2,R2Z2,R2Z3
2004,Z16,Z16a,Z16b
2000,R2X1,R1X1,R1X8
1998,R3W1,R2W1,R2W4
2004,R2Z4,R1Z4,R1Z5
1988,R1W2,W02,W15
2006,R2W1,R1W1,R1W8
2014,R1Y8,Y08,Y09
2014,R2Y2,R1Y2,R1Y7
2006,R1W5,W05,W12
1996,R2X4,R1X4,R1X5
2001,R4Z1,R3Z1,R3Z2
2010,R3W1,R2W1,R2W4
2008,R1X3,X03,X14
2013,R2Z1,R1Z1,R1Z8
1988,R3Y2,R2Y2,R2Y3
2005,R1Y2,Y02,Y15
1989,R4W1,R3W1,R3W2
1994,R1X7,X07,X10
1997,R1X1,X01,X16
2006,R3W2,R2W2,R2W3
1987,R1W3,W03,W14
1992,R1X3,X03,X14
2000,R3Z1,R2Z1,R2Z4
2009,R5WX,R4W1,R4X1
2006,R1Z1,Z01,Z16
1995,R1Z2,Z02,Z15
1987,R1Z3,Z03,Z14
2009,R5YZ,R4Y1,R4Z1
2005,R1X6,X06,X11
1993,R1Z1,Z01,Z16
1989,R1Z6,Z06,Z11
1996,R1W2,W02,W15
2013,R1Y1,Y01,Y16
2010,R5YZ,R4Y1,R4Z1
1988,R1Z7,Z07,Z10
2000,R1Z1,Z01,Z16
2006,R2Y1,R1Y1,R1Y8
2009,R2Z4,R1Z4,R1Z5
2012,R2Z1,R1Z1,R1Z8
2011,R3X1,R2X1,R2X4
2005,R1Y3,Y03,Y14
2010,R1Y6,Y06,Y11
2013,R2Y2,R1Y2,R1Y7
2001,R1Y5,Y05,Y12
2001,Y16,Y16a,Y16b
1988,R5WX,R4W1,R4X1
2006,R1W8,W08,W09
1991,R1W1,W01,W16
1998,R2Z2,R1Z2,R1Z7
2005,R2X4,R1X4,R1X5
1991,R1X2,X02,X15
1989,R2X1,R1X1,R1X8
1998,R1X7,X07,X10
2010,R1X1,X01,X16
1998,R1Y5,Y05,Y12
2008,R1Z6,Z06,Z11
2007,R2Y2,R1Y2,R1Y7
2001,R2Y4,R1Y4,R1Y5
1994,R1W7,W07,W10
1992,R1Y6,Y06,Y11
1991,R1Y5,Y05,Y12
1986,R4W1,R3W1,R3W2
1993,R1Z6,Z06,Z11
1994,R1W6,W06,W11
1988,R3W1,R2W1,R2W4
1992,R4X1,R3X1,R3X2
2012,R3X2,R2X2,R2X3
1996,R1Z5,Z05,Z12
1987,R1Z6,Z06,Z11
2000,R3X2,R2X2,R2X3
2011,R5YZ,R4Y1,R4Z1
1998,R1Z1,Z01,Z16
2008,R2W3,R1W3,R1W6
2006,R1Y7,Y07,Y10
1996,R3Z2,R2Z2,R2Z3
2009,R1Z2,Z02,Z15
1985,R1Z8,Z08,Z09
1990,R2Y1,R1Y1,R1Y8
1992,R3W2,R2W2,R2W3
1992,R1Y5,Y05,Y12
2007,R1Y1,Y01,Y16
1993,R2Z1,R1Z1,R1Z8
2009,R1Y5,Y05,Y12
2002,R2Y2,R1Y2,R1Y7
2003,R2Z3,R1Z3,R1Z6
1992,R1Y1,Y01,Y16
1988,R1W7,W07,W10
2010,R1Z8,Z08,Z09
2001,R2W3,R1W3,R1W6
2001,R4W1,R3W1,R3W2
2009,R1W5,W05,W12
1999,R3Y2,R2Y2,R2Y3
1989,R1Z2,Z02,Z15
1992,R2Z4,R1Z4,R1Z5
1986,R4Y1,R3Y1,R3Y2
2007,R1W3,W03,W14
1985,R1W2,W02,W15
1987,R1Z4,Z04,Z13
1987,R3X2,R2X2,R2X3
1992,R5WX,R4W1,R4X1
1988,R2X3,R1X3,R1X6
1996,R1X4,X04,X13
1997,R1Y4,Y04,Y13
2005,R1W2,W02,W15
1985,R1W4,W04,W13
1989,R1X1,X01,X16
1998,R1Y2,Y02,Y15
