season,daynum,wteam,wscore,lteam,lscore,wloc,numot
1995,138,1246,82,1408,60,N,0
2011,139,1242,73,1228,59,N,0
1990,137,1181,81,1350,46,N,0
2005,136,1452,63,1166,61,N,0
1986,136,1396,61,1239,50,N,1
2000,137,1371,72,1332,71,N,1
1994,143,1345,83,1242,78,N,0
2014,136,1277,93,1174,78,N,0
1988,138,1348,97,1393,94,N,0
2005,139,1329,85,1356,77,N,0
2005,137,1436,60,1393,57,N,1
1987,136,1104,88,1299,71,N,0
2000,136,1400,77,1232,61,N,0
2001,138,1181,94,1281,81,N,0
2007,136,1139,57,1330,46,N,0
1990,136,1155,49,1140,47,N,0
1993,136,1443,55,1272,52,N,0
1998,137,1444,75,1155,72,N,0
1994,138,1393,64,1453,59,N,0
2010,136,1246,100,1190,71,N,0
2007,144,1332,76,1424,72,N,0
1988,138,1257,97,1140,76,N,0
2002,134,1373,81,1108,77,N,0
1987,137,1393,79,1204,73,N,0
1985,139,1130,74,1181,73,N,0
2009,136,1400,76,1278,62,N,0
1987,138,1424,80,1243,61,N,0
2007,139,1242,88,1246,76,N,0
1993,138,1443,72,1371,68,N,0
1986,144,1298,71,1156,70,N,0
2011,136,1361,68,1294,50,N,0
2009,137,1458,61,1199,59,N,1
1985,138,1256,79,1326,67,N,0
1990,136,1210,99,1190,83,N,0
1989,137,1234,87,1353,73,N,0
1994,137,1116,94,1299,79,N,0
2000,137,1153,64,1423,47,N,0
2014,138,1277,80,1217,73,N,0
1987,146,1231,77,1261,76,N,0
2007,136,1231,70,1211,57,N,0
1999,152,1181,68,1277,62,N,0
2003,145,1266,83,1246,69,N,0
1997,152,1112,66,1314,58,N,0
2010,134,1115,61,1457,44,N,0
2007,137,1242,107,1310,67,N,0
1993,136,1371,81,1398,59,N,0
1989,136,1181,90,1354,69,N,0
2007,137,1425,77,1116,60,N,0
2004,146,1210,79,1242,71,N,1
1990,154,1424,103,1181,73,N,0
1987,136,1120,62,1360,61,N,0
2000,139,1314,60,1390,53,N,0
2010,139,1181,68,1143,53,N,0
2000,146,1314,59,1409,55,N,0
2008,139,1172,74,1207,70,N,0
1997,137,1428,75,1298,61,N,0
2002,136,1242,70,1221,59,N,0
1991,137,1185,76,1280,56,N,0
1986,136,1330,72,1452,64,N,0
1998,136,1229,82,1397,81,N,1
2004,143,1329,63,1338,51,N,0
1987,136,1344,90,1412,68,N,0
2009,139,1277,74,1425,69,N,0
2006,136,1285,87,1305,79,N,0
2010,144,1124,72,1388,49,N,0
2010,152,1181,78,1452,57,N,0
2006,137,1163,72,1107,59,N,0
