season,seed,team
1993,W12,1403
2010,Z01,1393
1991,X13,1293
1993,Y01,1246
2001,X01,1390
2013,Y12,1332
2004,Z12,1334
1989,Z11,1375
1999,X01,1277
2007,W13,1308
1994,Y12,1409
2011,Z13,1287
1986,Y14,1123
2014,X08,1160
1996,Y13,1343
2008,Z13,1360
1992,X06,1207
1993,Z15,1365
2002,W02,1163
1987,X14,1122
1987,Y11,1455
1996,Y06,1231
1993,Z13,1380
2004,Z01,1246
1995,Y05,1112
2005,Y14,1310
1998,Y15,1174
2000,W08,1242
2002,X04,1228
1994,W10,1203
1985,Y10,1277
2003,W06,1329
2003,Y11,1356
2007,Z12,1228
2010,W04,1458
2008,W12,1206
2007,X16,1148
1991,Y10,1190
2012,X15,1178
1994,Y08,1228
1991,Y15,1419
2009,Z14,1165
2010,Z12,1431
2012,W12,1217
1995,W03,1437
2001,W09,1281
2014,Y09,1243
2005,X04,1130
1991,Z11,1166
2006,W01,1181
2012,X16a,1249
1988,W03,1393
1985,W13,1233
2003,Z01,1112
1999,W14,1206
2009,X04,1211
1989,X12,1177
1999,Z16,1427
2010,W10,1281
1986,X16,1299
2006,Z06,1277
2000,Y15,1148
1989,X07,1431
1996,W09,1390
2010,Z06,1462
1991,W03,1329
1985,Y14,1337
2010,Y14,1325
1995,Y03,1345
2011,Z11a,1425
1994,X08,1344
2004,Z04,1242
2011,Y01,1338
1994,X15,1411
2007,W15,1125
1992,X14,1285
1992,W06,1393
1995,Y11,1257
2009,Z03,1281
2006,Y15,1172
2002,W16a,1108
1992,Y11,1337
2002,X15,1285
2000,X15,1423
1999,W05,1458
1995,W14,1330
1985,X04,1424
1986,Y07,1439
1989,Z01,1328
2005,W07,1452
1998,X10,1452
2008,W15,1110
1993,Z08,1235
2002,W05,1266
1998,W13,1185
1998,Y08,1348
1993,Y04,1234
2005,Y12,1330
2007,Z13,1221
2000,Y10,1166
2003,Z03,1181
2006,W06,1452
1992,W13,1247
1995,Z01,1246
2009,Z09,1401
1998,W12,1424
2011,Y06,1385
1992,W07,1150
1995,Z04,1328
1998,X15,1319
1989,Z08,1247
2010,W06,1266
1996,X16,1363
2014,X15,1184
1995,W07,1150
1997,Z09,1438
1986,Y01,1246
2005,X07,1356
1995,X12,1365
2006,W11,1356
1993,Y10,1272
1987,X07,1309
1987,X06,1344
1998,X07,1396
1997,W09,1160
2004,Y13,1433
2000,Y11,1123
2008,Y08,1280
2002,W10,1277
2004,X09,1356
2002,W14,1293
2007,X09,1462
2011,Y16a,1114
2011,Y09,1330
2011,Z03,1345
1994,W01,1314
1992,Z02,1329
1996,W13,1284
2011,X04,1400
1988,W08,1207
2003,X13,1360
1993,W02,1153
1992,W05,1281
2009,Y12,1112
1995,Y13,1311
2014,Y08,1246
1995,W15,1389
1998,Z03,1276
2006,Y08,1112
2011,X10,1336
2001,Y14,1233
2006,X15,1125
1997,W11,1269
1997,X15,1293
1994,Z10,1307
1991,Z08,1207
1997,X06,1228
2012,Z16,1254
1995,Z16,1291
2005,Z16a,1105
1986,W01,1181
2006,X16,1331
1987,Y08,1120
2006,Z08,1246
2013,X16,1443
2009,Z02,1272
2007,X07,1305
2013,Z07,1323
2008,W13,1457
2011,W12a,1155
1995,W10,1390
2007,Z16b,1310
1990,Z15,1378
2007,Y05,1139
2004,Z13,1227
2007,X01,1326
2005,Z14,1137
1985,W09,1439
2001,X04,1231
1989,Y08,1338
2001,X05,1153
2006,Y06,1328
1989,Y07,1196
1998,Z10,1387
2012,W06,1153
2011,X01,1181
1997,Z07,1150
1999,W13,1174
1993,X02,1242
2007,X12,1253
1986,Y05,1104
1987,W16,1335
2013,Y03,1277
1988,X05,1177
2000,Z02,1385
1987,X13,1283
2007,Y10,1210
2013,Y16b,1299
2007,X14,1335
2014,X13,1409
2002,Y14,1148
1996,Y01,1163
2009,W11,1433
1992,Z12,1390
2009,X01,1314
1992,X11,1378
1989,Z14,1462
1987,X11,1412
2014,Y06,1269
2007,Z08,1246
1999,Y02,1268
2008,X04,1435
1986,Y06,1345
1988,W02,1181
1999,Y10,1166
2000,Z13,1369
2011,Y07,1417
1986,W13,1318
1990,X06,1462
1989,X16,1352
2008,X13,1373
2011,Z07,1401
2014,W01,1438
1998,Z13,1139
1991,Y09,1177
2002,X16,1221
1990,Y06,1278
1998,Z02,1246
1994,W06,1304
1992,W10,1235
1996,W05,1336
2014,Y10,1113
2001,Y13,1169
2006,W16,1380
2000,Z09,1201
1996,Y03,1210
2000,X07,1409
1999,X11,1191
2007,Z06,1181
1986,Z06,1412
1992,Z03,1112
2011,W09,1437
2006,X04,1242
1991,X10,1425
1990,W04,1247
1987,Z10,1112
2003,Z05,1323
2001,Z01,1277
2002,W08,1458
2002,X08,1390
1997,Y06,1235
