orderid,productid,unitprice,quantity,discount
10882,42,14.0,25,0.0
10944,44,19.45,18,0.0
10430,21,8.0,50,0.0
11018,56,38.0,5,0.0
10382,5,17.0,32,0.0
10922,24,4.5,35,0.0
10476,55,19.2,2,0.0
10866,24,4.5,6,0.0
10309,43,36.8,20,0.0
10440,61,22.8,90,0.0
11002,35,18.0,15,0.0
10337,72,27.8,25,0.0
10976,28,45.6,20,0.0
10948,50,16.25,9,0.0
10652,30,25.89,2,0.0
10367,65,16.8,15,0.0
11077,20,81.0,1,0.0
10638,45,9.5,20,0.0
10328,65,16.8,40,0.0
10250,51,42.4,35,0.0
10818,32,32.0,20,0.0
10944,11,21.0,5,0.0
10443,11,16.8,6,0.0
10558,53,32.8,18,0.0
11002,42,14.0,24,0.0
10716,21,10.0,5,0.0
10624,44,19.45,10,0.0
10554,16,17.45,30,0.0
10645,18,62.5,20,0.0
10372,20,64.8,12,0.0
10847,37,26.0,60,0.0
10293,18,50.0,12,0.0
10356,69,28.8,20,0.0
10284,60,27.2,20,0.0
10316,62,39.4,70,0.0
11031,24,4.5,21,0.0
10928,76,18.0,5,0.0
11025,1,18.0,10,0.0
10490,68,10.0,30,0.0
10431,17,31.2,50,0.0
11074,16,17.45,14,0.0
10605,71,21.5,15,0.0
10820,56,38.0,30,0.0
11006,29,123.79,2,0.0
10399,68,10.0,60,0.0
10332,47,7.6,16,0.0
10752,1,18.0,8,0.0
11064,53,32.8,25,0.0
11030,5,21.35,70,0.0
10893,30,25.89,35,0.0
10420,13,4.8,2,0.0
10621,70,15.0,20,0.0
10464,60,27.2,20,0.0
10301,56,30.4,20,0.0
10796,64,33.25,35,0.0
10641,40,18.4,60,0.0
10375,54,5.9,10,0.0
10372,38,210.8,40,0.0
10553,31,12.5,30,0.0
10940,13,6.0,20,0.0
10895,40,18.4,91,0.0
10850,25,14.0,20,0.0
10668,31,12.5,8,0.0
10565,24,4.5,25,0.0
10615,55,24.0,5,0.0
10413,62,39.4,40,0.0
10523,41,9.65,6,0.0
10722,68,12.5,45,0.0
10389,10,24.8,16,0.0
10462,13,4.8,1,0.0
10455,39,14.4,20,0.0
10554,62,49.3,20,0.0
10654,54,7.45,6,0.0
10926,72,34.8,10,0.0
10251,65,16.8,20,0.0
10635,5,21.35,15,0.0
10710,19,9.2,5,0.0
10537,51,53.0,6,0.0
10515,33,2.5,16,0.0
10562,33,2.5,20,0.0
10542,11,21.0,15,0.0
10541,71,21.5,9,0.0
10727,59,55.0,10,0.0
10819,75,7.75,20,0.0
10958,5,21.35,20,0.0
10986,11,21.0,30,0.0
11068,43,46.0,36,0.0
10659,40,18.4,24,0.0
10300,68,10.0,20,0.0
10343,76,14.4,15,0.0
10306,53,26.2,10,0.0
10262,7,24.0,15,0.0
10709,51,53.0,28,0.0
10925,36,19.0,25,0.0
11072,64,33.25,130,0.0
10933,53,32.8,2,0.0
10481,49,16.0,24,0.0
11066,34,14.0,35,0.0
10508,13,6.0,10,0.0
10832,64,33.25,3,0.0
10383,56,30.4,20,0.0
10387,28,36.4,6,0.0
10955,75,7.75,12,0.0
10757,34,14.0,30,0.0
10420,73,12.0,20,0.0
10451,55,19.2,120,0.0
10368,28,36.4,13,0.0
10694,7,30.0,90,0.0
10387,59,44.0,12,0.0
10566,18,62.5,18,0.0
10541,65,21.05,36,0.0
11019,49,20.0,2,0.0
10360,54,5.9,28,0.0
11000,24,4.5,30,0.0
10888,68,12.5,18,0.0
