supplierid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax,homepage
1,Экзотические жидкости,Шарлотта Купер,Менеджер по закупкам,"Гилберт-стрит, 49",Лондон,,ЭК-1 4СД,Великобритания,(171) 555-2222,,
2,Нью-Орлеанский каджунский кулинарный шедевр,Шелли Бёрк,Администратор заказа,Почтовые ящики 78934,Новый Орлеан,Лос-Анджелес,70117,США,(100) 555-4822,,#КАЖУН.ХТМ#
3,Домашний уголок бабушки Келли,Регина Мёрфи,Продавец,707 Оксфорд-роуд.,Анн-Арбор,МИ,48104,США,(313) 555-5735,(313) 555-3349,
4,Токийские трейдеры,Йоси Нагаси,Менеджер по маркетингу,"9-8 Секимай
Мусаси-но-си",Токио,,100,Япония,(03) 3555-5011,,
5,"Кооператив сыров ""Лас Кабрас""",Антонио дель Валле Сааведра,Администратор экспорта,"улица Калле-дель-Росал, 4",Овьедо,Астурия,33007,Испания,(98) 598-76-54,,
6,Майуми,Майуми Оно,Маркетинг-представитель,"92 Сецуко
Чио-ку",Осака,,545,Япония,(06) 431-7877,,Майуми
7,"Павлова, ООО",Иан Девлинг,Менеджер по маркетингу,"74 ул. Розы
Мунни Пондс",Мельбурн,Виктория,3058,Австралия,(03) 444-2343,(03) 444-6588,
8,"Специализированные бисквиты, ограниченная компания",Питер Уилсон,Продавец,29 Кинг-вей,Манчестер,,М14 ГСД,Великобритания,(161) 555-4448,,
9,ПБ Конекберд АБ,Ларс Петерсон,Продавец,"Калоадагатан, 13",Гётеборг,,С-345/67,Швеция,031-987 65 43,031-987 65 91,
10,Refrescos Americanas ЛТД,Карлос Диас,Менеджер по маркетингу,"Аvenue Америки, 12890",Сан-Паулу,,5442,Бразилия,(11) 555-4640,,
11,Хели Сварен ГмбХ & Ко. КГ,Пetra Вайнерц,Руководитель отдела продаж,Тиргартенстрасе 5,Берлин,,10785,Германия,(010) 99-84-51-00,,
12,Plutzер Продуктовые Громады ООО,Мартин Бейн,Международный менеджер по маркетингу,"Богеналлее, 51",Франкфурт,,60439,Германия,(069) 99-27-55,,Пользователь (в Интернете)
13,Северо-Восточная Рыболовецкая Торговая Компания,Свен Petersen,Координатор иностранных рынков,Фрахмереддер 112а,Куксхафен,,27478,Германия,(047-21) 87-13,(047-21) 87-14,
14,С. р. л. «Формагги Фортини»,Элио Росси,Продавец,"Виале Данте, 75",Равенна,,48100,Италия,(0544) 603-23,(0544) 6-06-03,#Формаггии.एचТМ#
15,Норвежские мейереи,Беат Вилеид,Менеджер по маркетингу,Гатлевеген 5,Сандвика,,1320,Норвегия,(0)2-953010,,
16,Бигфут Брейкери,Чэрл Сэйлор,Региональный представитель счета,"Аvenue 3400 - 8-й
Квартира 210",Кручина,А-р,97101,США,(503) 555-9931,,
17,Swedish Seafood Exporters Association,Майкл Бьорн,Продавец,Броваллавген 231,Стокгольм,,С-123/45,Швеция,08-123 45 67,,
18,С радостными церковными песнопениями,Гайлин Нодиер,Руководитель отдела продаж,"ул. Французов, 203",Париж,,75004,Франция,(1) 03.83.00.68,(1) 03.83.00.62,
19,Фабрика консервированных морепродуктов Новой Англии,Робб Мерчант,Оптовый агент по счетам,"Отдел обработки заказов
2100 بول Ревир Блюв.",Бостон,МА,02134,США,(617) 555-3267,(617) 555-3389,
20,Лека Трейдинг,Чандра Лека,Владелец,"471 Серагоун Лоп, апартамент №402",Сингапур,,0512,Сингапур,555-8787,,
21,Лингби-Сильд,Нильс Петерсен,Руководитель отдела продаж,"Лингбисилд
Фишебаккен 10",Лингеби,,2800,Дания,43844108,43844115,
22,Заанс-Сноепфабрика,Дирк Люхте,Руководитель бухгалтерского отдела,"Продажа
Ринвег 22",Заандам,,9999 ЗЗ,Нидерланды,(12345) 12-12,(12345) 1210,
23,Каркки ОY,Анна Хеикконен,Продукт-менеджер,"улица Valtakatu, дом 12",Лаппеенранта,,53120,Финляндия,(953) 10956,,
24,"Добрый день, друг!",Венди Маккензи,Продавец,Пресвитерианская церковь,Сидней,Нюу-Сью-Уэйз,2042,Австралия,(02) 555-5914,(02) 555-4873,"Здравствуй, друг (в Интернете)"
25,Моя домика,Жан-Гийом Лажон,Менеджер по маркетингу,Улица Сент-Лоран 2960,Монреаль,Кبک,Х1Дж 1С3,Канада,(514) 555-9022,,
26,Паста Баттини С.р.л.,Джованни Джудичи,Администратор заказа,"Виа де джелсомони, 153",Салерно,,84100,Италия,(089) 654-7665,(089) 654-7667,
27,Устрицы Новые,Мари Деламар,Руководитель отдела продаж,"22, улица Х. Вьёрон",Монто́,,71300,Франция,85.57.00.07,,
28,Привет,Елиана Ноз,Продавец,"Бат. В
ул. Альп 3",Анси,,74000,Франция,38.76.98.06,38.76.98.58,
29,Форты драблы,Чантал Гувел,Руководитель бухгалтерского отдела,148 улица Охотника,Сте-Хякинта,Кبک,"I'm sorry, but I don't understand your request. Could you please clarify or provide additional context?",Канада,(514) 555-2955,(514) 555-2921,
