territoryid,territorydescription,regionid
2184,Брентвуд,1
20852,Роксвилл,1
98104,Сиэтл,2
90405,Сан-Диего,2
45839,Финлей,3
48075,Южный Филд,3
19428,Филадельфия,3
80202,Денвер,2
31406,Саванна,4
30346,Атланта,4
3801,Портсмут,3
10038,Нью-Йорк,1
95060,Сан-Круц,2
32859,Орландо,4
98004,Белвью,2
48084,Троя,3
85251,Скоуд-Сити,2
8837,Эдисон,1
3049,Холлис,3
72716,Бентонвилл,4
55113,Росвилл,3
78759,Остин,4
85014,Финикс,2
27511,Кери,1
44122,Бичвуд,3
11747,Мелвилл,1
19713,Ньюард,1
2903,Провиденс,1
2139,Кембридж,1
7960,Моуристаун,1
80909,Колорадо-Спрингс,2
98052,Редмонд,2
95054,Сан-Клара,2
53404,Ракин,3
94025,Менло-Парк,2
33607,Тампа,4
40222,Луисвилл,1
14450,Фэйрпорт,1
27403,Гринсборо,1
60179,Хоффман-Эстетс,2
6897,Вилтон,1
10019,Нью-Йорк,1
48304,Блумфилд-Хиллз,3
29202,Колумбия,4
75234,Даллас,4
2116,Бостон,1
95008,Кэмпбелл,2
60601,Чикаго,2
55439,Миниаполис,3
1833,Джорджтаун,1
1581,Западный Брово,1
94105,Сан-Франциско,2
1730,Бедфорд,1
