playerid,year,stint,tmid,lgid,pos,gp,g,a,pts,pim,+/-,ppg,ppa,shg,sha,gwg,gtg,sog,postgp,postg,posta,postpts,postpim,post+/-,postppg,postppa,postshg,postsha,postgwg,postsog
mohnsdo01,1970,1,CHI,NHL,Да,39.0,4.0,6.0,10.0,16.0,5,0,,1,,1,0,31,,,,,,,,,,,,
flescjo01,1979,1,COR,NHL,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",5.0,0.0,1.0,1.0,4.0,-1,0,,0,,0,0,3,,,,,,,,,,,,
mulvegl01,1992,1,PHI,NHL,С,1.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
krajilu01,2006,1,VAN,NHL,Да,78.0,3.0,13.0,16.0,64.0,-4,1,4,0,0,2,,105,12,0,2,2,12,-2,0,1,0,0,0,11
tayloha01,1946,1,TOR,NHL,С,9.0,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,
hagmani01,2011,1,CAL,NHL,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",8.0,1.0,3.0,4.0,2.0,3,1,0,0,0,1,,14,,,,,,,,,,,,
skraska01,2006,1,COL,NHL,Да,68.0,0.0,11.0,11.0,30.0,0,0,0,0,0,0,,65,,,,,,,,,,,,
harrism01,1919,1,VML,PCHA,С,22.0,14.0,10.0,24.0,12.0,,,,,,,,,2,0,1,1,0,,,,,,,
oreilte01,1982,1,BOS,NHL,Р,19.0,6.0,14.0,20.0,40.0,16,0,,1,,1,0,23,,,,,,,,,,,,
hrudeke01,1986,1,NYI,NHL,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",46.0,0.0,1.0,1.0,37.0,0,0,,0,,0,0,0,14,0,0,0,0,0,0,,0,,0,0
