year,hofid,name,category
1965,farrear01h,Арт Фаррелл,Игрок
1991,bossymi01h,Майк Боси,Игрок
1986,keonda01h,Дэйв Кеон,Игрок
1963,goodfeb01h,Эбби Гудфеллоу,Игрок
1999,morriia01h,Скоти Моррисон,Строитель
2003,lafonpa01h,Пэт Лафонтайн,Игрок
1959,thompti01h,Тини Томпсон,Игрок
1987,clarkbo01h,Бобби Кларк,Игрок
1965,howesy01h,Сид Хоу,Игрок
2002,neilsro01h,Роджер Нилсон,Строитель
1985,ratelje01h,Жан Рателье,Игрок
1962,huttobo01h,Боус Хэттон,Игрок
1969,hextabr01h,Брайан Хекстолл,Игрок
1991,smithcl01h,Клинт Смит,Игрок
1962,darraja01h,Джек Даррагор,Игрок
1984,esposph01h,Фил Эспосито,Игрок
2006,hotchha01h,Гарлей Хортон,Строитель
2010,ciccadi01h,Дино Циццелли,Игрок
1962,brownwa02h,Вальтер Браун,Строитель
1987,laperja01h,Жак Лаперьер,Игрок
1947,roberjo02h,Джон Робертсон,Строитель
1973,smithto01h,Томми Смит,Игрок
1963,mclaufr01h,Фредерик Маклейн,Строитель
1961,conacch01h,Чарли Коначер,Игрок
1947,caldefr01h,Франк Кедлер,Строитель
1945,allanmo01h,Монтуг Аллан,Строитель
1969,kellyre01h,Красный Келли,Игрок
2001,kurrija01h,Яри Куру,Игрок
1961,lesuepe01h,Перс ЛиСюр,Игрок
1977,hortoti01h,Тим Хортон,Игрок
1975,drillgo01h,Горди Дрилон,Игрок
2002,federbe01h,Бернар Федерко,Игрок
1947,taylocy01h,Циклон Тейлор,Игрок
1965,scanlfr01h,Фред Сканлон,Игрок
1960,manthsy01h,Сильвио Манта,Игрок
1967,storere01h,Красный 스토ри,Судья/Боковой судья
1947,patrile01h,Лестер Патрик,Игрок
1958,keatsdu01h,Дуб Кейпс,Игрок
1974,vossca01h,Карл Восс,Строитель
1962,hoopeto01h,Том Хупер,Игрок
1961,stuarbr02h,Брюс Стюарт,Игрок
2011,gilmodo01h,Дугг Джирдлм,Игрок
1997,sathegl01h,Глен Сэтер,Строитель
2011,belfoed01h,Эд Белфор,Игрок
1981,bucykjo01h,Джон Букик,Игрок
2004,bourqra01h,Реймонд Борк,Игрок
1988,esposto01h,Тони Эспозито,Игрок
1962,greensh01h,Шорти Грин,Игрок
1974,tarasan01h,Анатолий Тарасов,Строитель
1991,potvide01h,Денис Потвин,Игрок
1945,gerared01h,ЭддиGerard,Игрок
2004,murphla01h,Ларри Мур,Игрок
1963,primejo01h,Джо Примо,Игрок
1978,plantja01h,Жак Плант,Игрок
1973,harvedo01h,Дугг Харви,Игрок
2007,messima01h,Марк Мессье,Игрок
1974,burchbi01h,Билли Burch,Игрок
1976,wirtzwi01h,Уильям Виртс,Строитель
1945,stuarho01h,Хад Стуарт,Игрок
1973,molsoha01h,Харленд Молсон,Строитель
1961,schmimi01h,Мильт Шмидт,Игрок
1945,phillto01h,Томи Филиппс,Игрок
1976,rossph01h,Филип Росс,Строитель
1962,humefr01h,Фред Хумэ,Строитель
1966,campbcl01h,Клэрнс Кэмпбелл,Строитель
1993,pagefr01h,Фред Пейдж,Строитель
1993,lapraed01h,Эдгар Лапрад,Игрок
1949,bainda01h,Дэн Бэйн,Игрок
1962,crawfru01h,Русти Кроффорд,Игрок
1993,damicjo01h,Джон Д'Амико,Судья/Боковой судья
1988,laflegu01h,Гийом Лафлёр,Игрок
1992,dumarwo01h,Вуди Думарт,Игрок
1962,westwha01h,Гарри Уэствик,Игрок
1990,flamafe01h,Ферн Фляман,Игрок
1976,bowerjo01h,Джонни Боур,Игрок
1998,goulemi01h,Мишель Гуле,Игрок
2001,patricr01h,Крейг Патрик,Строитель
1971,weilaco01h,Кунни Вейланд,Игрок
1974,haych01h,Чарльз Хей,Строитель
1971,sawchte01h,Тери Совчук,Игрок
1985,cheevge01h,Гери Чеверс,Игрок
2008,scapira01h,Рэй Скапинелло,Судья/Боковой судья
1974,ivanto01h,Томми Иван,Строитель
1989,bauerda01h,Дэвид Бауэр,Строитель
1985,mariujo01h,Джон Мариуччи,Строитель
1995,sabetgu01h,Гюнтер Сабецки,Строитель
1972,smithho01h,Хулли Смит,Игрок
1958,moranpa01h,Пэдди Морен,Игрок
1973,udvarfr01h,Франк Удовари,Судья/Боковой судья
1978,pronoma01h,Марсель Проновост,Игрок
2001,hawerda01h,Дэйл Хаверчук,Игрок
2010,jamesan01h,Ангела Джеймс,Игрок
2004,coffepa01h,Пол Коффи,Игрок
