playerid,year,ppa,sha
jonssto01,1988,24,
vaiveri01,1988,15,
gartnmi01,1989,14,1
pavesji01,1987,1,
cullejo01,1990,29,
sanipev01,1989,2,
deblolu01,1990,,1
iafraal01,1990,11,1
laughcr01,1987,3,
tantito01,1990,5,
norwole01,1990,3,
skrikpe01,1990,5,
macivno01,1988,19,
ciccadi01,1988,10,1
bennibr01,1989,5,
gingrga01,1987,9,
tuckejo01,1990,1,
maroima01,1988,3,
halwado01,1988,1,
foligmi01,1990,1,
sandsto01,1989,20,
hullbr01,1987,10,
poulida02,1989,1,1
krushmi01,1990,3,
mckegto01,1989,3,
proppbr01,1989,9,
wilsoca01,1988,19,
mcintjo01,1990,,2
donnemi01,1987,2,
carsoji01,1989,5,
playfla01,1988,,1
mckegto01,1990,7,
larsore01,1988,14,
ysebapa01,1990,4,1
carsoli01,1987,1,1
ramagro01,1987,19,2
coxecr01,1987,1,
kennede01,1988,,2
quinnda01,1990,18,
duguaro01,1987,2,
macdepa01,1989,2,
murphla01,1988,22,
rousebo01,1988,,1
makelmi01,1989,1,
brownro01,1990,10,
archida01,1989,4,
gartnmi01,1988,9,
tantito01,1989,9,
kurveto01,1990,15,
ruffli01,1988,1,
klimape01,1989,11,
quinnda01,1989,15,1
brownje02,1989,24,
hardyma01,1988,5,
manthmo01,1988,9,
malondo01,1988,2,
bradlbr01,1990,10,
ferrara01,1990,5,
robergo01,1987,3,
pederma01,1990,7,
cunnera01,1989,4,
thibagi01,1989,2,
loisecl01,1990,1,1
lemiejo01,1989,1,1
zezelpe01,1988,17,
libaig01,1988,6,
frasecu01,1987,2,
ramagro01,1987,19,2
tuckejo01,1990,1,
quinnda01,1990,18,
kennede01,1988,,2
quinnda01,1989,15,1
franclo01,1990,1,1
proppbr01,1989,9,
hardyma01,1988,5,
hunteda01,1987,1,4
lawtobr01,1989,1,
huntema01,1990,4,
dineego01,1988,2,
larsore01,1988,14,
makelmi01,1989,1,
bennibr01,1989,5,
adamsgr01,1988,1,
sanipev01,1989,2,
malondo01,1988,2,
krushmi01,1990,3,
hullbr01,1987,10,
nylunga01,1988,1,
gingrga01,1987,9,
mckegto01,1989,3,
lawtobr01,1988,4,
donnemi01,1987,2,
erickbr01,1987,6,
huberwi01,1987,14,
sheehne01,1987,1,
frasecu01,1987,2,
kennede01,1988,,2
crossdo01,1990,21,
grahadi01,1987,7,1
lawtobr01,1989,1,
macdepa01,1989,2,
thibagi01,1989,2,
frasecu01,1987,2,
cyrpa01,1987,1,
bassebo01,1988,,1
maroima01,1988,3,
carsoji01,1989,5,
maclebr01,1988,8,
