name,id,award,year,lgid,note
Уолтер Буш,bushwa01h,Пэтрик,1972,NHL,
Джек Баттерсфорд,butteja01h,Пэтрик,1984,NHL,
Кен Морроу,morroke01,Пэтрик,1995,NHL,
Уэстон Адамс,adamswe01h,Пэтрик,1973,NHL,похищенный после смерти
Брюс Норрис,norribr01h,Пэтрик,1975,NHL,
Франк Маттерс,mathefr01,Пэтрик,1986,NHL,
Майк Ричтер,richtmi01,Пэтрик,2008,NHL,
Билл Торре,torrebi01h,Пэтрик,1982,NHL,
Джеф Фейрбёрн,,Пэтрик,2010,NHL,
Брайан Муллен,mullebr01,Пэтрик,1994,NHL,
Лу Ламореллио,lamorlo01c,Пэтрик,1991,NHL,
Фред Шеро,sherofr01,Пэтрик,1979,NHL,
Тери Совчук,sawchte01,Пэтрик,1970,NHL,похищенный после смерти
Эд Снидер,snideed01h,Пэтрик,1979,NHL,
Джон Холлиган,,Пэтрик,2006,NHL,
Джек Райли,rileyja01,Пэтрик,1985,NHL,
Томми Иван,ivanto01c,Пэтрик,1974,NHL,
Франк Буше,bouchfr01,Пэтрик,1992,NHL,
Бобби Орр,orrbo01,Пэтрик,1978,NHL,
Хоби Бейкер,bakerho01h,Пэтрик,1986,NHL,похищенный после смерти
Питер Кармано,,Пэтрик,1997,NHL,
Рид Ларсон,larsore01,Пэтрик,2005,NHL,
Красный Беренсон,berenre01,Пэтрик,2005,NHL,
Боб Нэйгел,,Пэтрик,2007,NHL,
Майк Илитч,ilitcmi01h,Пэтрик,1990,NHL,
Уильям Виртс,wirtzwi01h,Пэтрик,1977,NHL,
Джон Дэвисон,davidjo01,Пэтрик,2003,NHL,
Дже́ри Йорк,,Пэтрик,2009,NHL,
Чарльз М. Шлюз,,Пэтрик,1980,NHL,
Билл Чадвик,chadwbi01h,Пэтрик,1974,NHL,
Крейг Патрик,patricr01,Пэтрик,1999,NHL,
Дэн Келли,kellyda01,Пэтрик,1988,NHL,
Эрб Брукс,brookhe01c,Пэтрик,2001,NHL,
Уильям Татт,tuttwi01h,Пэтрик,1977,NHL,
Эдди Шор,shoreed01,Пэтрик,1969,NHL,
Боб Пульфорд,pulfobo01,Пэтрик,2010,NHL,
Вальтер Браун,brownwa02h,Пэтрик,1967,NHL,похищенный после смерти
Рон де Грегорио,,Пэтрик,2002,NHL,
Кунни Вейланд,weilaco01,Пэтрик,1971,NHL,
Ал Арбор,arboual01,Пэтрик,1991,NHL,
Мюррей Мёрдак,murdomu01,Пэтрик,1973,NHL,
Род Гилберт,gilbero01,Пэтрик,1990,NHL,
Джон Килпатрик,kilpajo01h,Пэтрик,1967,NHL,похищенный после смерти
Фил Хаусли,houslph01,Пэтрик,2007,NHL,
Джон Циглер,ziegljo01h,Пэтрик,1983,NHL,
Брайан Леч,leetcbr01,Пэтрик,2006,NHL,
