year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1995,NHL,CAL,4,0,4,0,7,16,56,0,0,21,0,4,21,0
2001,NHL,PHO,5,1,4,0,7,13,83,0,1,25,0,2,27,0
2011,NHL,PIT,6,2,4,0,26,30,149,0,9,29,3,12,23,0
1974,NHL,MTL,11,6,5,0,49,30,154,0,13,46,2,5,41,1
1973,NHL,MTL,6,2,4,0,17,21,91,,2,,0,3,,0
1985,NHL,EDM,10,6,4,0,41,30,321,6,8,39,2,8,51,4
1958,NHL,TOR,12,5,7,0,32,39,173,,,,,,,
1939,NHL,DET,5,2,3,0,11,12,51,,,,,,,
1932,NHL,DET,4,2,2,0,8,8,41,,,,,,,
1929,NHL,NYR,4,1,2,1,7,7,77,,,,,,,
1983,NHL,NYI,21,12,9,0,62,60,405,0,13,81,1,18,101,2
1987,NHL,BUF,6,2,4,0,22,28,286,2,11,36,,6,42,0
2001,NHL,CHI,5,1,4,0,5,13,73,2,1,17,1,5,20,0
1937,NHL,NYA,6,3,3,0,13,12,42,,,,,,,
1974,NHL,STL,2,0,2,0,6,9,56,2,2,6,1,3,10,0
1978,NHL,MTL,16,12,4,0,63,41,178,0,15,51,1,7,39,0
1945,NHL,CHI,4,0,4,0,7,26,68,,,,,,,
2011,NHL,CHI,6,2,4,0,12,17,89,0,1,19,0,4,19,0
2006,NHL,BUF,16,9,7,0,44,39,162,0,11,88,1,14,75,0
1973,WHA,NEW,7,3,4,0,23,24,,,,,,,,
1970,NHL,TOR,6,2,4,0,15,16,147,,3,,1,4,,0
1973,WHA,WIJ,4,0,4,0,9,23,,,,,,,,
1924,WCHL,SAS,2,0,1,1,4,6,,,,,,,,
1978,NHL,BUF,3,1,2,0,9,9,41,0,1,8,0,0,13,0
1976,WHA,WIJ,20,11,9,0,80,73,,,,,,,,
1984,NHL,CAL,4,1,3,0,13,15,129,2,5,21,2,5,22,2
1934,NHL,MTM,7,5,0,2,16,8,56,,,,,,,
1979,NHL,TOR,3,0,3,0,8,17,101,0,4,15,0,7,23,0
1987,NHL,NYI,6,2,4,0,18,23,250,0,5,38,,10,43,3
1967,NHL,MTL,13,12,1,0,48,25,150,,10,,2,6,,3
1971,NHL,MTL,6,2,4,0,14,19,76,,1,,0,3,,0
1987,NHL,DET,16,9,7,0,69,57,550,0,21,80,,20,104,3
1989,NHL,BOS,21,13,8,0,62,59,421,12,15,93,1,9,88,3
1918,PCHA,SEA,2,1,1,0,7,5,,,,,,,,
1997,NHL,NJD,6,2,4,0,12,13,92,0,3,23,0,4,25,2
2006,NHL,TBL,6,2,4,0,14,19,110,2,4,26,0,7,28,1
1993,NHL,NYI,4,0,4,0,3,22,83,0,1,17,0,8,27,0
1990,NHL,WAS,11,5,6,0,29,35,328,2,8,50,0,9,59,1
2009,NHL,PHO,7,3,4,0,18,26,81,0,6,33,0,8,34,1
1976,WHA,IND,9,5,4,0,33,34,,,,,,,,
2006,NHL,NYR,10,6,4,0,30,23,151,0,13,54,0,6,52,0
1989,NHL,MNS,7,3,4,0,18,21,274,14,8,43,2,5,43,0
1957,NHL,NYR,6,2,4,0,16,28,85,,,,,,,
1973,WHA,TOT,12,7,5,0,45,43,,,,,,,,
1935,NHL,TOR,9,4,5,0,25,27,76,,,,,,,
1980,NHL,NYI,18,15,3,0,97,48,310,0,31,80,1,19,96,9
1928,NHL,TOR,4,2,2,0,8,5,42,,,,,,,
2010,NHL,NYR,5,1,4,0,8,13,62,4,1,20,0,3,16,0
1990,NHL,BOS,19,10,9,0,60,62,439,2,24,100,3,17,92,0
1994,NHL,SJS,11,4,7,0,32,59,135,2,9,48,8,13,46,0
2008,NHL,CAL,6,2,4,0,16,21,83,4,2,18,0,7,24,0
2001,NHL,TOR,20,10,10,0,44,49,389,4,13,90,0,20,99,0
1958,NHL,BOS,7,3,4,0,21,20,113,,,,,,,
1987,NHL,WIN,5,1,4,0,17,25,213,0,7,37,,10,35,1
1984,NHL,WIN,8,3,5,0,26,35,194,2,10,40,5,9,33,4
1917,NHL,TOA,2,1,1,0,10,7,68,,,,,,,
1975,WHA,IND,7,3,4,0,15,18,,,,,,,,
1935,NHL,MTM,3,0,3,0,1,6,22,,,,,,,
1992,NHL,NYI,18,9,9,0,58,65,313,2,8,85,2,15,76,5
1921,WCHL,EDE,2,0,1,1,2,3,,,,,,,,
1962,NHL,MTL,5,1,4,0,6,14,48,,,,,,,
1955,NHL,TOR,5,1,4,0,10,14,65,,,,,,,
1940,NHL,DET,9,4,5,0,17,20,96,,,,,,,
1990,NHL,EDM,18,9,9,0,57,60,400,2,12,91,2,21,95,0
1938,NHL,NYA,2,0,2,0,0,6,50,,,,,,,
1933,NHL,NYR,2,0,1,1,1,2,18,,,,,,,
1985,NHL,HAR,10,6,4,0,29,23,260,4,7,39,3,9,41,1
1996,NHL,DAL,7,3,4,0,18,21,136,0,3,40,1,6,34,1
1964,NHL,CHI,14,7,7,0,35,37,258,,,,,,,
1986,NHL,TOR,13,7,6,0,33,32,345,0,9,51,0,8,53,0
1941,NHL,DET,12,7,5,0,36,38,185,,,,,,,
1925,WCHL,EDE,2,0,1,1,3,5,,,,,,,,
1979,NHL,NYI,21,15,6,0,88,66,550,0,25,96,3,14,88,7
1960,NHL,TOR,5,1,4,0,8,15,46,,,,,,,
2002,NHL,WAS,6,2,4,0,15,14,88,4,5,27,1,4,27,0
1935,NHL,DET,7,6,1,0,24,12,36,,,,,,,
1950,NHL,DET,6,2,4,0,12,13,26,,,,,,,
2010,NHL,PHI,11,4,7,0,29,38,173,4,7,49,0,9,47,0
1987,NHL,TOR,6,2,4,0,20,32,189,0,6,41,,11,32,2
2003,NHL,DAL,5,1,4,0,10,19,56,4,4,22,2,6,21,0
1981,NHL,MNS,4,1,3,0,14,14,145,2,5,25,1,3,18,0
1957,NHL,MTL,10,8,2,0,35,20,121,,,,,,,
1969,NHL,BOS,14,12,2,0,65,33,330,,14,,0,14,,5
1921,NHL,TRS,2,1,0,1,5,4,28,,,,,,,
1979,NHL,LAK,4,1,3,0,10,21,73,2,1,16,2,3,15,2
1977,NHL,ATF,2,0,2,0,5,8,24,0,0,4,1,3,6,0
1991,NHL,NYR,13,6,7,0,47,49,277,2,13,58,1,11,62,5
1972,WHA,CLC,9,5,4,0,33,22,,,9,39,0,8,55,1
1996,NHL,FLO,5,1,4,0,10,13,50,0,6,25,0,2,21,0
1935,NHL,CHI,2,1,1,0,5,7,8,,,,,,,
1983,NHL,MTL,15,9,6,0,42,32,450,6,9,70,1,8,58,1
1985,NHL,WIN,3,0,3,0,8,15,88,0,3,15,0,2,15,1
1921,PCHA,VML,4,3,1,0,7,2,,,,,,,,
1990,NHL,NJD,7,3,4,0,21,21,211,2,8,33,0,7,38,1
1924,NHL,TRS,2,0,2,0,2,5,21,,,,,,,
1978,WHA,QUN,4,0,4,0,12,30,,,,,,,,
1992,NHL,BUF,8,4,4,0,31,28,116,0,10,39,2,10,36,1
1928,NHL,BOS,5,5,0,0,9,3,76,,,,,,,
1939,NHL,TOR,10,6,4,0,21,19,123,,,,,,,
1972,WHA,LAS,6,2,4,0,16,23,,,4,25,0,9,20,1
1975,WHA,CAC,10,5,5,0,36,37,,,,,,,,
1982,NHL,NYI,20,15,5,0,94,53,329,0,20,81,3,13,100,3
1991,NHL,BOS,15,8,7,0,40,51,254,2,11,61,3,15,77,1
1920,NHL,TRS,2,0,2,0,0,7,24,,,,,,,
2001,NHL,SJS,12,7,5,0,34,32,124,0,5,48,0,5,48,0
1995,NHL,VAN,6,2,4,0,17,24,99,0,7,39,0,8,36,0
1940,NHL,BOS,11,8,3,0,27,23,81,,,,,,,
1962,NHL,CHI,6,2,4,0,19,25,104,,,,,,,
1924,NHL,MTL,2,2,0,0,5,2,17,,,,,,,
1930,NHL,BOS,5,2,3,0,13,13,66,,,,,,,
1943,NHL,TOR,5,1,4,0,6,23,48,,,,,,,
1976,WHA,QUN,17,12,5,0,79,56,,,,,,,,
1981,NHL,MTL,5,2,3,0,16,11,201,2,4,36,1,3,26,3
1981,NHL,VAN,17,11,6,0,57,50,675,2,14,62,1,18,70,0
2009,NHL,PHI,23,14,9,0,76,61,253,10,23,105,2,14,95,1
1985,NHL,PHI,5,2,3,0,15,18,145,0,3,29,2,5,21,0
1991,NHL,WAS,7,3,4,0,27,25,139,0,7,37,1,11,34,1
