type,code,fullname
Кругло,WP — в словаре,Западная зона плей-офф
Разделение,СВ,ВХА канадское отделение
Разделение,ED,Восточный дивизион
Плей-офф,WSK,"Вызов серии ""Вон Челендж"""
Плей-офф,Авпре,Потерянный кубок AVCO в предварительном раунде
Кругло,Критическая нейротическая система,Семфиналы конференции
Разделение,ВВ,Восточный дивизион ВХА
Плей-офф,AVКФ,Половинномера чемпионата ASV по футболу
Разделение,СМ,Смит-дивизия
Кругло,КФ,Четвертьфиналы
Кругло,SF,Полуфиналы
Плей-офф,Н/Д,НД - Финалы Кубка Стэнли приостановлены (в связи с эпидемией гриппа)
Разделение,АМ,Американский дивизион
Плей-офф,ПФ,Утраченная финальная игра PCHA
Кругло,Пред,Предварительный
Плей-офф,Удачи!,Пропущенные финалы плей-офф НХЛ
Плей-офф,SF,Половинфиналы НХЛ
Плей-офф,SFD,Периода плей-офф НХЛ
Кругло,КЭФ,Семиналы четвертьфинистов
Разделение,СЭ,Юго-Восточный дивизион
Плей-офф,Авсф,Половинные финала Кубка АВКО
Плей-офф,CF,Пропущенные финалы конференции НХЛ
Разделение,ЦЕ,Центральный дивизион
Разделение,НВ,Северо-Западный Отдел
Плей-офф,ВФ,Потерянные финалы WCHL
Разделение,НЕ,Северо-Восточный дивизион
Кругло,"Даже если вы не знаете, что это такое, я могу объяснить.",Финал
Кругло,Удачи!,Финалы Дивизиона
Плей-офф,ЛКС,Выиграл Кубок Стэнли / Проигрыш в Серии вызовов
Плей-офф,ССФС,Пустые полуфиналы Кубка Стэнли
Разделение,ПТ,Патрик Дивизион
Конференция,ВА,Конференция Уэльса
Разделение,АД,Отделение Адама
Плей-офф,AVК,Выиграл кубок ВАКО
Разделение,WD,Западный дивизион
Кругло,АСС,Финал Кубка Авко
Разделение,ВВ,Западный дивизион
Плей-офф,"Даже если вы не знаете, что это такое, я могу объяснить.",Пустые финалы Кубка Стэнли
Конференция,КК,Конференция Кэмпбелла
Плей-офф,С,Вон Стэнли Куп.
Плей-офф,НАХФ,Потерянные финальные экзамены по НКАХ
Плей-офф,Критическая нейротическая система,Потерянные полуфиналы конференции НХЛ
Разделение,Нет,Норрис Дивизион
Разделение,Компьютер,Тихоокеанский дивизион
Плей-офф,АвФ,Финал Кубка АВКО
Разделение,АТ,Атлантический дивизион
Плей-офф,КЭФ,Путь в плей-офф НХЛ
Плей-офф,WSF,Пропущенные полуфиналы WCHL
Плей-офф,Предложение,Пропущенные игры предварительного раунда НХЛ
Конференция,В. В.,Западная конференция
Кругло,CF,Финал конференции
Плей-офф,НХЛФ,Пропущенные финалы Кубка Стэнли
Кругло,SCФ,Финалы Кубка Стэнли
Кругло,SFD,Полуфинал
Плей-офф,КФ,Падение НХЛ: четвертьфиналы
Разделение,Калифорния,Канадский отдел
Кругло,ССФС,Половфиналы Кубка Стэнли
Конференция,ОК,Восточная конференция
