schoolid,schoolname,schoolcity,schoolstate,schoolnick
viterbowi,Университет Витербо,Лакросс,ЖИ,Ястребы
gaswestern,Юго-западный государственный университет Грузии,Америкус,GA,Ураганы
baylor,Бейлорский университет,Вако,TX,Медведи
evansville,Эвансвильский университет,Эвансвилль,ВНУТРЕННИЕ,Фиолетовые тузы
scarolina,Университет Южной Каролины,Колумбия,ПК,Игровые петухи
indianapa,Университет Индианы Пенсильвании,Индианаa,ПА,Индейцы
umass,Массачусетский университет Амхерста,Амхерст,МЭТ,Минуты
stthomasmn,Университет Сент-Томаса,Сент-Пол,МН,Томми
harding,Университет Хардинга,Циркуляция,ОАР,Бизон
philly,Филадельфийский университет,Филадельфия,ПА,Рамс
hawaiihilo,Гавайский университет в Хило,Хило,Привет.,Вулканцы
troyst,Тройский государственный университет,Трой,AL,Троянцы
stedwardtx,Университет Св. Эдварда,Остин,TX,Подземные охотники
nycortland,Колледж Нью-Йоркского университета в Кортланде,Кортленд,Нью-Йорк,Красные драконы
nebkearney,Университет Небраски в Керни,Керни,Нет,Лоуперс
elon,Элонский университет,Элон,НС,Феникс
loyolachi,Чикагский университет Лойолы,Чикаго,Ил,Рамблеры
creighton,Крейтонский университет,Омаха,Нет,Bluejays
kansas,Канзасский университет,Лоуренс,KS,Джейхокс
scstate,Университет штата Южная Каролина,Оранжбург,ПК,Бульдоги
navy,Морская академия Соединенных Штатов,Аннаполис,MD,Мидмаршруты
ohio,Университет Огайо,Афины,Ооо.,Бобкоты
cflorida,Университет Центральной Флориды,Орландо,ФЛ,Золотые Рыцари
lambuthtn,Университет Лумбута,Джексон,TN,Орлы
samhouston,Сэм Хьюстонский государственный университет,Хантсвилль,TX,Медведи
erskine,Эрскинский колледж,Дежурный Вест,ПК,Летающий флот
nmhighland,Нью-Мексикоский Хайлендский университет,Лас-Вегас,НМ,Ковбои
trinityct,Тринити-колледж,Хартфорд,КТ,Бантамы
miamioh,Университет Майами,Оксфорд,Ооо.,Красные ястребы
georgemas,Университет Джорджа Мейсона,Фэрфакс,VA,Патриоты
mtunionoh,Колледж Маунт Юнион,Альянс,Ооо.,Рейдеры
ilcollege,Иллинойский колледж,Джексонвилль,Ил,Синяя мальчишка
almami,Альма-колледж,Альма,МИ,Шотландцы
rhodestn,Родосский колледж,Мемфис,TN,Линкс
unc,Университет Северной Каролины,Чапел Хилл,НС,Тарелки
txwesleyan,Техасский Уэслианский университет,Жилье стоит,TX,Рамс
villanova,Университет Вильяновой,Вильянова,ПА,Дикие кошки
wflorida,Университет Западной Флориды,Пенсакола,ФЛ,Аргонавты
grinnellia,Колледж Гриннелла,Гриннелл,IA,Пионеры
colbyme,Колби Колледж,Уотервилль,Я,Мулы
highpoint,Университет высокого уровня,Высокий пункт,НС,Пантеры
hendrixar,Колледж Хендрикса,Конвей,ОАР,Воины
staugustne,Колледж Святого Августина,Роли,НС,Соколы
fordham,Фордхемский университет,Бронкс,Нью-Йорк,Рамс
amerintl,Американский международный колледж,Спрингфилд,МЭТ,Желтые пекарни
drake,Университет Дрейка,Де Мойнс,IA,Бульдоги
muskingum,Мускиндумский колледж,Новый Конкорд,Ооо.,Борьба с мусками
montanast,Университет штата Монтана,Боземан,МТ,Бобкоты
sfaustin,Стивен Ф. Остинский государственный университет,Накодохи,TX,Ломбардировщики
washst,Университет штата Вашингтон,Пульман,WA,Кугары
sprngfldma,Спрингфилдский колледж,Спрингфилд,МЭТ,Гордость
hopemi,Колледж &lt; &lt; Надежда &gt; &gt;,Голландия,МИ,Летающие голландцы
milligantn,Миллиганский колледж,Миллиганский колледж,TN,Буйволы
nevada,"Невадский университет, Рено",Рено,NV,Вольфпак
econnst,Государственный университет Восточного Коннектикута,Виллимантика,КТ,Воины
sflorida,Университет Южной Флориды,Тампа,ФЛ,Буллс
quincy,Университет Квинси,Квинси,Ил,Ястребы
charleston,Чарльстонский колледж,Чарльстон,ПК,Кугары
washcolltn,Вашингтонский колледж (ТН),Джонсборо,TN,
bucknell,Бакнеллский университет,Льюисбург,ПА,Бизон
portlandst,Портлендский государственный университет,Портленд,ИЛИ,Викинги
