franchid,franchname,active,naassoc
BUF,Баффало Бизонс,Н,
ANA,Лос-Анджелесские ангелы Анахейма,Y,
MLU,Милуоки Брюэрс,Н,
NYI,Нью-Йорк Гиганты,Н,
PBS,Питтсбургские повстанцы,Н,
COR,Красные цициннати,Н,
BNA,Бостонские красные чулки,,АТЛ
CLI,Кливлендские младенцы,Н,
NNA,Нью-Йорк Взаимная связь,,Нью-Йорк
HAR,Хартфорд Тёмный Блюз,Н,ХНА
KCP,Канзас Сити Пакерс,Н,
TLM,Толедо Маумес,Н,
LOU,Полковники Луисвиля,Н,
MAR,Балтимор Мэрилендс,,
ATL,Атланты Храбрые храбрые,Y,БНА
BRA,Бруклинские Атлантики,,
CKK,Убийца Цинциннати Келли,Н,
BLU,Памятные памятники Балтимора,Н,
BLC,Балтиморские канареи,,
PHI,Филадельфия Филадельфия,Y,
SYR,Звезды Сиракуз,Н,
SEA,Морские пехотинцы Сиэтла,Y,
CHH,Чикагские киты,Н,
BWW,Чудеса Бруклина Уорда,Н,
RIC,Ричмондские вирджинцы,Н,
SLI,&lt; &lt; Сент-Луис Терьерс &gt; &gt;,Н,
CLS,Колумб Солоны,Н,
WST,Вашингтон,Н,
BLT,Балтиморские террапины,Н,
ALT,Горный город Альтоона,Н,
CPI,Чикаго/Питтсбург (Союзная лига),Н,
CHP,Чикагские пираты,Н,
SNA,Сент-Луис Браун Шеллингс,,ПС
BFB,Баффало Бизонс,Н,
MLG,Милуоки Грейс,Н,
NEW,Ньюарк Пеппер,Н,
WIL,Уилмингтон Быстрые шаги,Н,
NYY,Нью-Йорк Янкиз,Y,
SBS,Сент-Луис Браун Шеллингс,Н,СНС
PNA,Филадельфия Атлетика,,ATH
IBL,Индианаполис Блюз,Н,
TEX,Техасские рейнджеры,Y,
MAN,Мидлтаун Мэнсфилдс,,
LAD,Лос-Анджелес Доджерс,Y,
RES,Элизабет Резолютес,,
KCN,Канзас Сити Ковбои,Н,
IHO,Индианаполис Хусье,Н,
TRT,Тройские троянцы,Н,
FLA,Флорида Марлинс,Y,
COL,Колорадо Скалистые горы,Y,
MLA,Милуоки Брюэрс,Н,
DTN,&lt; &lt; Детройт &gt; &gt;,Н,
HNA,Хартфорд Тёмный Блюз,,HAR
WAS,Сенаторы Вашингтона,Н,
WBL,Голубые ноги Вашингтона,,
WES,Кеокук Вестерн,,
MIN,Близнецы из Миннесоты,Y,
SLM,Сент-Луис Марунс,Н,
BAL,Балтимор Ориолс,Y,
BRD,Бостонские красные,Н,
PHA,Филадельфия Атлетика,Н,
CNR,Красные Цинциннати,Н,
ATH,Филадельфия Атлетика,Н,PNA
WNA,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
SLR,Красные чулки Сент-Луиса,,
OLY,Олимпийские игры в Вашингтоне,,
NYM,Нью-Йорк Метс,Y,
WSN,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Y,
NHV,Нью-Хейвен-Элм-Сити,,
KEK,Форт Уэйн Кекионгас,,
SDP,Сан-Диего Падрес,Y,
IND,Индианаполис Хусье,Н,
BOS,Бостонский ред Сокс,Y,
CLE,Индейцы Кливленда,Y,
BFL,Баффало Бизонс,Н,
KCR,Канзас-Сити Роялс,Y,
SFG,Сан-Франциско Гиганты,Y,
PHK,Критерии Филадельфии,Н,
SYS,Звезды Сиракуз,Н,
CIN,Красные Цинциннати,Y,
BRS,Бостонские красные,Н,
NYP,Города Нью-Йорка,Н,
CBL,Блюз Кливленда,Н,
TOR,Торонтские синие джеи,Y,
CFC,Кливлендские лесные города,,
CLV,Кливленд Паук,Н,
BTT,Бруклинские таблетки,Н,
CBK,Колумб Бакейс,Н,
KCC,Канзас Сити Ковбои,Н,
CEN,Столетия Филадельфии,,
CHC,Чикаго Кабс,Y,КНА
WOR,Вихревые рубиновые ножки,Н,
DET,&lt; &lt; Тигры Детройта &gt; &gt;,Y,
NYU,Нью-Йорк Взаимная связь,Н,ННА
ROC,Рочестер Бронкос,Н,
HOU,Хьюстон Астрос,Y,
WNT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
ECK,Бруклин Экфордс,,
PRO,Провидцы Грей,Н,
NAT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
CNA,Белые чулки Чикаго,,CHC
PIT,Питтсбургские пираты,Y,
LGR,Луисвилл Грейс,Н,
PBB,Питтсбургские бургеры,Н,
KCU,Канзас Сити Ковбои,Н,
BLO,Балтимор Ориолс,Н,
PHQ,Филадельфия Атлетика,Н,
TOL,Синие чулки Толедо,Н,
ARI,Аризона Даймондбэкс,Y,
TRO,Трой Хеймерс,,
STP,Святой Павел Апостолы,Н,
MIL,Милуоки Брюэрс,Y,
WNL,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
PWS,Белые чулки Филадельфии,,
STL,Кардиналы Сент-Луиса,Y,
BRG,Бруклинские гладиаторы,Н,
OAK,Аклендская атлетика,Y,
CHW,Чикаго Уайт Сокс,Y,
TBD,Tampa Bay Rays,Y,
ROK,Рокфордские лесные города,,
