playerid,yearid,stint,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
breuema01,1940,1,NYA,AL,8,9,27,22,10,0,0,492,175,83,20,61,71,0.0,4.0,,3.0,0.0,0,722.0,2.0,89,,,
perezol01,2006,2,NYN,NL,1,3,7,7,1,1,0,110,41,26,7,17,41,,6.0,0.0,1.0,3.0,0,165.0,0.0,26,,,
johnssi01,1947,1,BSN,NL,6,8,36,10,3,0,2,338,124,53,7,34,27,0.0,4.0,,1.0,1.0,0,493.0,15.0,57,,,
niekrjo01,1974,1,ATL,NL,3,2,27,2,0,0,0,129,36,17,5,18,31,0.0,3.0,2.0,3.0,2.0,0,178.0,9.0,19,,,
paniajo01,2003,1,CHA,AL,0,0,1,0,0,0,0,1,3,4,0,1,0,0.0,108.0,0.0,0.0,0.0,0,5.0,0.0,4,,,
clarkjo01,1892,1,BSN,NL,8,6,16,16,15,4,0,437,115,38,4,60,48,0.0,2.0,,5.0,0.0,0,0.0,0.0,65,,,
casalje01,1958,1,BOS,AL,0,0,2,0,0,0,0,9,1,0,0,2,3,0.0,0.0,0.0,0.0,0.0,1,11.0,2.0,0,,,
snydebi01,1919,1,WS1,AL,0,1,2,1,0,0,0,24,6,1,0,3,5,0.0,1.0,,0.0,0.0,0,33.0,1.0,4,,,
bronkje01,1994,1,ML4,AL,1,1,16,0,0,0,1,62,20,10,3,12,13,0.0,4.0,4.0,1.0,0.0,0,93.0,9.0,10,,,
mulhote01,1994,1,NYA,AL,6,7,24,19,2,0,0,362,150,87,24,37,72,0.0,6.0,1.0,5.0,3.0,0,542.0,4.0,94,,,
obrieda02,1888,1,CL3,AA,11,19,30,30,30,1,0,777,245,95,5,99,135,,3.0,,0.0,0.0,0,0.0,0.0,162,,,
hunteca01,1972,1,OAK,AL,21,7,38,37,16,5,0,886,200,67,21,70,191,0.0,2.0,6.0,3.0,3.0,0,1148.0,1.0,74,,,
splitpa01,1983,1,KCA,AL,13,8,27,27,4,0,0,468,159,63,9,52,61,0.0,3.0,2.0,3.0,1.0,0,667.0,0.0,77,,,
stancch01,1946,2,PHI,NL,2,4,14,11,1,0,0,211,71,33,4,39,23,0.0,4.0,,4.0,0.0,0,307.0,1.0,35,,,
mooredo01,1985,1,CAL,AL,8,8,65,0,0,0,31,309,91,22,9,21,72,0.0,1.0,3.0,2.0,0.0,0,417.0,57.0,28,,,
hubbeca01,1937,1,NY1,NL,22,8,39,32,18,4,4,785,261,93,18,55,159,0.0,3.0,,7.0,3.0,0,1087.0,6.0,108,,,
ruckena01,1912,1,BRO,NL,18,21,45,34,23,6,4,893,272,73,6,72,151,0.0,2.0,,6.0,3.0,1,1201.0,11.0,101,,,
torresa01,2006,1,PIT,NL,3,6,94,0,0,0,12,280,98,34,6,38,72,,3.0,9.0,3.0,6.0,0,411.0,24.0,42,,,
richile01,1906,1,PHI,NL,9,11,33,22,14,3,0,617,170,55,3,79,65,0.0,2.0,,9.0,6.0,0,854.0,9.0,86,,,
nichoki01,1905,2,PHI,NL,10,6,17,16,15,1,0,416,129,35,1,28,50,0.0,2.0,,4.0,4.0,0,559.0,1.0,47,,,
sulliji01,1891,1,BSN,NL,0,0,1,0,0,0,0,1,2,3,0,5,0,0.0,81.0,,0.0,0.0,0,9.0,0.0,4,,,
perezme01,1987,1,KCA,AL,1,1,3,3,0,0,0,31,18,9,2,5,5,0.0,7.0,0.0,0.0,0.0,0,53.0,0.0,12,,,
roperjo01,1995,2,SFN,NL,0,0,1,0,0,0,0,3,2,3,0,2,0,0.0,27.0,0.0,0.0,0.0,0,7.0,0.0,3,,,
wagnebi02,2007,1,NYN,NL,2,2,66,0,0,0,34,205,55,20,6,22,80,,2.0,4.0,4.0,2.0,0,282.0,57.0,22,,,
kippeth01,1954,1,PHI,NL,0,0,11,0,0,0,1,41,22,12,0,12,5,0.0,7.0,,0.0,1.0,0,72.0,7.0,13,,,
olsonte01,1938,1,BOS,AL,0,0,2,0,0,0,0,21,9,5,0,2,2,0.0,6.0,,1.0,0.0,0,31.0,2.0,5,,,
gordoto01,1992,1,KCA,AL,6,10,40,11,0,0,0,353,116,60,9,55,98,0.0,4.0,4.0,5.0,4.0,2,516.0,13.0,67,,,
mesajo01,1999,1,SEA,AL,3,6,68,0,0,0,33,206,84,38,11,40,42,0.0,4.0,4.0,7.0,4.0,0,325.0,60.0,42,,,
kerfech01,1987,1,HOU,NL,0,2,21,0,0,0,0,89,34,22,3,21,17,0.0,6.0,2.0,0.0,1.0,0,137.0,11.0,22,,,
thompju02,1999,1,DET,AL,9,11,24,24,0,0,0,428,152,81,24,59,83,0.0,5.0,1.0,2.0,4.0,0,626.0,0.0,85,,,
anderbr02,1993,1,CAL,AL,0,0,4,1,0,0,0,34,11,5,1,2,4,0.0,3.0,0.0,0.0,0.0,0,45.0,3.0,5,,,
dopsojo01,1990,1,BOS,AL,0,0,4,4,0,0,0,53,13,4,2,9,9,0.0,2.0,0.0,0.0,0.0,0,75.0,0.0,7,,,
ostrojo02,1950,1,SLA,AL,2,4,9,7,2,0,0,172,57,16,2,7,15,0.0,2.0,,0.0,0.0,0,237.0,2.0,22,,,
drabedo01,1993,1,HOU,NL,9,18,34,34,7,2,0,713,242,100,18,60,157,0.0,3.0,12.0,12.0,3.0,0,991.0,0.0,108,,,
austiji02,1991,1,ML4,AL,0,0,5,0,0,0,0,26,8,8,1,11,3,0.0,8.0,1.0,1.0,3.0,0,46.0,1.0,8,,,
frymawo01,1978,2,MON,NL,5,7,19,17,4,3,1,284,93,38,4,37,53,0.0,3.0,1.0,2.0,3.0,0,402.0,2.0,39,,,
rhemfl01,1936,1,SLN,NL,2,1,10,4,0,0,0,80,49,20,2,9,7,0.0,6.0,,0.0,0.0,0,133.0,3.0,26,,,
alburvi01,1974,1,MIN,AL,8,9,32,22,4,1,0,492,159,75,19,80,85,0.0,4.0,1.0,4.0,6.0,0,706.0,4.0,83,,,
demarfr01,1890,1,CHN,NL,0,0,1,0,0,0,0,6,1,0,0,1,1,0.0,0.0,,2.0,0.0,0,10.0,1.0,0,,,
donohpe01,1930,1,CIN,NL,1,3,8,5,2,0,1,103,53,24,0,13,4,0.0,6.0,,0.0,1.0,0,162.0,2.0,24,,,
gleasjo01,1922,1,WS1,AL,2,2,8,5,3,0,0,122,53,21,3,18,12,0.0,4.0,,2.0,1.0,0,190.0,3.0,26,,,
dibblro01,1995,1,CHA,AL,0,1,16,0,0,0,1,43,7,10,1,27,16,0.0,6.0,2.0,5.0,3.0,0,78.0,4.0,10,,,
wilsoea01,1969,1,DET,AL,12,10,35,35,5,1,0,644,209,79,23,69,150,0.0,3.0,4.0,5.0,4.0,0,903.0,0.0,93,,,
jonesba01,1992,1,PHI,NL,5,6,44,0,0,0,0,163,65,28,3,24,19,0.0,4.0,4.0,1.0,2.0,2,243.0,10.0,30,,,
wittbo01,1995,2,TEX,AL,3,4,10,10,1,0,0,184,81,31,4,21,46,0.0,4.0,1.0,5.0,1.0,0,276.0,0.0,35,,,
lloydgr01,1999,1,TOR,AL,5,3,74,0,0,0,3,216,68,29,11,23,47,0.0,3.0,4.0,1.0,4.0,0,301.0,25.0,36,,,
doteloc01,2012,1,DET,AL,5,3,57,0,0,0,1,174,50,23,3,12,62,,3.0,4.0,2.0,1.0,0,234.0,15.0,23,,,
lacorfr01,1979,1,ATL,NL,0,0,6,0,0,0,0,25,9,7,2,5,6,0.0,7.0,1.0,2.0,0.0,0,38.0,2.0,7,,,
willimi01,1979,1,TOR,AL,0,3,17,1,0,0,0,80,35,25,1,16,8,0.0,8.0,2.0,3.0,1.0,0,128.0,7.0,27,,,
rodasri01,1984,1,LAN,NL,0,0,3,0,0,0,0,15,5,3,2,1,1,0.0,5.0,0.0,0.0,0.0,1,21.0,0.0,3,,,
mclaupa01,1945,1,DET,AL,0,0,1,0,0,0,0,3,2,1,0,0,0,0.0,9.0,,0.0,0.0,0,5.0,1.0,2,,,
bradfla01,1980,1,ATL,NL,3,4,56,0,0,0,4,166,49,15,3,22,32,0.0,2.0,8.0,3.0,1.0,0,232.0,24.0,20,,,
buffich01,1890,1,PHP,PL,19,15,36,33,28,0,1,850,312,120,8,126,89,9.0,3.0,,10.0,6.0,0,1342.0,3.0,211,,,
wickmbo01,2002,1,CLE,AL,1,3,36,0,0,0,20,103,42,17,3,10,36,,4.0,0.0,0.0,1.0,0,159.0,30.0,22,,,
silvajo01,1998,1,PIT,NL,6,7,18,18,1,0,0,301,104,49,7,30,64,,4.0,2.0,2.0,1.0,2,425.0,0.0,55,,,
wyckowe01,1917,1,BOS,AL,0,0,1,0,0,0,0,15,4,1,0,4,1,0.0,1.0,,0.0,1.0,0,23.0,1.0,3,,,
balejo01,1999,1,TOR,AL,0,0,1,0,0,0,0,6,2,3,1,2,4,0.0,13.0,0.0,0.0,0.0,0,10.0,0.0,3,,,
hoernjo01,1970,1,PHI,NL,9,5,44,0,0,0,9,173,53,17,5,20,39,0.0,2.0,7.0,1.0,1.0,0,245.0,28.0,20,,,
faberre01,1919,1,CHA,AL,11,9,25,20,9,0,0,487,185,69,7,45,45,0.0,3.0,,2.0,8.0,0,718.0,3.0,92,,,
carrocl02,1964,1,ML1,NL,2,0,11,1,0,0,1,61,15,4,1,3,17,0.0,1.0,1.0,0.0,0.0,0,79.0,2.0,4,,,
schmicu01,1995,1,MON,NL,0,0,11,0,0,0,0,31,15,8,1,9,7,0.0,6.0,0.0,0.0,2.0,0,54.0,0.0,8,,,
deleojo01,1993,1,PHI,NL,3,0,24,3,0,0,0,141,39,17,5,27,34,0.0,3.0,3.0,5.0,5.0,0,207.0,6.0,25,,,
mcdanli01,1965,1,CHN,NL,5,6,71,0,0,0,2,386,115,37,12,47,92,0.0,2.0,20.0,7.0,0.0,0,538.0,26.0,45,,,
goodedw01,1992,1,NYN,NL,10,13,31,31,3,0,0,618,197,84,11,70,145,0.0,3.0,7.0,3.0,3.0,1,863.0,0.0,93,,,
goltzda01,1979,1,MIN,AL,14,13,36,35,12,1,0,752,282,116,22,69,132,0.0,4.0,3.0,5.0,1.0,0,1061.0,1.0,124,,,
gladefr01,1908,1,NYA,AL,0,4,5,5,2,0,0,96,30,15,0,14,11,0.0,4.0,,1.0,4.0,0,127.0,0.0,18,,,
putzjj01,2008,1,SEA,AL,6,5,47,0,0,0,15,139,46,20,4,28,56,,3.0,2.0,2.0,2.0,0,211.0,35.0,20,,,
wardjo01,1884,1,NY1,NL,3,3,9,5,5,0,0,182,72,23,2,18,23,0.0,3.0,,6.0,0.0,0,275.0,3.0,43,,,
maglisa01,1955,2,CLE,AL,0,2,10,2,0,0,2,77,26,11,0,7,11,0.0,3.0,0.0,0.0,1.0,0,112.0,4.0,14,,,
fernasi01,1987,1,NYN,NL,12,8,28,27,3,1,0,468,130,66,16,67,134,0.0,3.0,8.0,2.0,8.0,0,665.0,0.0,75,,,
foxho01,1949,1,CIN,NL,6,19,38,30,9,0,0,645,221,95,13,77,60,0.0,3.0,,2.0,4.0,1,928.0,6.0,120,,,
hawkian01,1982,1,SDN,NL,2,5,15,10,1,0,0,191,66,29,4,27,25,0.0,4.0,3.0,2.0,2.0,3,281.0,2.0,33,,,
scottmi03,1989,1,HOU,NL,20,10,33,32,9,2,0,687,180,79,23,62,172,0.0,3.0,12.0,7.0,3.0,0,924.0,1.0,87,,,
swiftbi01,1938,1,PIT,NL,7,5,36,9,2,0,4,450,155,54,9,40,77,0.0,3.0,,0.0,4.0,0,633.0,20.0,65,,,
vancuch01,1952,1,BRO,NL,5,6,23,16,4,0,1,293,104,56,12,40,66,0.0,5.0,,0.0,5.0,0,435.0,5.0,58,,,
pondar01,1897,1,BLN,NL,18,9,32,28,23,0,0,744,267,97,4,72,59,0.0,3.0,,4.0,15.0,0,0.0,4.0,131,,,
heskejo01,1990,2,ATL,NL,0,2,31,0,0,0,5,93,30,20,5,12,21,0.0,5.0,0.0,5.0,1.0,0,135.0,15.0,23,,,
rhodear01,1993,1,BAL,AL,5,6,17,17,0,0,0,257,91,62,16,49,49,0.0,6.0,1.0,2.0,1.0,0,387.0,0.0,62,,,
gogolbi01,1974,1,CLE,AL,0,0,5,0,0,0,0,41,15,7,1,2,3,0.0,4.0,0.0,0.0,1.0,0,56.0,2.0,7,,,
kekicmi01,1975,1,TEX,AL,0,0,23,0,0,0,2,94,33,13,2,21,19,0.0,3.0,2.0,2.0,0.0,0,142.0,8.0,16,,,
mcgui01,1894,1,CIN,NL,0,0,1,0,0,0,0,18,15,7,0,5,1,0.0,10.0,,0.0,0.0,0,0.0,1.0,9,,,
farretu01,1956,1,PHI,NL,0,1,1,1,0,0,0,13,6,6,0,3,0,0.0,12.0,0.0,0.0,1.0,0,21.0,0.0,6,,,
filerto01,1988,1,ML4,AL,5,8,19,16,2,1,0,305,108,50,8,33,39,0.0,4.0,4.0,5.0,1.0,0,431.0,0.0,54,,,
seyfrgo01,1964,1,CLE,AL,0,0,2,0,0,0,0,7,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,10.0,0.0,0,,,
townsha01,1906,1,CLE,AL,3,7,17,12,8,1,0,278,92,30,1,31,31,0.0,2.0,,1.0,6.0,0,0.0,5.0,45,,,
morrijo04,1922,1,PIT,NL,17,11,45,33,20,5,1,859,315,109,10,87,104,0.0,3.0,,5.0,6.0,0,1231.0,10.0,130,,,
kirbycl01,1976,1,MON,NL,1,8,22,15,0,0,0,236,81,50,10,63,51,0.0,5.0,1.0,8.0,2.0,0,370.0,1.0,61,,,
holmeda01,1997,1,COL,NL,9,2,42,6,0,0,3,268,113,53,12,36,70,0.0,5.0,3.0,4.0,0.0,0,406.0,10.0,58,,,
koniedo01,1973,1,HOU,NL,0,1,2,2,0,0,0,39,12,8,0,4,6,0.0,5.0,0.0,0.0,0.0,0,49.0,0.0,8,,,
marotmi01,2005,1,DET,AL,14,14,34,34,0,0,0,627,235,110,30,51,115,,4.0,1.0,5.0,9.0,0,889.0,0.0,123,,,
cumbejo01,1972,1,SFN,NL,0,4,9,6,0,0,0,75,38,24,6,7,8,0.0,8.0,0.0,1.0,0.0,1,124.0,1.0,29,,,
willile01,1918,1,CHA,AL,6,4,15,14,7,2,1,317,76,32,0,47,30,0.0,2.0,,2.0,5.0,0,423.0,1.0,32,,,
brohatr01,2002,1,SFN,NL,0,1,11,0,0,0,0,17,5,4,1,1,3,,6.0,0.0,0.0,2.0,0,25.0,2.0,4,,,
lyleji01,1925,1,WS1,AL,0,0,1,0,0,0,0,9,5,2,0,1,3,0.0,6.0,,0.0,0.0,0,16.0,1.0,2,,,
