hofid,yearid,votedby,ballots,needed,votes,inducted,category
adamsba01h,1937,ББВАА,201.0,151.0,8.0,Н,Игрок
mattido01h,2012,ББВАА,573.0,430.0,102.0,Н,Игрок
mcinnst01h,1951,ББВАА,226.0,170.0,3.0,Н,Игрок
hartnga01h,1951,ББВАА,226.0,170.0,57.0,Н,Игрок
dinnebi01h,1939,ББВАА,274.0,206.0,7.0,Н,Игрок
bunniji01h,1982,ББВАА,415.0,312.0,138.0,Н,Игрок
wilsoji01h,1951,ББВАА,226.0,170.0,2.0,Н,Игрок
huggimi01h,1939,ББВАА,274.0,206.0,97.0,Н,Менеджер
clarkfr01h,1938,ББВАА,262.0,197.0,63.0,Н,Игрок
crandde01h,1977,ББВАА,383.0,288.0,8.0,Н,Игрок
morrija02h,2009,ББВАА,539.0,405.0,237.0,Н,Игрок
mccarjo99h,1957,Ветераны,,,,Y,Менеджер
mcdougi01h,1966,ББВАА,302.0,227.0,5.0,Н,Игрок
hoopeha01h,1938,ББВАА,262.0,197.0,4.0,Н,Игрок
oneilst01h,1953,ББВАА,264.0,198.0,13.0,Н,Игрок
coneda01h,2009,ББВАА,539.0,405.0,21.0,Н,Игрок
surhobj01h,2011,ББВАА,581.0,436.0,2.0,Н,Игрок
southbi01h,1953,ББВАА,264.0,198.0,2.0,Н,Игрок
tewksbo01h,2004,ББВАА,506.0,380.0,0.0,Н,Игрок
campabe01h,1989,ББВАА,447.0,336.0,14.0,Н,Игрок
vernomi01h,1967,ББВАА,292.0,219.0,14.0,Н,Игрок
judgejo01h,1956,ББВАА,193.0,145.0,2.0,Н,Игрок
wertzvi01h,1977,ББВАА,383.0,288.0,4.0,Н,Игрок
vaughar01h,1985,Ветераны,,,,Y,Игрок
boccajo01h,1980,ББВАА,385.0,289.0,0.0,Н,Игрок
gurala01h,1991,ББВАА,443.0,333.0,0.0,Н,Игрок
ferrewe01h,1948,ББВАА,121.0,91.0,1.0,Н,Игрок
youngro01h,1956,ББВАА,193.0,145.0,19.0,Н,Игрок
dobsopa01h,1983,ББВАА,374.0,281.0,0.0,Н,Игрок
gehrich01h,1949,Выключить,187.0,,159.0,Y,Игрок
kellge01h,1973,ББВАА,380.0,285.0,114.0,Н,Игрок
hutchfr01h,1962,ББВАА,160.0,120.0,1.0,Н,Игрок
willicy01h,1949,ББВАА,153.0,115.0,2.0,Н,Игрок
darliro01h,2001,ББВАА,515.0,387.0,1.0,Н,Игрок
longhe01h,1946,Выдвижение кандидатур,202.0,,1.0,Н,Игрок
crosefr01h,1960,ББВАА,269.0,202.0,8.0,Н,Игрок
groatdi01h,1975,ББВАА,362.0,272.0,4.0,Н,Игрок
haddiha01h,1973,ББВАА,380.0,285.0,1.0,Н,Игрок
oneilst01h,1950,ББВАА,168.0,126.0,1.0,Н,Игрок
hoytwa01h,1939,ББВАА,274.0,206.0,1.0,Н,Игрок
bondsba01h,2013,ББВАА,569.0,427.0,206.0,Н,Игрок
suttebr01h,1999,ББВАА,497.0,373.0,121.0,Н,Игрок
hartnga01h,1949,ББВАА,153.0,115.0,35.0,Н,Игрок
marisro01h,1983,ББВАА,374.0,281.0,69.0,Н,Игрок
duganjo01h,1956,ББВАА,193.0,145.0,1.0,Н,Игрок
vanceda01h,1949,ББВАА,153.0,115.0,33.0,Н,Игрок
olivato01h,1987,ББВАА,413.0,310.0,160.0,Н,Игрок
marquru01h,1937,ББВАА,201.0,151.0,13.0,Н,Игрок
gosligo01h,1960,ББВАА,269.0,202.0,30.0,Н,Игрок
vernomi01h,1966,ББВАА,302.0,227.0,20.0,Н,Игрок
tanneje01h,1945,ББВАА,247.0,186.0,1.0,Н,Игрок
wanerll01h,1950,ББВАА,168.0,126.0,1.0,Н,Игрок
hoopeha01h,1950,ББВАА,168.0,126.0,2.0,Н,Игрок
gowdyha01h,1937,ББВАА,201.0,151.0,2.0,Н,Игрок
cavarph01h,1968,ББВАА,283.0,213.0,23.0,Н,Игрок
huggimi01h,1937,ББВАА,201.0,151.0,5.0,Н,Менеджер
bonilbo01h,2007,ББВАА,545.0,409.0,2.0,Н,Игрок
bridgto01h,1964,ББВАА,201.0,151.0,15.0,Н,Игрок
gomezle01h,1956,ББВАА,193.0,145.0,89.0,Н,Игрок
martipe01h,1962,ББВАА,160.0,120.0,6.0,Н,Игрок
ruffire01h,1952,ББВАА,234.0,176.0,10.0,Н,Игрок
roushed01h,1937,ББВАА,201.0,151.0,10.0,Н,Игрок
wrighgl01h,1951,ББВАА,226.0,170.0,1.0,Н,Игрок
bottoji01h,1951,ББВАА,226.0,170.0,6.0,Н,Игрок
tiantlu01h,1995,ББВАА,460.0,345.0,45.0,Н,Игрок
altroni01h,1954,ББВАА,252.0,189.0,2.0,Н,Игрок
hentgpa01h,2010,ББВАА,539.0,405.0,1.0,Н,Игрок
gromest01h,1964,ББВАА,201.0,151.0,1.0,Н,Игрок
moseswa01h,1970,ББВАА,300.0,225.0,5.0,Н,Игрок
