playerid,usefirst,firstname,middlename,lastname,namegiven,fullgivenname,namesuffix,namenick,pos,firstseason,lastseason,height,weight,college,collegeother,birthdate,birthcity,birthstate,birthcountry,highschool,hscity,hsstate,hscountry,deathdate,race
danieme01,Mel,Melvin,Joe,Daniels,,,,Mel,C,0.0,0.0,81.0,220,New Mexico ,Burlington J.C.,1944-07-20,Detroit,MI,USA,Pershing,Detroit,MI,USA,0000-00-00,B
monroea01,Earl,Vernon,Earl,Monroe,,,,"Earl, The Pearl, Black Jesus",G,0.0,0.0,75.0,185,Winston-Salem State,,1944-11-21,Philadelphia,PA,USA,John Bartram,Philadelphia,PA,USA,0000-00-00,B
millsch01,Chris,Christopher,Lemonte,Mills,,,,Chris,F,0.0,0.0,78.0,215,Arizona,Kentucky,1970-01-25,Los Angeles,CA,USA,Fairfax,Los Angeles,CA,USA,0000-00-00,B
ratlith01,Theo,Theophalus,Curtis,Ratliff,,,,Theo,F-C,0.0,0.0,82.0,225,Wyoming,,1973-04-17,Demopolis,AL,USA,Demopolis,Demopolis,AL,USA,0000-00-00,B
debnaru01,,Rudolph,,Debnar,,,,Rudy,G,0.0,0.0,71.0,160,Duquesne,,1916-05-09,(ht) Charleroi,PA,USA,,,,,0000-00-00,W
robinch01,Chris,Christopher,Sean,Robinson,,,,Chris,G,0.0,0.0,77.0,200,Western Kentucky,,1974-04-02,Columbus,GA,USA,Southwest,Macon,GA,USA,0000-00-00,B
risenar01,Arnie,Arnold,D.,Risen,,,,"Arnie, Stilts",C-F,0.0,0.0,81.0,200,Ohio State,East Kentucky State,1924-10-09,Williamstown,KY,USA,Williamstown,Williamstown,KY,USA,0000-00-00,W
liebesa01,,Sam,,Lieberman,,,,,C,0.0,0.0,80.0,0,Lawrence Tech,,0000-00-00,,,,,,,,0000-00-00,W
kleindi01,,Dick,Oland,Klein,,,,,C-F,0.0,0.0,75.0,215,Northwestern,,1920-09-16,Fort Madison,IA,USA,,,,,2000-10-10,W
russefr01,Frank,Frank,,Russell,,,,,G,0.0,0.0,75.0,180,Detroit,Oakland CC,1949-04-17,,,,Central,Pontiac,MI,USA,0000-00-00,B
hendecu01,,Curt,,Henderson,,,,,G,0.0,0.0,68.0,150,Southern Illinois,,0000-00-00,,,,,,,,0000-00-00,W
burroju01,Junior,Thomas,Harold,Burrough,,,,Junior,F,0.0,0.0,80.0,242,Virginia,,1973-01-18,Charlotte,NC,USA,West Charlotte / Oak Hill Academy,Charlotte / Mouth of Wilson,NC / VA,USA,0000-00-00,B
morrijo01,John,John,Russell,Morrison,,,,,G,0.0,0.0,74.0,190,Canisius,,1945-05-02,(ht) Roselle Park,NJ,USA,Seton Hall Prep,West Orange,NJ,USA,0000-00-00,W
morelja01,Jackie,Jack,Wade,Moreland,,,,Jackie,F-G,0.0,0.0,79.0,215,Louisiana Tech,North Carolina State,1938-03-11,Minden,LA,USA,Harris/Minden,Harris/Minden,LA,USA,1971-12-19,W
gregocl01,Claude,Claude,Andre,Gregory,,,,,F,0.0,0.0,80.0,205,Wisconsin,,1958-12-26,Washington,DC,USA,Coolidge,Washington,DC,USA,0000-00-00,B
critcru01,Russ,Russell,Dean,Critchfield,,,,"Rusty, Russ",G,0.0,0.0,70.0,150,California,,1946-06-27,Salinas,CA,USA,Salinas,Salinas,CA,USA,0000-00-00,W
macklru01,Rudy,Durand,,Macklin,,,,Rudy,F-G,0.0,0.0,79.0,205,Louisiana State,,1958-02-19,Louisville,KY,USA,Shawnee,Louisville,KY,USA,0000-00-00,B
stoudam01,Amare,Amar'e,Carsares,Stoudemire,,,,AKA Amare Stoudemire,F-C,0.0,0.0,82.0,245,none,,1982-11-16,Lake Wales,FL,USA,Cypress Creek,Orlando,FL,USA,0000-00-00,B
drollra01,Ralph,Ralph,Kim,Drollinger,,,,,C,0.0,0.0,86.0,250,UCLA,,1954-04-20,La Mesa,CA,USA,Grossmont,La Mesa,CA,USA,0000-00-00,W
wilkeja02,James,James,Robert,Wilkes,,,,,F,0.0,0.0,79.0,195,UCLA,,1958-03-12,Nashville,TN,USA,Dorsey,Los Angeles,CA,USA,0000-00-00,B
ingeral01,,Albert,R.,Ingerman,,,,"Albie, Al",G,0.0,0.0,69.0,160,Temple,,1925-12-04,Philadelphia,PA,USA,Central,Philadelphia,PA,USA,2010-04-05,W
pruitga01,Gabe,Gabriel,Michael,Pruitt,,,,Gabe,G,0.0,0.0,76.0,170,USC,,1986-04-19,Los Angeles,CA,USA,Westchester,Los Angeles,CA,USA,0000-00-00,B
smithis01,Ishmael,Ishmael,Larry,Smith,,,,Ish,G,0.0,0.0,72.0,175,Wake Forest,,1988-07-05,Charlotte,NC,USA,Central Cabarrus,Concord,NC,USA,0000-00-00,B
wintevo01,Voise,Voise,Lee,Winters,,,,,F,0.0,0.0,80.0,200,Bradley,,1962-10-12,Chicago,IL,USA,Gage Park,Chicago,IL,USA,0000-00-00,B
laneje01,Jerome,Jerome,,Lane,,,,,F,0.0,0.0,78.0,230,Pittsburgh,,1966-12-04,Akron,OH,USA,St. Vincent-St. Mary,Akron,OH,USA,0000-00-00,B
maxeyma01,Marlon,Marlon,Lee,Maxey,,,,,F,0.0,0.0,80.0,250,UTEP,Minnesota,1969-02-19,Chicago,IL,USA,Percy L. Julian,Chicago,IL,USA,0000-00-00,B
warriha01,Hakim,Hakim,Hanif,Warrick,,,,,F,0.0,0.0,81.0,219,Syracuse,,1982-07-08,Philadelphia,PA,USA,Friends Central,Wynnewood,PA,USA,0000-00-00,B
corchch01,Chris,Christopher,,Corchiani,,,,"Chris, Fire",G,0.0,0.0,71.0,185,North Carolina State,,1968-03-28,Coral Gables,FL,USA,Hialeah Miami Lakes,Hialeah,FL,USA,0000-00-00,W
hugheri01,Rick,Rick,,Hughes,,,,,F,0.0,0.0,81.0,235,Thomas More,,1973-08-22,Cincinnati,OH,USA,Walnut Hills,Cincinnati,OH,USA,0000-00-00,B
lochmbo01,Bob,Robert,L.,Lochmueller,,,,Bob,F,0.0,0.0,77.0,185,Louisville,,1927-06-05,,,,Elberfeld,Elberfeld,IN,USA,0000-00-00,W
lacefre01,Reggie,Reggie,,Lacefield,,,,,G-F,0.0,0.0,77.0,230,Western Michigan,,1945-04-10,Gary,IN,USA,Roosevelt,Gary,IN,USA,0000-00-00,B
stuckro01,Rodney,Rodney,Norvell,Stuckey,,,,Hot Rod,G,0.0,0.0,77.0,205,Eastern Washington,,1986-04-21,Seattle,WA,USA,Kentwood,Kent,WA,USA,0000-00-00,B
kerbeot01,,Otto,,Kerber,,,,,G,0.0,0.0,74.0,175,DePaul,,0000-00-00,,,,Lane Tech,Chicago,IL,USA,0000-00-00,W
trianja01,Jay,Jay,,Triano,,,,,,0.0,0.0,0.0,0,,,0000-00-00,,,,,,,,0000-00-00,
hassebi01,Billy,William,Joseph,Hassett,,,,Billy,G,0.0,0.0,70.5,180,Notre Dame,Georgetown,1921-10-21,,,,LaSalle Academy,New York,NY,USA,1992-11-18,W
cashsa01,Sam,Sam,,Cash,,,,,F,0.0,0.0,80.0,230,California-Riverside,San Bernadino Valley,1950-11-13,,,,Pacific,San Bernadino,CA,USA,0000-00-00,B
fowleje01,Jerry,Jerry,A.,Fowler,,,,,C,0.0,0.0,79.5,228,Missouri,,1927-06-20,(ht) Boonville,MO,USA,,,,,2008-06-15,W
jeskobi01,,William,,Jesko,,,,Bill,G-F,0.0,0.0,70.0,170,Pittsburgh,,0000-00-00,,,,South,Pittsburgh,PA,USA,0000-00-00,W
kendrfr01,Frank,Frank,Edward,Kendrick,,,,,F,0.0,0.0,78.0,198,Purdue,,1950-09-11,Indianapolis,IN,USA,Indianapolis Tech,Indianapolis,IN,USA,0000-00-00,B
