year,lgid,tmid,franchid,confid,divid,rank,confrank,playoff,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,o_tmrebound,d_tmrebound,homewon,homelost,awaywon,awaylost,neutwon,neutloss,confwon,confloss,divwon,divloss,pace,won,lost,games,min,arena,attendance,bbtmid
1943,NBL,CCB,CAT,,,4,0,CS,Cleveland Chase Brassmen,279,0,199,0,0,0,0,0,0,0,0,0,0,0,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,0,0,3,6,0,9,0,0,0,0,0,0,0,3,15,18,,,0,CCB
2010,NBA,MIL,MIL,EC,CD,3,0,,Milwaukee Bucks,2814,6544,1423,1881,483,1414,862,2480,3342,1545,1682,617,1103,399,7534,2834,6342,1498,1946,437,1309,836,2629,3465,1657,1694,507,1245,392,7603,0,0,0,0,0,0,0,0,0,0,0,0,0,35,47,0,,,0,
1999,NBA,PHI,PHI,EC,AT,3,5,CS,Philadelphia 76ers,2993,6776,1577,2226,208,643,1147,2468,3615,1817,1939,791,1284,386,7771,2867,6595,1510,417,1172,2001,1065,2501,3566,1828,1977,631,1444,531,7661,0,0,29,12,20,21,0,0,36,18,13,11,0,49,33,82,19830.0,First Union Center,32767,PHI
1968,ABA,MMF,FLO,,ED,2,0,DF,Miami Floridians,3406,7625,2167,3023,29,152,0,0,4182,1532,2092,0,1508,0,9008,3316,7610,2170,171,487,2934,0,0,3895,1628,2156,0,1580,0,8973,0,0,19,10,16,21,8,4,0,0,24,18,0,43,35,78,18895.0,Miami Beach Convention Hall,0,MFL
1991,NBA,NJN,NJN,EC,AT,3,6,C1,New Jersey Nets,3473,7580,1471,2009,224,670,1512,2392,3904,1937,1834,736,1392,615,8641,3422,7175,1775,161,508,2318,1215,2355,3570,1789,1722,806,1343,484,8780,0,0,25,16,15,26,0,0,29,27,15,13,0,40,42,82,19780.0,Brendan Byrne Arena,32767,NJN
2008,NBA,ATL,ATL,EC,SE,2,4,CS,Atlanta Hawks,2956,6451,1537,2085,597,1633,870,2412,3282,1657,1610,603,1048,376,8046,3002,6610,1385,528,1496,1800,956,2481,3437,1705,1681,530,1121,354,7917,0,0,31,10,16,25,0,0,30,22,11,5,91,47,35,82,19705.0,Philips Arena,32767,
2002,NBA,NOH,NOH,EC,CD,3,5,C1,New Orleans Hornets,2914,6695,1467,1910,404,1075,1097,2475,3572,1807,1769,656,1212,394,7699,2857,6518,1474,338,1001,1925,909,2368,3277,1630,1754,647,1196,427,7526,0,0,29,12,18,23,0,0,32,22,17,11,0,47,35,82,19905.0,New Orleans Arena,32767,NOH
1974,ABA,SAA,SAS,,WD,2,0,DS,San Antonio Spurs,3779,7909,1926,2373,41,157,1459,2801,4260,1870,2043,695,1421,373,9525,3731,7909,1599,112,396,2129,1316,2570,3886,2082,2157,698,1392,447,9173,0,0,32,10,19,23,0,0,0,0,26,18,0,51,33,84,20285.0,HemisFair Arena,32767,SAN
1997,NBA,BOS,BOS,EC,AT,6,12,,Boston Celtics,3012,6934,1425,1964,415,1249,1196,2044,3240,1816,2203,987,1330,366,7864,2864,5981,2052,299,940,2756,1015,2446,3461,1826,1719,696,1688,406,8079,0,0,24,17,12,29,0,0,23,31,12,13,0,36,46,82,19730.0,FleetCenter,32767,BOS
1952,NBA,BLB,BLB,,ED,4,0,DS,Baltimore Bullets,2083,5615,1745,2542,0,0,0,0,3727,1514,2141,0,0,0,5911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6360,414,0,11,20,1,19,4,15,0,0,10,30,0,16,54,70,17200.0,Baltimore Coliseum,0,BLT
1948,NBL,DNN,DNN,,WE,5,0,,Denver Nuggets,1303,0,1005,1563,0,0,0,0,0,0,0,0,0,0,3611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3974,0,0,15,15,3,28,0,1,0,0,0,0,0,18,44,62,,,0,DEN
1949,NBA,AND,AND,,WD,2,0,SF,Anderson Packers,1943,6254,1703,2343,0,0,0,0,0,1240,1806,0,0,0,5589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5346,0,0,23,9,11,18,3,0,0,0,25,12,0,37,27,64,15585.0,Anderson High School Wigwam,0,AND
1969,ABA,PTP,PTC,,ED,5,0,,Pittsburgh Pipers,3721,8370,1875,2673,128,477,0,0,4720,1629,2184,0,1760,0,9445,3741,8319,2192,150,478,2918,0,0,4870,1749,2187,0,1696,0,9824,0,0,21,17,8,32,0,6,0,0,21,33,0,29,55,84,20335.0,Pittsburgh Civic Arena,32767,PIT
1986,NBA,PHI,PHI,EC,AT,2,5,C1,Philadelphia 76ers,3335,6792,1971,2617,88,340,1178,2327,3505,1943,1774,768,1519,540,8729,3537,7204,1552,119,416,2049,1214,2202,3416,2202,1982,813,1372,446,8745,0,0,28,13,17,24,0,0,29,29,12,12,0,45,37,82,19880.0,The Spectrum,32767,PHI
1995,NBA,MIL,MIL,EC,CD,7,13,,Milwaukee Bucks,3034,6490,1412,1914,357,1056,973,2164,3137,1755,1943,582,1295,307,7837,3084,6421,1590,514,1296,2193,998,2305,3303,1940,1752,648,1212,373,8272,0,0,14,27,11,30,0,0,16,38,8,20,0,25,57,82,19730.0,Bradley Center,32767,MIL
2005,NBA,UTA,UTA,WC,NW,2,9,,Utah Jazz,2744,6207,1774,2466,311,925,1071,2380,3451,1772,2032,524,1290,492,7573,2730,6077,1839,490,1297,2466,871,2237,3108,1511,2104,663,1166,463,7789,0,0,22,19,19,22,0,0,26,26,11,5,0,41,41,82,19880.0,Delta Center,32767,UTA
1946,NBA,PRO,PRO,,ED,4,0,,Providence Steamrollers,1629,5582,1092,1666,0,0,0,0,0,481,1215,0,0,0,4350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450,0,0,19,11,9,21,0,0,0,0,12,18,0,28,32,60,14600.0,Rhode Island Auditorium,0,PRO
1965,NBA,SFW,GSW,,WD,4,0,,San Francisco Warriors,3557,8512,2129,2879,0,0,0,0,5727,1872,2069,0,0,0,9243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9455,640,0,12,14,8,19,15,12,0,0,21,19,0,35,45,80,19225.0,San Francisco Civic Auditorium,32767,SFW
1984,NBA,HOU,HOU,WC,MW,2,3,C1,Houston Rockets,3748,7440,1581,2261,41,186,1325,2395,3720,2239,2033,683,1605,597,9118,3500,7274,1887,90,258,2425,1159,2222,3381,2117,1903,773,1495,415,8977,0,0,29,12,19,22,0,0,36,24,20,10,0,48,34,82,19830.0,The Summit,32767,HOU
2007,NBA,DEN,DEN,WC,NW,2,8,C1,Denver Nuggets,3307,7038,1891,2519,569,1605,918,2698,3616,2024,1731,752,1181,551,9074,3334,7303,1481,621,1710,2028,1042,2680,3722,2107,1950,644,1282,393,8770,0,0,33,8,17,24,0,0,31,21,10,6,102,50,32,82,19855.0,Pepsi Center,32767,
