title_id,title,type,pub_id,price,advance,royalty,ytd_sales,notes,pubdate
BU1032,Рабочий лидер Гид по базам данных,бизнес,1389,19.99,5000.0,10.0,4095.0,Обзор доступных систем баз данных с упором на распространенные бизнес-приложения. Иллюстрации.,1991-06-12 00:00:00
BU1111,Программирование на компьютере: скрытые балансировки,бизнес,1389,11.95,5000.0,10.0,3876.0,Советы по эффективному использованию электронных ресурсов.,1991-06-09 00:00:00
BU7832,Раскрытие о компьютерах,бизнес,1389,19.99,5000.0,10.0,4095.0,"Аннотированный анализ того, что могут компьютеры для вас: руководство для критически настроенного пользователя без излишеств.",1991-06-22 00:00:00
MC2222,Гастрономические изыски Силиконовой долины,Мод_куков,877,19.99,0.0,12.0,2032.0,"Любимые рецепты быстрых, простых и элегантных блюд.",1991-06-09 00:00:00
PC1035,Но удобно ли это для пользователя?,востребованный компонент,1389,22.95,7000.0,16.0,8780.0,Опрос программного обеспечения для начинающих пользователей с акцентом на «дружелюбность» каждого из них.,1991-06-30 00:00:00
PC8888,Секреты Силиконовой долины,востребованный компонент,1389,20.0,8000.0,10.0,4095.0,Отчеты о мукраке в отношении крупнейших производителей компьютерного оборудования и программного обеспечения.,1994-06-12 00:00:00
PS1372,Компьютерно-фобические и не компьютерно-фобические личности: вариации поведения,психология,877,21.59,7000.0,10.0,375.0,"Для специалиста эта книга - обязательное чтение, так как в ней рассматривается разница между теми, кто ненавидит и боится компьютеры, и теми, кто к ним не относится.",1991-10-21 00:00:00
PS2091,Гнев — враг?,психология,736,10.95,2275.0,12.0,2045.0,Эмпирическое исследование влияния сильных эмоций на организм. В исследовании использовались метаболические графики.,1991-06-15 00:00:00
PS3333,Отсутствие данных в долгосрочной перспективе: Четыре исследования случаев,психология,736,19.99,2000.0,10.0,4072.0,"Что происходит, когда данные заканчиваются? Поиск оценок эффекта нехватки информации.",1991-06-12 00:00:00
TC3218,"Лук, чеснок и шалот: кулинарные секреты Средиземноморья",Традкук,877,20.95,7000.0,10.0,375.0,"Рисунки в цвете в изобилии иллюстрируют эту прекрасную книгу о подарках для друга, интересующегося кухней.",1991-10-21 00:00:00
TC4203,Пятьдесят лет в кухнях Букингемского дворца,Традкук,877,11.95,4000.0,14.0,15096.0,"Больше историй от любимого повара королевы, рассказывающих о жизни среди британской аристократии. Рецепты, техники, нежные заметки.",1991-06-12 00:00:00
TC7777,"Суши, кто есть кто?",Традкук,877,14.99,8000.0,10.0,4095.0,Детальная инструкция по приготовлению настоящего японского суши в вашем свободное время.,1991-06-12 00:00:00
PC9999,Сетевая этика,востребованный компонент,1389,,,,,Необходимая для компьютерной конференции чтёба.,2014-11-07 10:39:37
PS2106,Жизнь без страха,психология,736,7.0,6000.0,10.0,111.0,"Новый упражнения, медитации и питательные приемы, которые могут смягчить шок повседневных взаимодействий. Популярная аудитория. Включен пример меню, видео с упражнениями доступны отдельно.",1991-10-05 00:00:00
PS7777,Эмоциональная безопасность: новый алгоритм,психология,736,7.99,4000.0,10.0,3336.0,Защита себя и своих близких от излишнего эмоционального стресса в современном мире. Использование компьютера и пищевых добавок подчеркивается.,1991-06-12 00:00:00
MC3021,Гурмет-микраоволновая печь,Мод_куков,877,2.99,15000.0,24.0,22246.0,Традиционные французские рецепты высокой кухни адаптированы для современной микроволновой печи.,1991-06-18 00:00:00
BU2075,Вы можете бороться со стрессом от компьютера!,бизнес,736,2.99,10125.0,24.0,18722.0,Последние медицинские и психологические техники для работы с электронным офисом. Легко понятные объяснения.,1991-06-30 00:00:00
MC3026,Психология кулинарии на компьютере,Неопределенно,877,,,,,,2014-11-07 10:39:37
